Date,Title,Sentiment,Source
24/01/2025,The M4 Apple iPad Pro Is Just 2 Bucks Away From Its All-Time Lowest Price on Amazon,0.0,News API
24/01/2025,"The Magic Price You’ve Been Waiting for LEGO Harry Potter Dobby Set, a Hit on Amazon Now!",0.625,News API
24/01/2025,"Dentist-Recommended Waterpik Aquarius Water Flosser Is Only $60, the Lowest Price of the Year!",0.0,News API
24/01/2025,"Bose TV Speaker Soundbar Is Now on the First Sale of the Year, Perfect Timing for the Super Bowl",0.5278,News API
24/01/2025,Top-Tier Kitchen Brand Breville’s Smart Toaster Oven Is Back in Stock at an All-Time Low Price,0.0714,News API
27/01/2025,"This Automatic Cat Feeder Is Back at Its Lowest Price Ever for a Limited Time, Treat Your Cat to the Best",0.3095,News API
27/01/2025,"This Clicky, Clacky Mechanical Gaming Keyboard From Logitech Is Almost 50% Off",0.0,News API
27/01/2025,Samsung’s New Galaxy Sparks Apple Savings? 2024 MacBook Air Is Now at Its Lowest Price for Apple Fans,0.1364,News API
28/01/2025,"The M2 Apple iPad Air Is Suddenly Down to Its All-Time Low Price, Courtesy of Samsung’s New Galaxy Launch",-0.0064,News API
28/01/2025,Bookshop.org’s New E-Book Store Will Have a Tough Time Taking on Amazon,-0.1263,News API
28/01/2025,This Anker Power Bank Won’t Last Long at This Lowest Price Because It’s a Top-Rated Best-Seller on Amazon,-0.025,News API
28/01/2025,Kim Kardashian’s Beats Studio Pro Is Back at Nearly 50% Off Just in Time for Valentine’s Day,0.05,News API
29/01/2025,"Apple AirTags Are Back Down to an All-Time Low Price, Selling-Fast on Amazon Now",-0.0519,News API
29/01/2025,Vizio 50-Inch Smart TV Drops to Its Lowest Price Just in Time for Super Bowl Prep,0.2738,News API
29/01/2025,Vizio’s Latest Soundbar Sees a Huge Price Cut to Upgrade Your Super Bowl Day Sound,0.4083,News API
30/01/2025,Amazon Music Unlimited subscription prices are rising again,0.0,News API
30/01/2025,"Amazon Fire TV Stick Lite Is Back for Less Than $20, the Hottest Streaming Device on the Market",-0.0833,News API
30/01/2025,"Eufy Video Smart Lock Hits Its Lowest Price, No Prime Day or Black Friday Needed",0.0238,News API
31/01/2025,Jeff Bezos’s Company (Amazon) Is Suing Washington State to Block His Newspaper (The Washington Post) From Reporting,0.0,News API
31/01/2025,Super Bowl TV Setup for Less Than a Smartwatch? Roku Smart TV Hits a Record Low on Amazon,0.0952,News API
31/01/2025,Amazon’s Best Docking Station Deal? Anker 13-in-1 Charger Just Hit Its Lowest Price,1.0,News API
02/02/2025,"Amazon Takes $299 Off Apple Studio Display, Available From $1,299.99",0.4,News API
03/02/2025,This Alexa-Enabled Sonos Smart Speaker Drops to Its Lowest Price of the Year for the First Time,0.2321,News API
03/02/2025,"The Meta Quest 3S Batman Bundle Returns to Its Pre-Holiday Pricing, Like It’s Black Friday Again",-0.1667,News API
