Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
06/07/2015,2.46,2.54,2.44,2.47,19882970,0.822,,,
08/07/2015,2.07,2.07,2.01,2.01,15111470,0.999,,,
16/07/2015,1.97,2,1.87,1.87,20489440,0.999,,,
20/07/2015,1.82,1.84,1.77,1.8,12126610,0.999,,,
21/07/2015,1.82,1.83,1.78,1.8,14982920,0.96,,,
24/08/2015,1.69,1.83,1.65,1.75,17217370,0.996,,,
27/08/2015,1.74,1.835,1.74,1.78,11834720,0.995,0.967,,
31/08/2015,1.82,1.87,1.79,1.81,6513566,0.996,0.992,,
03/09/2015,1.76,1.85,1.76,1.79,7154181,0.998,0.992,,
08/09/2015,1.85,1.88,1.83,1.88,6009499,0.996,0.991,,
09/09/2015,1.9,1.97,1.83,1.85,12606140,0.997,0.991,,
16/09/2015,1.87,1.9,1.85,1.89,4926411,0.998,0.997,,
17/09/2015,1.9,1.94,1.87,1.89,5824857,0.998,0.997,,
29/09/2015,1.67,1.69,1.65,1.67,7004223,0.997,0.997,,
01/10/2015,1.77,1.77,1.72,1.74,5514019,0.997,0.997,,
05/10/2015,1.82,1.87,1.77,1.8,7595260,0.996,0.997,,
08/10/2015,1.87,1.9475,1.85,1.93,9197867,0.979,0.995,,
15/10/2015,1.97,2.06,1.95,1.97,27268150,0.999,0.995,,
20/10/2015,2,2.03,1.97,2.02,5574769,0.965,0.99,,
21/10/2015,2.02,2.12,2.01,2.1,14961000,1,0.99,0.9843,
11/11/2015,2.02,2.09,2.02,2.07,3530645,0.997,0.99,0.99305,
12/11/2015,2.05,2.07,2,2,3576405,0.968,0.986,0.9915,
16/11/2015,1.99,2.02,1.95,1.99,4027291,0.998,0.987,0.99145,
24/11/2015,2.2,2.4,2.17,2.34,15858610,0.984,0.987,0.9907,
30/11/2015,2.34,2.37,2.25,2.36,9915362,0.991,0.986,0.99225,
01/12/2015,2.36,2.37,2.31,2.34,5646342,0.996,0.991,0.99225,
09/12/2015,2.37,2.4,2.32,2.35,8694560,0.996,0.99,0.9923,
04/01/2016,2.77,2.82,2.63,2.77,32356640,0.989,0.989,0.99195,
12/01/2016,2.4,2.46,2.28,2.39,17979540,0.986,0.991,0.99135,
14/01/2016,2.29,2.35,2.21,2.21,15568560,0.999,0.992,0.9915,
19/01/2016,2.08,2.11,1.9,1.95,18935550,0.998,0.994,0.99155,
20/01/2016,1.81,1.95,1.75,1.8,29229490,0.998,0.995,0.99155,
01/02/2016,2.17,2.19,2.11,2.14,8816117,1,0.995,0.99165,
02/02/2016,2.11,2.14,1.96,1.99,11214710,0.999,0.996,0.99175,
10/02/2016,1.92,1.98,1.83,1.84,9466004,0.998,0.997,0.9918,
11/02/2016,1.82,1.94,1.81,1.86,7858282,0.96,0.993,0.99,
17/02/2016,1.85,1.94,1.85,1.9,13765170,0.996,0.993,0.99085,
23/02/2016,2.04,2.06,1.97,1.97,6709579,0.999,0.993,0.99085,
01/03/2016,2.16,2.2,2.12,2.18,9009785,0.998,0.993,0.9925,
