Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
22/10/2015,28.14,28.46,27.83,28.2,151738940,0.989,,,
11/01/2016,30.62,30.99,29.93,30.89,97482700,0.983,,,
05/05/2016,33.67,33.82,32.8,32.95,97543580,0.997,,,
16/06/2016,35.6,35.9,35.27,35.88,61896740,0.999,,,
11/08/2016,38.5,38.69,38.46,38.56,40344780,0.926,,,
13/04/2017,44.57,44.75,44.22,44.23,63380500,0.998,,,
12/05/2017,48.01,48.24,47.92,48.07,50183880,0.994,0.984,,
28/08/2017,47.33,47.65,47.11,47.3,51529120,1,0.985,,
05/10/2017,48.5,49.08,48.48,49.04,64401600,0.997,0.987,,
27/11/2017,60.13,60.67,59.56,59.79,134367700,0.996,0.987,,
28/11/2017,60.24,60.27,59.43,59.68,90961280,0.999,0.987,,
01/02/2018,70.13,72.95,66.04,69.5,228450400,0.996,0.997,,
14/03/2018,80.05,80.46,79.3,79.55,66024800,0.983,0.995,,
16/03/2018,79.17,79.47,78.38,78.58,105836960,0.991,0.995,,
04/04/2018,67.91,70.77,67.64,70.53,138849700,0.999,0.994,,
16/04/2018,72.25,72.35,71.37,72.08,55476720,0.997,0.994,,
12/07/2018,88.23,89.9,88.11,89.83,90225480,0.973,0.991,,
30/07/2018,91.37,91.48,88.3,88.96,130854240,0.998,0.991,,
31/07/2018,89.32,90.09,86.97,88.87,114328980,0.997,0.991,,
15/08/2018,95.48,95.81,93.49,94.13,153162160,0.994,0.993,0.9903,
27/08/2018,95.75,100.99,95.61,96.38,70929920,0.999,0.994,0.9908,
30/10/2018,74.31,77.05,73.82,76.52,247902600,0.996,0.993,0.99145,
13/11/2018,82.46,83.85,80.69,81.56,118029980,0.98,0.991,0.9906,
07/12/2018,85.25,85.95,81.27,81.46,150178780,0.997,0.994,0.9905,
05/02/2019,82.17,83.26,82.13,82.94,88872640,0.982,0.992,0.9933,
27/02/2019,81.41,82.09,80.76,82.05,62822920,0.997,0.992,0.99325,
11/03/2019,81.31,83.61,81.3,83.53,75945960,0.994,0.992,0.99325,
12/03/2019,83.45,84.21,83.05,83.66,71259860,1,0.992,0.99325,
15/04/2019,92.1,92.66,91.61,92.24,74213060,0.995,0.992,0.99315,
16/07/2019,100.53,101.32,100.06,100.5,52363960,0.99,0.994,0.99285,
06/08/2019,89.61,89.69,87.67,89.39,101405160,0.95,0.987,0.9904,
28/08/2019,87.75,89.32,84.03,88.21,48437860,0.998,0.989,0.9905,
20/12/2019,89.98,90.15,89.12,89.33,103049200,0.998,0.989,0.99125,
27/03/2020,96.54,96.99,95,95.01,107757940,0.99,0.989,0.9912,
30/03/2020,96.14,98.68,95.62,98.2,122521740,0.992,0.988,0.99085,
09/04/2020,102.22,102.65,100.88,102.14,93112340,0.972,0.984,0.9896,
16/04/2020,117.3,123.05,116.75,120.41,240764000,0.998,0.985,0.99085,
20/04/2020,119.5,122.25,119.3,119.68,115413880,0.998,0.992,0.99085,
22/04/2020,118.45,119.7,117.55,118.17,84365900,0.983,0.99,0.99015,
23/04/2020,120,121.21,119.1,119.97,101331040,0.504,0.92,0.96565,
24/04/2020,120.85,121.02,119.1,120.51,76635940,0.998,0.921,0.9656,
27/04/2020,122.16,124.71,121.8,118.8,112912900,0.866,0.615,0.9591,
28/04/2020,118.61,118.68,115.3,115.7,105388920,0.943,0.607,0.95725,
04/05/2020,112.82,116.35,112.82,115.8,97318520,0.131,0.486,0.91395,
06/05/2020,116.47,117.87,116,117.56,62356280,0.994,0.556,0.91455,
07/05/2020,118.74,118.8,117.16,118.38,67928220,1,0.556,0.9147,
12/05/2020,120.59,120.95,117.75,117.85,61498320,0.997,0.562,0.91485,
