Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
10/06/2020,28.79,29.66,28.52,29.4,4676759,0.046,,,
29/06/2020,35.34,35.63,33.2304,35.11,4920933,0.068,,,
25/08/2020,37.7,39.04,37.31,39.03,3490971,0.13,,,
01/09/2020,38.94,40.4,38.94,39.74,4987547,0.098,,,
02/10/2020,41.1,42.58,40.5,41.75,3201422,0.099,,,
03/11/2020,51.71,53.18,51.6,53.05,2094613,0.085,,,
12/01/2021,77,78.22,75.69,77.82,2964710,0.061,0.084,,
20/01/2021,83,84.02,81.17,83.51,3509779,0.121,0.095,,
12/02/2021,86.32,87.57,83.33,85.95,10650360,0.016,0.087,,
18/02/2021,83.01,85.25,81.6,82.79,5202306,0.154,0.091,,
19/02/2021,84,85.82,81.63,82.17,4910093,0.105,0.092,,
22/02/2021,81.49,82.67,78.28,78.38,4310795,0.136,0.09,,
24/02/2021,75.99,76.61,73.15,76.43,4900424,0.106,0.096,,
26/02/2021,72.4,74.29,70.86,73.97,7740707,-0.003,0.078,,
02/03/2021,77.2,77.49,74.48,75.5,5204068,-0.002,0.076,,
03/03/2021,74.9,75.58,70.06,70.83,3560504,0.042,0.06,,
05/03/2021,67.15,67.39,60.96,67.03,9858119,0.07,0.053,,
09/03/2021,65.78,69.73,63.8535,69.43,6089806,0.287,0.074,,
11/03/2021,73.56,76.78,72.38,76.61,4746875,0.397,0.123,,
12/03/2021,73.77,76.34,72.04,76.3,3228985,0.077,0.134,0.10465,
16/03/2021,75.64,77.04,72.8,74.04,2949766,0.042,0.134,0.10445,
17/03/2021,71.95,75.75,70.76,74.82,2631230,0.048,0.138,0.10345,
19/03/2021,71.09,72.02,69.58,71.69,6369629,0.081,0.14,0.101,
22/03/2021,72,74.05,71.37,72.76,1935364,0.101,0.121,0.10115,
23/03/2021,73.33,74.065,71.9602,72.37,2121220,0.089,0.077,0.10065,
24/03/2021,75,75,67.8,67.83,3828750,0.078,0.077,0.1003,
26/03/2021,67.82,68.92,64.75,67.57,2118189,0.093,0.084,0.1019,
29/03/2021,67.18,67.915,64.91,65.63,2276555,0.097,0.091,0.1007,
30/03/2021,64.77,66.2409,63.25,65.8,3499674,0.107,0.095,0.10525,
05/04/2021,72.58,72.99,70.04,71.17,2299101,0.076,0.088,0.10135,
06/04/2021,70.8,73.73,70.8,72.21,1845467,0.129,0.094,0.10255,
09/04/2021,72.51,72.67,69.9,70.88,3472439,0.061,0.092,0.0988,
13/04/2021,70.39,79.81,69.84,77.61,13151700,0.06,0.087,0.0965,
14/04/2021,77.9,77.97,74.4,74.57,4760560,0.085,0.085,0.1009,
19/04/2021,73.8,75.49,71.71,73.3,2494187,0.108,0.085,0.1064,
26/04/2021,81.5,85,80.8901,84.76,5258589,0.273,0.116,0.11795,
27/04/2021,84.83,88.04,84.77,87.01,5852085,0.083,0.109,0.1186,
29/04/2021,87,87,83.365,84.89,3797225,0.086,0.113,0.10855,
03/05/2021,84.82,85.38,82.2,84.06,4926484,0.108,0.106,0.0941,
04/05/2021,81.49,82.72,79.03,80.19,5738658,0.069,0.102,0.0937,
05/05/2021,81.04,82.06,77.5,79.02,4467018,0.118,0.08,0.0975,
10/05/2021,69.9,70.55,66.75,68.87,6297070,0.007,0.064,0.09545,
11/05/2021,64.95,71.74,64.84,71.29,5620510,0.286,0.1,0.1057,
19/05/2021,68.665,70.83,68.16,70.79,4239220,0.132,0.112,0.10725,
21/05/2021,75.12,75.79,73.39,74.8,2854455,0.464,0.161,0.126,
24/05/2021,75.85,79.409,75.18,78.88,3006135,0.101,0.171,0.12715,
26/05/2021,80,81.07,79.41,79.88,2772422,0.044,0.166,0.1247,
27/05/2021,80.35,83,78.1,82.81,6704807,0,0.165,0.11985,
04/06/2021,82.81,84.1,82.7238,83.08,1496613,0.177,0.149,0.12335,
08/06/2021,86.84,90.84,86.84,89.78,4686787,-0.04,0.125,0.11755,0.10512
11/06/2021,92.94,94.4,92.21,94,2712436,0.125,0.066,0.11735,0.1067
15/06/2021,94.33,95.84,92.82,93.4,3112344,0.154,0.074,0.122,0.10842
17/06/2021,94.41,101.29,94,100.69,6651341,0.07,0.078,0.1225,0.10722
18/06/2021,102.3,102.4464,98.8,101.68,7301634,0.087,0.09,0.1226,0.107
21/06/2021,100.98,101.85,96.61,101.08,4244956,0.091,0.124,0.12175,0.10684
22/06/2021,101,103.24,100.66,102.57,4082635,0.086,0.128,0.1124,0.10686
23/06/2021,102.79,104.17,102.13,103.74,3066723,0.102,0.125,0.11335,0.10768
25/06/2021,105,106.22,102.53,104.84,10476940,0.04,0.109,0.11105,0.10606
28/06/2021,105.78,106.6352,104.12,106.04,2400955,0.101,0.104,0.1107,0.10776
08/07/2021,103.77,109.68,101.7001,108.78,2634300,0.09,0.083,0.11175,0.10648
09/07/2021,108.39,109.4699,105.66,108.97,1909349,0.17,0.095,0.11435,0.10778
12/07/2021,110.3,111.9699,106.06,107.28,2810127,0.248,0.088,0.1264,0.11002
13/07/2021,107.68,108.92,105.95,106.51,1491924,0.122,0.102,0.1182,0.11034
19/07/2021,101,106.63,99.5138,105.52,2869517,0.228,0.124,0.123,0.11496
20/07/2021,104.49,108.66,102.3,107.68,2616962,0.042,0.117,0.1019,0.11584
21/07/2021,107.01,109.78,105.61,109.52,1731752,0.187,0.12,0.1062,0.11874
22/07/2021,110.16,115.38,109.76,113.77,2898881,0,0.142,0.104,0.11734
23/07/2021,114.05,117.4,112.53,117.24,2369831,0.11,0.122,0.1095,0.1138
26/07/2021,116.93,117.49,115.25,116.73,1770731,0.165,0.128,0.1089,0.10916
27/07/2021,116.57,116.9922,112.27,115.47,2169487,0.126,0.123,0.1172,0.11014
29/07/2021,119.39,122.77,119.11,120.39,2455689,0.096,0.104,0.11575,0.11122
30/07/2021,119.38,122.08,117.99,118.63,2546536,0.101,0.112,0.1131,0.11228
03/08/2021,118.79,120,117.42,119.57,1639949,0.076,0.096,0.1134,0.11218
04/08/2021,119.9,121.25,118.82,120,2451614,0.055,0.104,0.1118,0.11126
06/08/2021,117.28,121.33,115,118.82,3405479,0.131,0.088,0.1138,0.1121
09/08/2021,117.98,125.46,117.13,123.43,4416196,0.014,0.093,0.1102,0.11082
10/08/2021,125.73,127.7,122.39,125.47,8163383,0.088,0.091,0.1095,0.11072
11/08/2021,123.25,124,116.38,119.01,7776822,0.106,0.096,0.1128,0.1109
12/08/2021,117.4,125.78,117.0023,122.23,5855602,-0.092,0.075,0.10315,0.10692
16/08/2021,119.52,120.992,116.64,120.38,3322313,0.037,0.057,0.1005,0.10614
17/08/2021,120.22,121.33,117.93,119.84,2435099,0.22,0.053,0.103,0.10796
19/08/2021,115.89,120,115.0025,118.15,2523651,0.1,0.066,0.0956,0.10874
