Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
25/06/2020,77.73,82.68,76.2,81.67,16435690,0.126,,,
27/08/2020,90.39,99.69,90.24,94.35,18205970,0.017,,,
28/08/2020,97.12,98.2199,93.0864,94.67,9977958,0.013,,,
31/08/2020,92.64,93.914,86.37,92.84,12866900,0.023,,,
01/09/2020,93.63,98.45,93.5,95.4,8198791,-0.017,,,
02/09/2020,96,96.39,87.25,91.79,8823725,-0.008,0.035,,
03/09/2020,87.5,90.1362,80.91,81.7,10340550,-0.03,0.018,,
10/09/2020,84.48,87.22,82.12,82.6,4594528,0.009,0.001,,
16/09/2020,82.72,84.8,81.34,82.52,3844738,0.024,0.002,,
17/09/2020,78.1,82.51,77.53,82.38,4049353,0.052,0.008,,
22/09/2020,91.45,94.5,88.5819,94.31,6284931,-0.03,0.007,,
23/09/2020,94.25,95.35,87.385,88.11,5812646,0.016,0.01,,
24/09/2020,87.23,90.005,85.43,87.46,4531341,-0.066,0.005,,
30/09/2020,93.75,95.64,91.2,93.68,5297775,0.038,0.008,,
05/10/2020,97.1,98.51,94.835,95.91,3848356,0.033,0.017,,
07/10/2020,103.09,121.35,102.68,120.33,22993290,0.001,0.015,,
09/10/2020,118.21,128.77,117.3316,126.58,15746830,0.032,0.029,,
13/10/2020,127.44,136.5,127.03,128.83,10331600,0.032,0.029,,
14/10/2020,131.45,133.1899,121.36,123.18,16636550,0.038,0.029,,
15/10/2020,86.62,95.35,85.1,89.7,57719100,-0.016,0.022,0.01435,
21/10/2020,84,84.15,78.5647,79.25,14056060,0.008,0.018,0.00845,
23/10/2020,75.99,77.1499,73.5365,76.35,20221860,0.033,0.018,0.00925,
26/10/2020,76.05,77.38,72.76,74.02,10175660,0.005,0.016,0.00885,
04/12/2020,82.69,97.19,82.2,88.67,35554110,0.101,0.026,0.01275,
20/01/2021,98.11,99.6699,93.56,97.55,5124879,0.121,0.038,0.01965,
12/02/2021,102.47,103.3,99.31,102.06,5811059,-0.128,0.047,0.01365,
