Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
27/07/2015,153.8972,155.0393,153.51,153.965,3705475,0.999,,,
04/08/2015,153.3165,153.723,151.8356,152.5421,5253212,0.986,,,
05/08/2015,153.994,154.4199,152.426,152.8325,3469300,0.998,,,
06/08/2015,152.0872,152.4841,151.1677,151.3032,3004487,0.993,,,
26/08/2015,139.4657,142.263,137.5783,141.9919,6197128,0.997,,,
03/09/2015,141.3628,143.2793,141.0918,142.0694,3595764,0.994,0.994,,
08/09/2015,141.1789,142.6114,140.9853,142.5049,3919644,0.988,0.993,,
09/09/2015,143.9665,144.2568,140.2013,140.3949,3399297,0.989,0.993,,
11/09/2015,141.2273,142.7663,140.995,142.6404,3113803,0.995,0.993,,
15/09/2015,141.8952,143.1825,141.0821,142.7953,2713661,0.997,0.993,,
06/10/2015,144.2762,145.3312,143.7245,144.0052,3011246,0.991,0.992,,
10/11/2015,131.0159,131.3788,129.8157,131.1223,4448658,0.989,0.992,,
19/11/2015,131.8386,133.3151,131.645,132.3516,4753303,0.995,0.992,,
23/11/2015,134.0841,134.4132,132.7194,134.0164,5137820,0.998,0.993,,
15/12/2015,132.9904,134.51,132.8743,133.3679,4234341,0.994,0.994,,
16/12/2015,134.6552,135.1682,133.3679,134.8198,4342627,0.997,0.994,,
17/12/2015,134.8778,135.023,131.933,132.3613,4088762,0.996,0.994,,
29/12/2015,133.8131,135.565,133.7647,135.294,3943676,0.972,0.992,,
16/02/2016,117.9201,119.1397,117.4458,118.8009,4061016,0.997,0.993,,
29/02/2016,127.7637,129.0801,126.699,126.8248,4427070,0.997,0.993,0.9931,
14/03/2016,137.4525,138.5946,136.5136,138.1977,4047564,0.999,0.993,0.9931,
05/04/2016,146.5701,146.7347,144.8473,145.186,3336922,0.987,0.992,0.99315,
07/04/2016,144.2859,144.7989,143.2502,143.4922,3662508,0.996,0.992,0.99305,
12/04/2016,144.8086,145.2925,143.8116,144.8279,3592828,0.998,0.992,0.9933,
