Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
01/11/2021,326.04,333.45,326,329.98,31518890,0.333,,,
08/11/2021,344.42,344.789,338.34,338.62,18342460,0.971,,,
17/11/2021,344.24,347.3,340.1,340.77,13602810,0.991,,,
22/11/2021,349.05,353.83,340.51,341.01,27116810,0.989,,,
30/11/2021,335,335.81,323.43,324.46,25390010,0.817,,,
02/12/2021,311.4,314.6,307.2,310.39,24396170,0.996,,,
31/12/2021,343.015,343.44,336.27,336.35,12870480,0.989,0.869,,
03/01/2022,338.295,341.0816,337.19,338.54,14562850,0.361,0.873,,
04/01/2022,339.95,343.0854,331.8711,336.53,15997970,0,0.735,,
06/01/2022,322.82,339.165,322.72,332.46,27962810,0.998,0.636,,
14/01/2022,321.79,332.73,321.21,331.9,16868500,0.751,0.626,,
19/01/2022,319.582,327.1,319.33,319.59,20814740,0.997,0.626,,
21/01/2022,314.81,318.31,303.04,303.17,28710720,0.99,0.626,,
24/01/2022,297.84,309.53,289.01,308.71,38936900,0,0.575,,
08/06/2022,194.67,202.03,194.41,196.64,22267150,0.254,0.611,,
09/06/2022,194.28,199.45,183.68,184,23501580,0.117,0.587,,
10/06/2022,183.04,183.1,175.02,175.57,27478350,0.25,0.48,,
13/06/2022,170.59,172.575,164.03,164.26,31749300,0.254,0.241,,
14/06/2022,166.03,166.75,161.3601,163.73,27244270,0.622,0.33,,
15/06/2022,167.2,172.16,163.975,169.35,30008250,0.662,0.389,0.6171,
16/06/2022,163.72,165.08,159.61,160.87,26944140,0.623,0.461,0.6316,
17/06/2022,161.68,165.9,159.9,163.74,31374220,0.339,0.474,0.6,
21/06/2022,165.93,167.76,155.97,157.05,50724900,0.545,0.528,0.5777,
22/06/2022,158.38,160.79,155.44,155.85,47596820,0.303,0.477,0.5434,
23/06/2022,156.27,159.75,154.25,158.75,40499200,0.542,0.465,0.52965,
24/06/2022,161.725,170.25,161.3,170.16,68736010,0.515,0.49,0.5056,
27/06/2022,171.32,171.75,168.01,169.49,29174560,0.695,0.411,0.4909,
28/06/2022,169.9,171.3,160.61,160.68,27788730,0.352,0.383,0.49045,
29/06/2022,163.57,166.33,160.32,163.94,28595240,0.449,0.404,0.5129,
30/06/2022,162.15,165.23,158.49,161.25,35250610,0.197,0.355,0.47285,
01/07/2022,160.31,160.62,155,160.03,31423930,0.011,0.283,0.43585,
06/07/2022,168.2,171.59,165.46,169.77,23085920,0.354,0.048,0.4037,
07/07/2022,169.45,172.72,167.78,172.19,24083370,0.418,0.079,0.3751,
08/07/2022,169.98,172.4,168.1501,170.88,19249240,0.577,0.16,0.40395,
11/07/2022,167.065,167.49,161.91,162.88,21905130,0.158,0.323,0.39915,
12/07/2022,164.8,165.9107,162.1,163.27,16639660,0.443,0.336,0.41545,
13/07/2022,160.16,164.98,159.6127,163.49,16555140,0.309,0.33,0.4184,
14/07/2022,161.22,162.59,157.2801,158.05,23765170,-0.083,0.258,0.40155,
15/07/2022,160.54,164.98,159.82,164.7,23342810,0.436,0.238,0.39225,
18/07/2022,166.75,171.685,165.64,167.23,23574340,0.571,0.338,0.3877,
19/07/2022,170.37,176.49,169.51,175.78,25933680,0.293,0.316,0.3712,
20/07/2022,177.485,183.6,176.7,183.09,24784270,0.385,0.327,0.3735,
21/07/2022,180.63,183.85,178.87,183.17,27195820,0.408,0.397,0.36665,
22/07/2022,173.07,175.5995,168.41,169.27,42583920,0.107,0.35,0.35685,
25/07/2022,169,170.57,164.805,166.65,26166330,0.312,0.418,0.34535,
26/07/2022,165.94,166,157.95,159.15,28468420,0.353,0.427,0.33725,
27/07/2022,162.59,170.87,162.02,169.58,43846560,0.174,0.397,0.3112,
28/07/2022,161.06,161.51,154.85,160.72,73214330,0.259,0.375,0.30655,
29/07/2022,157.69,160.14,155.17,159.1,42065400,0.186,0.387,0.2934,
02/08/2022,158.31,162.24,158.01,160.19,27374520,0.501,0.224,0.3086,0.46148
03/08/2022,162.69,169.54,161.57,168.8,31717530,0.228,0.232,0.31945,0.45938
04/08/2022,168.295,172.15,166.8,170.57,23938210,0.296,0.237,0.31655,0.44588
08/08/2022,168,177.51,167.13,170.25,27299110,0.292,0.371,0.31025,0.4319
09/08/2022,168.95,169.53,166.6,168.53,18655060,0.513,0.372,0.30705,0.42238
10/08/2022,175.99,180.48,173.95,178.34,30262130,0.374,0.393,0.31785,0.41352
11/08/2022,179.71,183.1,176.37,177.49,24079060,0.358,0.402,0.3136,0.40076
12/08/2022,180.81,181.4572,178.911,180.5,21274050,0.251,0.391,0.3107,0.386
15/08/2022,178.96,181.44,178.2,180.89,15878670,0.286,0.368,0.32915,0.3845
16/08/2022,179.44,180.99,177.035,179.47,21156710,0.343,0.375,0.3245,0.39136
17/08/2022,176.76,178.14,174.17,174.85,20118130,-0.043,0.296,0.2938,0.37054
18/08/2022,174.34,175.76,171.86,174.66,18844450,0.147,0.264,0.2865,0.35846
