Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
22/06/2020,199.65,201.94,196.17,199.19,1860883,0.15,0.071,,
22/07/2020,212.75,216.03,208.79,210.82,752813,0.126,0.078,,
21/08/2020,212.13,213.5,206.12,208.39,1052250,0.058,0.081,,
16/10/2020,248,248.05,243.23,243.95,769926,0.034,0.08,,
11/12/2020,247.98,252.99,243.6501,252.35,1484504,0.103,0.09,,
18/12/2020,274.749,274.99,266.12,271.81,5752060,0.156,0.096,,
21/12/2020,271,278.99,269.33,275.54,1694529,0.128,0.096,,
04/01/2021,257.35,259.59,246.03,250.67,2186998,0.109,0.103,,
02/02/2021,266.93,276.87,266.42,276.33,979305,-0.153,0.117,,
11/02/2021,289.38,292.19,285.2507,286.64,646820,0.112,0.113,,
12/02/2021,286.8959,294,283.2032,291.78,724531,0.093,0.108,,
23/02/2021,263.83,271.35,252,270.58,1387272,0.003,0.093,,
03/03/2021,256.42,258.92,238.5,241.22,3325016,0.135,0.076,,
04/03/2021,220,239.51,218,226.22,9011479,0.074,0.109,,
05/03/2021,228.5,228.51,199.0801,215.96,6903123,-0.002,0.094,,
08/03/2021,217,220.8,207,208.51,2701977,0.074,0.077,,
09/03/2021,218.99,224.14,215.7982,219.98,2190954,0.119,0.093,,
11/03/2021,234.43,244.5652,232.8212,239.21,3150405,0.016,0.061,,
12/03/2021,234.28,236.25,221.16,227,2586434,0.154,0.064,,
16/03/2021,230.99,232.98,222.15,227,1917615,0.078,0.076,0.07835,
17/03/2021,224.32,229.81,218.55,224.89,1750603,0.088,0.087,0.07525,
19/03/2021,210.15,215.16,208.51,213.53,1887922,-0.02,0.074,0.06795,
23/03/2021,225,228.55,221.59,225.62,1150003,0.172,0.09,0.07365,
24/03/2021,226,227.97,217.64,218.59,1661586,0.094,0.092,0.07665,
25/03/2021,214.25,221.35,212.1465,217.61,1279515,0.06,0.089,0.0745,
26/03/2021,218,218.26,206.535,212.45,1959397,0.067,0.086,0.07005,
29/03/2021,212.01,217.74,210.93,215.82,1595155,0.073,0.14,0.0673,
30/03/2021,212.67,215.18,208.9,213.55,1681071,0.137,0.135,0.0687,
05/04/2021,231.05,231.94,226.45,226.83,1266105,0.022,0.124,0.07745,
06/04/2021,226.28,232.07,224.61,228.55,1472105,0.108,0.124,0.07725,
07/04/2021,228.99,228.99,220.14,222.56,1781579,0.117,0.082,0.07845,
08/04/2021,227.7,242.88,227.3201,238.48,4077391,0.074,0.082,0.082,
12/04/2021,241.25,251.85,240.7901,248.96,2553877,0.089,0.074,0.0797,
13/04/2021,251.99,267.21,251.92,265.32,2697905,0,0.059,0.076,
14/04/2021,264.81,268.14,258.77,259.91,1863978,0.076,0.053,0.0799,
15/04/2021,263.64,276.98,262.7,274.25,2184036,0.13,0.061,0.0827,
16/04/2021,273.71,273.8,264.68,269.98,2028353,0.119,0.068,0.0827,
19/04/2021,268.47,274.14,263.8,266.01,1096073,0.073,0.08,0.08555,
21/04/2021,262,277.07,260.6,274.54,1933921,0.095,0.081,0.0826,
22/04/2021,275.6,287.44,274.24,274.96,2574770,0.11,0.097,0.0842,
