Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
06/05/2020,36.83,39.256,35.21,38.03,27262600,0.151,0.121,,
15/05/2020,45.25,49.68,45.13,48.42,15808880,0.156,0.121,,
21/05/2020,44.98,45.6675,44.03,45.3,4292674,0.155,0.12,,
07/07/2020,61,62.2,59.7,60.82,6873814,0.148,0.139,,
10/07/2020,64.82,68.78,63.8,68.47,9163666,0.05,0.127,,
10/09/2020,93.55,98.61,86.38,87.75,55832560,0.144,0.136,,
17/09/2020,79.69,85.7,79.02,85.2,30607880,0.092,0.127,,
22/09/2020,90.33,94.65,88.43,94.39,43455620,0.144,0.125,,
20/10/2020,133.75,134.55,130.33,131.93,12668350,0.054,0.12,,
21/10/2020,132.79,136.95,124.28,124.3,19003720,0.145,0.12,,
05/11/2020,122.935,126.91,117.82,126.63,16320220,0.148,0.119,,
08/12/2020,115.92,118.55,113.0612,118.25,9196222,0.064,0.116,,
11/12/2020,117.99,119.44,114.59,117.1,6493917,0.099,0.11,,
15/12/2020,122.02,127.81,119.78,127.78,9907035,0.136,0.118,,
16/12/2020,128.7,134.22,128.51,134,14646750,0.256,0.134,,
21/12/2020,141.795,144.88,137.77,144.39,14272930,0.14,0.133,,
29/12/2020,150,154.11,146.37,150.1,9340584,0.019,0.114,,
14/01/2021,166.1,171.09,163.96,165.25,7498483,0.072,0.151,,
19/01/2021,152.55,152.9375,144.9001,150.14,10387650,0.001,0.139,,
22/01/2021,157.67,160.41,155.94,159.75,3226076,0.124,0.137,0.1149,
26/01/2021,156.5,158.67,147.49,147.79,6664735,0.145,0.112,0.1146,
28/01/2021,145.13,150.46,143.42,145.83,6281492,0.081,0.121,0.11085,
03/02/2021,149.51,150.7753,145.59,147.17,4095019,0.148,0.092,0.1105,
04/02/2021,148.57,157.83,148.01,157.53,11762600,0.153,0.104,0.11075,
08/02/2021,148.838,149.46,143.33,144.99,11386220,0.307,0.121,0.1236,
11/02/2021,146.66,148.04,144.03,146.48,4286535,0.052,0.105,0.119,
16/02/2021,155.5,155.52,145.7185,145.88,6758500,0.141,0.094,0.12145,
18/02/2021,136.13,140.6611,135.2,138.45,5947611,0.112,0.108,0.11985,
22/02/2021,137.32,138.61,125.08,125.75,9730216,0.159,0.131,0.1251,
23/02/2021,122.23,126.95,111.94,126.89,11065990,0.38,0.142,0.13685,
24/02/2021,123,127.1068,118.85,122.72,7718771,0.098,0.146,0.13435,
26/02/2021,118.21,121.78,114.61,120.47,8635538,0.119,0.156,0.1371,
02/03/2021,125,126.7399,117.63,117.97,5277759,-0.081,0.133,0.1281,
03/03/2021,117.905,118,107.8,108.08,10930860,0.081,0.124,0.12535,
05/03/2021,105.15,107.74,94,105.13,14661530,0.05,0.099,0.11505,
08/03/2021,108.69,115.39,100.42,101.35,13486340,0.032,0.045,0.10965,
09/03/2021,108.18,116.46,106.29,116.02,11068360,0.082,0.04,0.1128,
12/03/2021,113.49,115.2,109.25,111.55,8118595,0.058,0.059,0.1121,
15/03/2021,111.67,112.75,107.35,112.74,5338541,0.065,0.085,0.1153,
16/03/2021,113.61,113.98,106.2,107.96,5673564,0.139,0.095,0.11605,
17/03/2021,105.525,109.39,102.26,107.79,9712972,0.086,0.102,0.1131,
18/03/2021,105.005,107.48,101.6698,102.74,7912572,-0.016,0.088,0.10825,
19/03/2021,103.15,108.93,102.03,108.31,11222230,-0.002,0.08,0.10075,
22/03/2021,108.97,110.73,106.65,109.54,6913582,0.082,0.061,0.0972,
23/03/2021,111,116.29,109.51,113.35,9079464,0.088,0.054,0.08625,
24/03/2021,112.48,112.8899,101.12,101.79,10340030,0.021,0.045,0.0847,
25/03/2021,99.67,104.47,98.73,103.23,8356536,0.099,0.061,0.0826,
26/03/2021,104.11,106.56,102.4,106.42,6479661,0.081,0.073,0.08105,
29/03/2021,106,108.45,103.9,105.02,5163043,0.114,0.069,0.0788,
30/03/2021,103.81,107.48,101.8105,107.17,4201183,0,0.058,0.0598,0.10344
01/04/2021,114.99,118.96,111.67,112.09,6986404,0.12,0.062,0.0609,0.10282
05/04/2021,112.88,112.98,107.73,109.09,6347953,0.203,0.091,0.0651,0.10376
06/04/2021,109.24,117.4511,108.28,115.38,7403248,0.111,0.095,0.0747,0.10288
08/04/2021,117.5,124.5,116.63,123.62,14751520,0.01,0.102,0.07115,0.10012
09/04/2021,122.492,122.7,118.41,118.6,6751118,0.194,0.13,0.07835,0.103
12/04/2021,118.06,119.425,115.2648,118.97,5596330,0.09,0.133,0.08125,0.10192
13/04/2021,121.49,124.8,120.59,122.36,6644727,0.067,0.126,0.0805,0.10142
14/04/2021,122.664,122.91,117.39,117.8,5802608,0.122,0.122,0.0837,0.10098
15/04/2021,120,121.795,118.2,119.9,4704666,0.059,0.129,0.0834,0.10108
19/04/2021,108.62,112.91,104.58,107.75,22451330,-0.029,0.081,0.075,0.0976
20/04/2021,108.11,109.14,103.92,106.5,8472758,0.073,0.046,0.07435,0.0961
21/04/2021,103.29,104.25,99.12,99.93,16621100,0.06,0.041,0.07815,0.09602
22/04/2021,101.1572,105.08,100.0343,101.49,14597530,0.073,0.042,0.0819,0.0955
23/04/2021,102.38,103.59,99.74,101.07,10158160,-0.005,0.024,0.07755,0.09268
26/04/2021,102.66,103.2739,100.4106,103.27,8022653,0.011,0.011,0.0737,0.08778
