Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
18/08/2020,147.3,152.19,146.51,149.85,5945820,0.111,0.088,,
15/10/2020,225,230.0664,223.65,226.47,4741012,0.007,0.091,,
30/10/2020,217.1,218.1299,200.45,202.4,4607977,0.092,0.083,,
16/11/2020,222.2,232.89,220.6,232.7,2971567,0.097,0.084,,
15/12/2020,325.41,331.1,319.01,320.14,3372550,0.071,0.086,,
21/12/2020,344,358.79,341.54,354,6435198,0.133,0.089,,
07/01/2021,352.01,379.39,352,379.29,8091042,0.035,0.081,,
13/01/2021,419.3,422.9999,404.503,408.6,4036917,0.252,0.116,,
15/01/2021,418,425.99,407.09,408.3,3365868,0.105,0.117,,
19/01/2021,420.73,438.36,420.0918,434.14,6043327,0.001,0.104,,
22/01/2021,422,429.8899,418.33,422.85,2989751,0.104,0.1,,
18/02/2021,448.5,462.5,441.77,452.99,4890448,0.025,0.075,,
19/02/2021,462.03,472.8261,442.77,467.31,7685532,0.105,0.085,,
26/02/2021,391.4,401.8785,380.6601,395.48,4452767,0.397,0.105,,
02/03/2021,425.98,429.44,388.7,389.67,6013398,0.102,0.117,,
03/03/2021,395.01,402.9796,367.9,369.5,7048884,0.079,0.114,,
05/03/2021,358.5,361.9099,322.43,353.54,7957530,0.027,0.131,,
09/03/2021,348.502,362.86,340.41,361.11,5158342,0.099,0.086,,
11/03/2021,370,370,358.94,363.34,3578767,0.094,0.087,,
12/03/2021,350.14,361.48,346.14,359.96,2720084,0.062,0.081,0.0999,
15/03/2021,358.9797,363.45,354.0601,362.92,2363639,0.074,0.08,0.09805,
17/03/2021,346.25,370.99,341.29,368.71,3370532,0.078,0.074,0.1016,
18/03/2021,359.03,361.35,341.38,341.95,3370467,0.05,0.077,0.0995,
19/03/2021,342.6,350.55,334.04,347.51,3549500,0.132,0.084,0.10125,
22/03/2021,352.8975,361.33,350.9752,356.32,2699815,0.106,0.097,0.103,
23/03/2021,357.12,363.87,341.53,342.24,3335696,0.066,0.096,0.09965,
25/03/2021,311.25,322.68,307.26,317.62,4151183,0.129,0.103,0.10435,
26/03/2021,315.6484,318.7835,292.92,306.82,5156235,0.01,0.098,0.09225,
29/03/2021,303.82,308.75,293.61,300.79,3522647,0.093,0.098,0.09165,
30/03/2021,303.704,314.81,296.36,311.96,4278944,0.085,0.086,0.09585,
31/03/2021,316,329,314.01,325.77,3575605,0,0.07,0.09065,
01/04/2021,337.67,343.42,329.11,331.9,3507438,0.05,0.068,0.0919,
05/04/2021,338.01,338.01,322.58,328.29,2618474,0.09,0.069,0.09115,
06/04/2021,333.85,363.08,331.4,359.37,7272672,0.104,0.068,0.0765,
13/04/2021,376.95,389.607,374.9,387.97,3268862,0.051,0.069,0.07395,
14/04/2021,390.8275,397.69,373.4701,374.66,3490643,0.081,0.073,0.07405,
15/04/2021,381.13,392.75,376.2501,388.64,2986289,0.137,0.085,0.07955,
16/04/2021,387.61,388.39,375.69,376.52,2674071,0.135,0.091,0.08135,
19/04/2021,370.26,378.7453,354.4,361.15,2823446,0.114,0.093,0.08235,
20/04/2021,360.79,366.56,349.19,354.85,2396827,0.055,0.092,0.082,
21/04/2021,341.62,356.9677,336.2701,356.62,3233682,0.09,0.095,0.0828,
22/04/2021,354.54,367.38,346.63,350.06,3049020,0.016,0.09,0.0797,
23/04/2021,355.46,357.6,347.66,356.87,1927981,0.13,0.097,0.0837,
26/04/2021,358.99,368.98,347.54,368.63,3774279,-0.093,0.064,0.07245,
27/04/2021,371,376.5,359.56,360.65,2293754,0.127,0.063,0.0735,
28/04/2021,359.3,364.8399,354.7,357.74,1443703,0.126,0.064,0.0765,
29/04/2021,370.57,377.5,353.17,356.7,3781992,0.077,0.068,0.0739,
30/04/2021,349.41,352.6497,341.8501,342.97,3081113,0.045,0.061,0.07565,
04/05/2021,329.55,330.39,310.71,319.59,3785248,0.048,0.063,0.0734,
05/05/2021,327.46,328,301.8375,304.17,3751603,0.207,0.106,0.0795,0.08822
10/05/2021,309.26,316.24,299.13,301.41,8682998,0.08,0.097,0.0835,0.0876
11/05/2021,289.4,316.63,287.6593,314.12,7499490,0.061,0.089,0.08405,0.08868
13/05/2021,314.55,323.5,303.03,309.6,6695786,0.033,0.087,0.0812,0.0875
18/05/2021,314.21,332.41,310.46,325.53,5946674,0.13,0.076,0.0825,0.08816
19/05/2021,318.77,323.7,313.0401,320.84,3154147,0,0.064,0.07995,0.08674
20/05/2021,326.737,336.92,323.7,335.98,3662770,0.049,0.055,0.07835,0.08506
21/05/2021,338,339.8899,330.41,330.65,2216196,0.054,0.058,0.0742,0.08544
25/05/2021,349.41,356.7,344.1425,345.7,2899082,0.055,0.072,0.0702,0.0815
27/05/2021,348.3,349.8,342.74,349.03,2330478,0.074,0.064,0.0682,0.08088
