Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
16/07/2015,17.6147,17.8133,17.544,17.7787,23973783,0.989,,,
22/07/2015,17.418,17.9627,17.3907,17.858,46459867,0.318,,,
05/08/2015,17.572,18.0667,17.36,18.0087,89538630,0.318,,,
13/08/2015,15.9907,16.432,15.9413,16.1673,70249915,0.989,,,
31/08/2015,16.3747,16.9967,16.3673,16.604,70325560,0.898,,,
02/10/2015,15.7067,16.5133,15.662,16.5047,66114192,0.796,,,
19/10/2015,15.1,15.41,14.996,15.2067,37602521,0.318,0.661,,
03/11/2015,14.2567,14.296,13.85,13.89,120976305,0.49,0.59,,
25/01/2016,13.3373,13.5713,13.0587,13.092,40431100,0,0.538,,
10/02/2016,10.0333,10.3313,9.4493,9.578,151570274,0,0.396,,
04/04/2016,16.608,16.808,16.2427,16.466,200717300,0,0.268,,
20/04/2016,16.4173,16.9107,16.1,16.6647,77885106,0.318,0.2,,
04/05/2016,15.3527,15.6307,14.6933,14.8373,128249996,0,0.154,,
23/09/2016,13.7327,14.012,13.7113,13.83,43561853,0.296,0.148,,
07/10/2016,13.4,13.4213,13.0533,13.1073,52342174,0.318,0.281,,
26/10/2016,13.4,13.546,13.34,13.4827,80203355,0.318,0.326,,
01/11/2016,13.2027,13.2333,12.5403,12.7193,105355057,0.318,0.326,,
15/11/2016,12.1853,12.4287,12.1367,12.2513,58496116,0.911,0.456,,
03/01/2017,14.324,14.6887,14.064,14.466,88522366,-0.297,0.354,,
02/02/2017,16.556,16.828,16.514,16.77,37481966,0.318,0.357,0.3808,
22/02/2017,18.6873,18.8967,18.1733,18.234,128067101,0.318,0.315,0.34725,
06/03/2017,16.5273,16.78,16.5007,16.7473,50303990,0.579,0.352,0.3603,
15/03/2017,17.1333,17.4,16.9513,17.0487,78500436,0.991,0.448,0.39395,
13/04/2017,19.78,20.4927,19.6867,20.2667,139135160,0.318,0.364,0.3604,
03/05/2017,21.178,21.4353,20.6967,20.7347,103188833,0,0.406,0.3155,
03/07/2017,24.6827,24.7567,23.4333,23.508,94580968,0.935,0.494,0.32245,
07/07/2017,20.9,21.1333,20.492,20.8813,211949144,0.923,0.581,0.3527,
11/07/2017,21.0667,21.8187,20.9533,21.8147,172901314,0.318,0.543,0.3441,
02/08/2017,21.2627,21.808,20.748,21.726,179135160,0.318,0.447,0.36,
07/08/2017,23.8233,23.9653,23.5167,23.678,94639918,0.949,0.537,0.40745,
11/08/2017,23.798,24.084,23.5747,23.858,65363397,0.936,0.626,0.45425,
02/10/2017,22.8347,22.9133,22.3673,22.7687,78413166,0.863,0.749,0.4815,
05/10/2017,23.7333,23.829,23.4233,23.6887,62518664,0.997,0.758,0.53135,
11/10/2017,23.5927,23.84,23.41,23.64,67420961,0.713,0.728,0.5522,
19/10/2017,23.704,23.8098,23.2133,23.454,75835687,0.318,0.728,0.5522,
23/10/2017,23.3253,23.33,22.4167,22.468,86093927,-0.7,0.582,0.5013,
25/10/2017,22.4467,22.5,21.5707,21.7227,128754221,-0.915,0.316,0.43965,
27/10/2017,21.3167,21.6393,21.1107,21.3913,104525423,-0.975,0.043,0.34535,
31/10/2017,21.3487,22.13,21.3453,22.102,84750888,-0.949,-0.493,0.31275,
01/11/2017,22.15,22.1739,21.3507,21.4053,123637243,0.318,-0.549,0.31275,
03/11/2017,19.9667,20.4167,19.6753,20.406,133288928,0.934,-0.461,0.34355,
07/11/2017,20.068,20.4333,20.002,20.4033,79272620,-0.744,-0.467,0.2774,
