Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
12/11/2020,105,106.532,99.505,101.74,2968206,0,,,
04/12/2020,149.09,154.88,146.61,150.94,1498610,0.102,,,
15/12/2020,150,150.01,142.33,144.58,1461087,0.069,,,
16/12/2020,145.89,150.76,144.68,146.69,1516069,0.055,,,
07/01/2021,138,140.97,135.2,138.57,3225253,-0.024,,,
13/01/2021,149,156.69,148.5201,151.13,1641807,0.163,0.073,,
19/01/2021,150.81,151.2,143.79,144.89,1505222,0.076,0.084,,
05/02/2021,132,139.78,128.5,128.64,17012090,-0.087,0.054,,
12/02/2021,125.03,126.07,122.32,126.07,4275275,0.093,0.059,,
19/02/2021,118.57,121.4,118.24,121.4,4919174,0,0.078,,
23/02/2021,107.3,112.87,98.03,110.61,11523930,0.045,0.061,,
25/02/2021,109.3,110.521,102.06,104.55,6767333,0.142,0.07,,
02/03/2021,110,111.5,107.62,108.1,3534374,0.1,0.078,,
03/03/2021,107.53,108.25,100.6499,102.8,4662997,0.163,0.113,,
05/03/2021,96.06,97.7,86,93.82,8271083,0.08,0.112,,
09/03/2021,98.57,99.75,96.42,98.05,5728340,0.183,0.102,,
10/03/2021,100.2,102.44,97.6,99.89,4251263,0.146,0.123,,
11/03/2021,104.66,107.3414,103.5001,106.6,5078615,-0.084,0.104,,
12/03/2021,104.15,105.89,101.57,105.7,2846781,0.081,0.096,,
15/03/2021,107,110.1,105.49,109.67,4033880,0,0.081,0.06515,
16/03/2021,112.88,114.14,106.67,108.89,4363675,0.079,0.069,0.0691,
17/03/2021,106.22,110.59,104.0655,108.98,5580097,0.08,0.069,0.068,
18/03/2021,108.5,108.99,100.71,101.67,5982403,0.133,0.062,0.0712,
19/03/2021,101.89,102.77,99.21,100.53,6377326,0.079,0.053,0.0724,
22/03/2021,101.36,102.76,99.5,100.34,5359294,0.081,0.076,0.07765,
23/03/2021,99.8,100.85,96.75,97.19,5385074,0.04,0.07,0.0715,
24/03/2021,96.49,97.88,92.17,92.71,4231821,0.126,0.088,0.074,
25/03/2021,90,92.06,88.2868,90.88,6043708,0.046,0.084,0.08065,
26/03/2021,94.07,96.442,91.01,95.53,3285664,-0.023,0.069,0.07485,
31/03/2021,98.58,101.99,97.76,100.31,3168548,0.014,0.052,0.07555,
01/04/2021,103,103.93,99.71,101.08,4360461,0.109,0.056,0.07875,
05/04/2021,102.9,103.2499,99.86,100.6,2427350,0.09,0.057,0.07615,
07/04/2021,101.49,102,97.63,97.89,2648068,0.136,0.071,0.07795,
13/04/2021,98.52,102.1,98.5,101.57,2919532,0.151,0.075,0.07735,
