Date,Open,High,Low,Close,Volume,Avg,MA7,MA20,MA50
29/04/2020,147.98,151,143.38,146.48,22033320,-0.012,0.034,,
30/04/2020,139.99,143.8,133.6801,135.17,16682260,0.001,0.03,,
01/05/2020,136,141.63,132.67,138.56,13806990,0.082,0.04,,
05/05/2020,144.43,148.44,140.86,144.82,7376349,0.098,0.045,,
06/05/2020,145.47,150.74,144.09,149.59,6031085,0.067,0.049,,
07/05/2020,154.84,162,154.04,157.8,8388863,0.096,0.05,,
08/05/2020,160,161.16,152.7046,155.4,7079101,0.019,0.055,,
11/05/2020,159.43,168,158,166.48,10142710,0.132,0.073,,
13/05/2020,163.61,171.5,159.17,167.14,11081300,-0.002,0.061,,
14/05/2020,168.26,170.8,162.89,167.91,6730504,0.09,0.071,,
15/05/2020,166.75,175.44,166.56,174.83,8540460,0.032,0.062,,
19/05/2020,167,173.86,166.21,173.68,8485526,-0.007,0.051,,
20/05/2020,173.53,175.64,170.53,175.48,6910014,0.021,0.041,,
21/05/2020,175.96,177.8,168.36,172.03,5525274,0.046,0.045,,
26/05/2020,169.1,169.69,163.12,164,6689691,0.087,0.038,,
27/05/2020,158.01,162.22,149.16,161.97,10076710,0.024,0.042,,
28/05/2020,159.23,169.4,159.2,163.55,6393691,0.096,0.043,,
02/06/2020,210.25,212.69,197.32,208.08,36853400,0.032,0.043,,
08/06/2020,204.35,211.44,198.66,209.83,10457500,0.029,0.048,,
09/06/2020,209.83,210.59,202.93,205.43,7521808,0.121,0.062,0.0526,
10/06/2020,208.89,221.53,208.26,221.02,12241110,0.023,0.059,0.05435,
11/06/2020,219.18,232,218.5,222.07,17615750,0.188,0.073,0.0637,
15/06/2020,227.84,239.59,226.38,239.02,13959080,0.097,0.084,0.06445,
24/06/2020,254.5,258.75,248.6,255.9,9862774,0.137,0.09,0.0664,
30/06/2020,249.87,256.83,248.35,253.54,6305519,0.167,0.109,0.0714,
02/07/2020,261,263.8,258,261.74,5629042,0.14,0.125,0.0736,
07/07/2020,261.55,266.45,258.1,262.1,7819728,0.111,0.123,0.0782,
13/07/2020,278.63,281,256.3376,260.3,9293047,0.144,0.141,0.0788,
15/07/2020,253.7,257.5,248.12,256.22,6073639,0.132,0.133,0.0855,
16/07/2020,250.39,253,243.43,248.54,5420142,0.086,0.131,0.0853,
21/07/2020,268.75,269.75,258.2,260.44,4761971,0.12,0.129,0.0897,
23/07/2020,260.84,264.9,249.21,251.5,4589358,0.101,0.119,0.0951,
03/08/2020,256.83,271.1,256.11,268,6787878,0.066,0.109,0.09735,
17/08/2020,248.7,267.94,248.51,266.15,8959207,0.134,0.112,0.10175,
19/08/2020,274.6849,279.59,270.3221,273.51,4674004,0.145,0.112,0.10465,
25/08/2020,279,293.7216,275.8101,290.44,4602867,0.154,0.115,0.11115,
28/08/2020,299.22,303.58,297.26,299.27,5353424,0.167,0.127,0.1147,
31/08/2020,304.01,325.8998,301.27,325.1,23468140,0.062,0.118,0.1162,
01/09/2020,439.51,478,410.68,457.69,53346790,0.078,0.115,0.11865,
03/09/2020,399.55,409.9,367,381.32,20304340,0.004,0.106,0.1128,
08/09/2020,350.7,365.4999,345.68,350.88,7966481,0.12,0.104,0.11765,
17/09/2020,389,417.82,387,413.125,9260430,0.129,0.102,0.1147,
18/09/2020,419.8,442,407.5,438.73,22315720,-0.202,0.051,0.09975,
23/09/2020,489.49,529.74,483.2534,500.53,27051300,0.124,0.045,0.0991,
24/09/2020,487.01,502.25,457.69,464.98,17896570,-0.065,0.027,0.0875,
29/09/2020,488.13,489.8,463,465.5,15241180,0.171,0.04,0.08905,
06/10/2020,480.51,487.8999,473.2229,478.25,6097682,0.168,0.064,0.0919,
07/10/2020,482.5,487.5,477.11,480.61,4449496,0.051,0.054,0.08725,
08/10/2020,484,489.49,475.58,478.55,4193060,0.15,0.057,0.08815,
09/10/2020,487.99,498.9,484.08,492.41,8719691,0.13,0.104,0.09035,0.08168
12/10/2020,501.43,506.11,490.4779,491.54,6979462,0.098,0.1,0.08925,0.08388
14/10/2020,518.78,519.8,498.6,509.25,8327654,0.12,0.127,0.0902,0.08626
23/10/2020,522.33,526.9999,505.41,511.52,5377118,0.037,0.108,0.08875,0.08536
26/10/2020,520.489,541.105,510.31,517.79,10080800,0.098,0.098,0.08695,0.08536
02/11/2020,462.29,477,440,453,8051893,0.11,0.106,0.0852,0.08622
09/11/2020,433,446.47,402,413.24,18033550,0.1,0.099,0.0825,0.0863
10/11/2020,412.504,414.45,366.28,376.01,20751950,-0.022,0.077,0.07305,0.08548
18/11/2020,399,423.5,390.22,415.04,10974220,0.156,0.086,0.07775,0.08596
30/11/2020,485.7,486.83,460,478.36,16646500,0.062,0.077,0.07695,0.08724
02/12/2020,399,424.55,394.57,412.86,10962840,0.062,0.081,0.07985,0.08668
04/12/2020,409.26,418.88,408.1861,410.01,4447314,0.102,0.081,0.07895,0.08808
07/12/2020,411,416.8,405.4538,407.85,4427276,0.068,0.075,0.0759,0.08958
09/12/2020,406.748,409.99,381.5,385.36,8956659,0.006,0.062,0.0863,0.08928
11/12/2020,395.35,397.3393,384.6136,397.01,4677441,0.058,0.073,0.083,0.08952
15/12/2020,398.505,410.32,395.08,399.43,5144653,0.128,0.069,0.09265,0.09034
16/12/2020,400.4861,406.5579,393.46,404,4158539,0.205,0.09,0.09435,0.09396
18/12/2020,403.8,408.11,398.25,406.01,6174772,0.04,0.087,0.08795,0.09284
22/12/2020,408.5,413.5,396.5,409,4218767,0.103,0.087,0.09055,0.09426
24/12/2020,383.88,384.88,375,375.17,3850734,0.139,0.097,0.09,0.09646
29/12/2020,350.6597,359.9072,350.13,353.75,6080283,0.019,0.099,0.08445,0.09442
04/01/2021,340.4,363.09,339.2,359.98,8598300,0.109,0.106,0.085,0.09614
08/01/2021,345.2,350,340.34,349.61,5009213,0.348,0.138,0.0964,0.09934
12/01/2021,333.2,358.9,331.1,356.81,8972461,0.096,0.122,0.09935,0.09932
13/01/2021,360,384.23,348.6512,364.63,14056550,-0.034,0.111,0.09275,0.0959
