date,open,high,low,close,volume
12/12/1980,0.0991,0.0995,0.0991,0.0991,469033600
15/12/1980,0.0944,0.0944,0.0939,0.0939,175884800
16/12/1980,0.0874,0.0874,0.087,0.087,105728000
17/12/1980,0.0892,0.0896,0.0892,0.0892,86441600
18/12/1980,0.0918,0.0922,0.0918,0.0918,73449600
19/12/1980,0.0974,0.0978,0.0974,0.0974,48630400
22/12/1980,0.1021,0.1025,0.1021,0.1021,37363200
23/12/1980,0.1064,0.1068,0.1064,0.1064,46950400
24/12/1980,0.112,0.1125,0.112,0.112,48003200
26/12/1980,0.1223,0.1228,0.1223,0.1223,55574400
29/12/1980,0.1241,0.1245,0.1241,0.1241,93161600
30/12/1980,0.1215,0.1215,0.121,0.121,68880000
31/12/1980,0.118,0.118,0.1176,0.1176,35750400
02/01/1981,0.1189,0.1198,0.1189,0.1189,21660800
05/01/1981,0.1167,0.1167,0.1163,0.1163,35728000
06/01/1981,0.1116,0.1116,0.1111,0.1111,45158400
07/01/1981,0.1068,0.1068,0.1064,0.1064,55686400
08/01/1981,0.1047,0.1047,0.1043,0.1043,39827200
09/01/1981,0.1099,0.1103,0.1099,0.1099,21504000
12/01/1981,0.1099,0.1099,0.109,0.109,23699200
13/01/1981,0.1056,0.1056,0.1051,0.1051,23049600
14/01/1981,0.1056,0.106,0.1056,0.1056,14291200
15/01/1981,0.1077,0.1086,0.1077,0.1077,14067200
16/01/1981,0.1073,0.1073,0.1068,0.1068,13395200
19/01/1981,0.1133,0.1137,0.1133,0.1133,41574400
20/01/1981,0.1103,0.1103,0.1099,0.1099,30083200
21/01/1981,0.112,0.1129,0.112,0.112,15904000
22/01/1981,0.1133,0.1142,0.1133,0.1133,35548800
23/01/1981,0.1133,0.1137,0.1129,0.1129,11222400
26/01/1981,0.1116,0.1116,0.1111,0.1111,24640000
27/01/1981,0.1111,0.1111,0.1103,0.1103,23699200
28/01/1981,0.1073,0.1073,0.1068,0.1068,28156800
29/01/1981,0.1034,0.1034,0.1029,0.1029,43904000
30/01/1981,0.0982,0.0982,0.0974,0.0974,46188800
02/02/1981,0.0922,0.0922,0.0918,0.0918,23766400
03/02/1981,0.0952,0.0956,0.0952,0.0952,19152000
04/02/1981,0.0986,0.0991,0.0986,0.0986,27865600
05/02/1981,0.0986,0.0995,0.0986,0.0986,7929600
06/02/1981,0.0991,0.0995,0.0991,0.0991,13865600
09/02/1981,0.0948,0.0948,0.0939,0.0939,16755200
10/02/1981,0.0939,0.0944,0.0939,0.0939,18345600
11/02/1981,0.0913,0.0913,0.0909,0.0909,13843200
12/02/1981,0.0905,0.0905,0.0901,0.0901,14560000
13/02/1981,0.0887,0.0887,0.0879,0.0879,11155200
17/02/1981,0.0901,0.0905,0.0901,0.0901,12275200
18/02/1981,0.0939,0.0948,0.0939,0.0939,19241600
19/02/1981,0.0887,0.0887,0.0883,0.0883,22310400
20/02/1981,0.084,0.084,0.0836,0.0836,24371200
23/02/1981,0.0848,0.0853,0.0848,0.0848,14112000
24/02/1981,0.0827,0.0827,0.0819,0.0819,16979200
25/02/1981,0.087,0.0874,0.087,0.087,19488000
26/02/1981,0.0883,0.0887,0.0883,0.0883,10841600
27/02/1981,0.0913,0.0922,0.0913,0.0913,14761600
02/03/1981,0.0918,0.0922,0.0918,0.0918,11760000
03/03/1981,0.0909,0.0909,0.0905,0.0905,16172800
04/03/1981,0.0901,0.0901,0.0896,0.0896,13708800
05/03/1981,0.0896,0.0896,0.0892,0.0892,5376000
06/03/1981,0.0892,0.0892,0.0883,0.0883,11603200
09/03/1981,0.0819,0.0819,0.0814,0.0814,15321600
10/03/1981,0.078,0.078,0.0775,0.0775,28380800
11/03/1981,0.0754,0.0754,0.0745,0.0745,29859200
12/03/1981,0.0775,0.078,0.0775,0.0775,59248000
13/03/1981,0.0771,0.0771,0.0767,0.0767,231302400
16/03/1981,0.0797,0.0805,0.0797,0.0797,37228800
17/03/1981,0.0836,0.0844,0.0836,0.0836,43747200
18/03/1981,0.0887,0.0896,0.0887,0.0887,36937600
19/03/1981,0.0883,0.0883,0.0879,0.0879,37811200
20/03/1981,0.0887,0.0896,0.0887,0.0887,14604800
23/03/1981,0.0922,0.0931,0.0922,0.0922,22019200
24/03/1981,0.0922,0.0922,0.0918,0.0918,28156800
25/03/1981,0.0909,0.0909,0.0901,0.0901,7056000
26/03/1981,0.0887,0.0887,0.0883,0.0883,12275200
27/03/1981,0.0857,0.0857,0.0853,0.0853,12252800
30/03/1981,0.0853,0.0862,0.0853,0.0853,9900800
31/03/1981,0.0853,0.0853,0.0844,0.0844,15993600
01/04/1981,0.084,0.084,0.0836,0.0836,34070400
02/04/1981,0.0909,0.0913,0.0909,0.0909,31404800
03/04/1981,0.0913,0.0918,0.0913,0.0913,16486400
06/04/1981,0.0901,0.0901,0.0896,0.0896,22803200
07/04/1981,0.0892,0.0892,0.0887,0.0887,10684800
08/04/1981,0.0931,0.0939,0.0931,0.0931,21952000
09/04/1981,0.0948,0.0952,0.0948,0.0948,12499200
10/04/1981,0.0961,0.0965,0.0961,0.0961,33465600
13/04/1981,0.0961,0.0965,0.0961,0.0961,16060800
14/04/1981,0.0961,0.0965,0.0961,0.0961,6652800
15/04/1981,0.0918,0.0918,0.0913,0.0913,34048000
16/04/1981,0.0866,0.0866,0.0862,0.0862,23878400
20/04/1981,0.0887,0.0892,0.0887,0.0887,35347200
21/04/1981,0.0948,0.0952,0.0948,0.0948,28537600
22/04/1981,0.0982,0.0986,0.0982,0.0982,18995200
23/04/1981,0.1008,0.1012,0.1008,0.1008,58016000
24/04/1981,0.1008,0.1008,0.0999,0.0999,35056000
27/04/1981,0.0995,0.0995,0.0991,0.0991,38528000
28/04/1981,0.0978,0.0978,0.0974,0.0974,32188800
29/04/1981,0.0965,0.0965,0.0961,0.0961,13641600
30/04/1981,0.0978,0.0986,0.0978,0.0978,12611200
01/05/1981,0.0978,0.0986,0.0978,0.0978,16553600
04/05/1981,0.0978,0.0978,0.0974,0.0974,14448000
05/05/1981,0.0974,0.0974,0.0969,0.0969,17539200
06/05/1981,0.0948,0.0948,0.0944,0.0944,18950400
07/05/1981,0.0956,0.0961,0.0956,0.0956,9363200
08/05/1981,0.0965,0.0969,0.0965,0.0965,7907200
11/05/1981,0.0948,0.0948,0.0944,0.0944,11939200
12/05/1981,0.0944,0.0956,0.0944,0.0944,4256000
13/05/1981,0.0944,0.0952,0.0939,0.0939,4905600
14/05/1981,0.0935,0.0935,0.0926,0.0926,4928000
