Date,Close,Volume,Open,High,Low,avg,7ma,
14/04/2025,182.12,48002540.00,186.84,187.44,179.23,0.194,0.14,
11/04/2025,184.87,50594340.00,179.93,185.86,178.00,0.101,0.174,
10/04/2025,181.22,68302050.00,185.44,186.87,175.85,0.102,0.186,
09/04/2025,191.10,116804300.00,172.12,192.65,169.93,0.163,0.156,
08/04/2025,170.66,87710360.00,185.23,185.90,168.57,0.256,0.151,
07/04/2025,175.26,109327100.00,162.00,183.41,161.38,0.174,0.133,
04/04/2025,171.00,123159400.00,167.15,178.14,166.00,0.183,0.14,
03/04/2025,178.41,95553620.00,183.00,184.13,176.92,-0.108,0.116,
02/04/2025,196.01,53679200.00,187.66,198.34,187.66,0.127,0.155,
01/04/2025,192.17,41267320.00,187.86,193.93,187.20,0.128,0.151,
31/03/2025,190.26,63547560.00,188.19,191.33,184.40,0.167,0.154,
28/03/2025,192.72,52548230.00,198.42,199.26,191.88,0.021,0.084,
27/03/2025,201.36,27317660.00,200.89,203.79,199.28,0.16,0.109,
26/03/2025,201.13,32990970.00,205.84,206.01,199.93,0.102,0.099,
25/03/2025,205.71,31171160.00,203.60,206.21,203.22,0.146,0.101,
24/03/2025,203.26,41625370.00,200.00,203.64,199.95,0.06,0.117,
21/03/2025,196.21,60056920.00,192.90,196.99,192.52,0.192,0.137,
20/03/2025,194.95,38921110.00,193.07,199.32,192.30,0.091,0.128,
19/03/2025,195.54,39442880.00,193.38,195.97,191.96,0.121,0.137,
18/03/2025,192.82,40414870.00,192.52,194.00,189.38,0.256,0.135,
17/03/2025,195.74,47341750.00,198.77,199.00,194.32,0.13,0.142,
14/03/2025,197.95,38096660.00,197.41,198.65,195.32,-0.005,0.132,
13/03/2025,193.89,41270760.00,198.17,198.88,191.82,0.135,0.152,
12/03/2025,198.89,43679280.00,200.72,201.52,195.29,0.153,0.131,
11/03/2025,196.59,54002880.00,193.90,200.18,193.40,0.104,0.127,
10/03/2025,194.54,62350930.00,195.60,196.73,190.85,0.308,0.101,
07/03/2025,199.25,59802820.00,199.49,202.27,192.53,0.138,0.084,
06/03/2025,200.70,49863760.00,204.40,205.77,198.30,-0.014,0.083,
05/03/2025,208.36,38610090.00,204.80,209.98,203.26,0.126,0.11,
04/03/2025,203.80,60853080.00,200.11,206.80,197.43,-0.079,0.127,
03/03/2025,205.02,42948450.00,213.35,214.01,202.55,0.067,0.138,
28/02/2025,212.28,51771740.00,208.65,212.62,206.99,0.092,0.252,
27/02/2025,208.74,40548570.00,218.35,219.97,208.37,0.255,0.279,
26/02/2025,214.35,39120600.00,214.94,218.16,213.09,0.131,0.255,
25/02/2025,212.80,58957980.00,211.63,213.34,204.16,0.177,0.259,
24/02/2025,212.71,42387590.00,217.45,217.72,212.42,0.243,0.256,
21/02/2025,216.58,55323850.00,223.28,223.31,214.74,0.28,0.259,
20/02/2025,222.88,30001670.00,224.78,225.13,221.81,0.089,0.231,
19/02/2025,226.63,28566710.00,225.52,226.83,223.71,0.161,0.268,
18/02/2025,226.65,42975130.00,228.82,229.30,223.72,0.153,0.245,
14/02/2025,228.68,27031080.00,229.20,229.89,227.23,0.087,0.382,
13/02/2025,230.37,31346510.00,228.85,230.42,227.52,0.347,0.403,
12/02/2025,228.93,32285250.00,230.46,231.18,228.16,-0.005,0.379,
11/02/2025,232.76,23713730.00,231.92,233.44,230.13,0.373,0.405,
10/02/2025,233.14,35419930.00,230.55,233.92,229.20,0.142,0.391,
07/02/2025,229.15,77539280.00,232.50,234.81,228.06,0.234,0.312,
06/02/2025,238.83,60897100.00,238.01,239.66,236.01,0.185,0.345,
05/02/2025,236.17,38832040.00,237.02,238.32,235.20,0.174,0.336,
04/02/2025,242.06,29713810.00,239.01,242.52,238.03,0.276,0.36,
03/02/2025,237.42,37285870.00,234.06,239.25,232.90,0.132,0.339,
31/01/2025,237.68,36162380.00,236.50,240.29,236.41,0.466,0.392,
30/01/2025,234.64,32020730.00,237.14,237.95,232.22,0.123,0.373,
29/01/2025,237.07,26091720.00,239.02,240.39,236.15,0.34,0.457,
