Date,Close/Last,Volume,Open,High,Low,Avg,7MA
07/07/2015,0.4948,594228400,0.5013,0.5032,0.479,0.998,0
23/07/2015,0.4912,169854600,0.4863,0.4985,0.4853,0.153,0
31/07/2015,0.4988,218368440,0.5025,0.5028,0.4957,0.831,0
06/08/2015,0.5112,645698400,0.5133,0.517,0.5028,0.999,0
07/08/2015,0.5745,1405060800,0.5615,0.5843,0.547,0.984,0
28/08/2015,0.5683,320924880,0.5657,0.5718,0.5616,0.802,0
16/09/2015,0.5775,173493720,0.5725,0.5807,0.5681,0.996,0.823
29/09/2015,0.5928,380678920,0.5888,0.5938,0.5805,0.973,0.94
22/10/2015,0.71,306727520,0.6933,0.7123,0.6923,0.153,0.843
05/11/2015,0.6928,477219200,0.7043,0.7061,0.6907,0.995,0.843
10/11/2015,0.7702,552215600,0.775,0.7793,0.7538,0.998,0.845
11/11/2015,0.7628,619958400,0.7708,0.7763,0.76,0.869,0.854
16/11/2015,0.76,344213520,0.7548,0.7605,0.7488,0.979,0.852
19/11/2015,0.778,254056120,0.7785,0.7858,0.7722,0.995,0.852
10/12/2015,0.8245,236515080,0.8203,0.829,0.8175,0.992,0.854
23/12/2015,0.8264,122517480,0.8245,0.8296,0.823,0.934,0.966
31/12/2015,0.824,148527920,0.8335,0.8373,0.824,0.929,0.957
04/01/2016,0.8093,358017560,0.8073,0.8145,0.801,0.998,0.957
05/01/2016,0.8223,489483200,0.8245,0.836,0.8125,0.99,0.974
27/01/2016,0.709,231675120,0.7165,0.7186,0.6954,0.818,0.951
17/02/2016,0.6915,766285600,0.6833,0.698,0.6805,0.998,0.951
18/02/2016,0.751,1068628000,0.7483,0.7744,0.7475,0.955,0.946
14/03/2016,0.8075,190310560,0.8018,0.8108,0.798,0.966,0.951
15/03/2016,0.8035,226200200,0.8033,0.8085,0.7893,0.934,0.951
16/03/2016,0.8275,363546800,0.7975,0.8303,0.7938,0.982,0.949
30/03/2016,0.894,376477680,0.888,0.9063,0.8875,0.934,0.941
31/03/2016,0.8908,379809880,0.898,0.9,0.8838,0.957,0.961
05/04/2016,0.8938,339313880,0.887,0.902,0.8835,0.992,0.96
06/04/2016,0.895,453261600,0.8825,0.8955,0.8658,0.963,0.961
28/04/2016,0.905,381208120,0.927,0.9325,0.9028,0.746,0.93
02/05/2016,0.9,256073520,0.8967,0.9055,0.8925,0.951,0.932
12/05/2016,0.8893,659067600,0.908,0.912,0.8733,0.996,0.943
13/05/2016,1.0245,2109569600,0.9798,1.025,0.975,0.918,0.938
18/05/2016,1.084,540958800,1.05,1.0963,1.05,0.993,0.938
31/05/2016,1.168,411656000,1.1525,1.1704,1.1518,0.994,0.942
08/06/2016,1.1545,234317240,1.1585,1.1628,1.145,0.999,0.978
20/06/2016,1.189,292967840,1.1868,1.2043,1.186,0.993,0.984
