Date,Close,Volume,Open,High,Low,Avg,7 MA
25/06/2020,81.67,16435690,77.73,82.68,76.2,0.126,0
27/08/2020,94.35,18205970,90.39,99.69,90.24,0.017,0
28/08/2020,94.67,9977958,97.12,98.2199,93.0864,0.013,0
31/08/2020,92.84,12866900,92.64,93.914,86.37,0.023,0
01/09/2020,95.4,8198791,93.63,98.45,93.5,-0.017,0
02/09/2020,91.79,8823725,96,96.39,87.25,-0.008,0.035
03/09/2020,81.7,10340550,87.5,90.1362,80.91,-0.03,0.018
10/09/2020,82.6,4594528,84.48,87.22,82.12,0.009,0.001
16/09/2020,82.52,3844738,82.72,84.8,81.34,0.024,0.002
17/09/2020,82.38,4049353,78.1,82.51,77.53,0.052,0.008
22/09/2020,94.31,6284931,91.45,94.5,88.5819,-0.03,0.007
23/09/2020,88.11,5812646,94.25,95.35,87.385,0.016,0.01
24/09/2020,87.46,4531341,87.23,90.005,85.43,-0.066,0.005
30/09/2020,93.68,5297775,93.75,95.64,91.2,0.038,0.008
05/10/2020,95.91,3848356,97.1,98.51,94.835,0.033,0.017
07/10/2020,120.33,22993290,103.09,121.35,102.68,0.001,0.015
09/10/2020,126.58,15746830,118.21,128.77,117.3316,0.032,0.029
13/10/2020,128.83,10331600,127.44,136.5,127.03,0.032,0.029
14/10/2020,123.18,16636550,131.45,133.1899,121.36,0.038,0.029
15/10/2020,89.7,57719100,86.62,95.35,85.1,-0.016,0.022
21/10/2020,79.25,14056060,84,84.15,78.5647,0.008,0.018
23/10/2020,76.35,20221860,75.99,77.1499,73.5365,0.033,0.018
26/10/2020,74.02,10175660,76.05,77.38,72.76,0.005,0.016
04/12/2020,88.67,35554110,82.69,97.19,82.2,0.101,0.026
20/01/2021,97.55,5124879,98.11,99.6699,93.56,0.121,0.038
12/02/2021,102.06,5811059,102.47,103.3,99.31,-0.128,0.047
16/02/2021,97.5,4890117,103.81,105.5,96.21,0.098,0.056
18/02/2021,80.2,20661050,86.7,87.68,80,0.103,0.069
19/02/2021,80.68,8786880,82.71,83.36,80,0.105,0.083
22/02/2021,76.39,7811363,79.31,79.95,76.15,0.045,0.063
23/02/2021,77.91,8653894,72.01,78.07,68.75,0.107,0.052
24/02/2021,75.76,5049183,77.01,77.27,74.2,0.106,0.086
01/03/2021,77.25,3282909,75.55,77.48,74.02,0.213,0.106
02/03/2021,70.9,7861239,75.75,76.0983,70.87,0.1,0.105
03/03/2021,68.01,8502497,69.35,71.2999,66.03,0.034,0.105
04/03/2021,65.49,7918170,66.03,69.34,62.28,-0.006,0.098
08/03/2021,62.05,5634042,66.44,67.6,61.8,0.019,0.073
09/03/2021,69,5442686,65.97,69.77,65.7314,0.072,0.065
12/03/2021,75.16,3423877,73.2,75.34,71.66,0.074,0.045
18/03/2021,70.33,3033660,73.69,73.95,70.08,0,0.062
19/03/2021,70.8,3678506,70.53,72.11,68.91,0.059,0.067
22/03/2021,71.52,2048995,71.52,73.1999,70.96,-0.011,0.056
24/03/2021,64.5,5881509,70.21,70.73,64.5,0.121,0.045
25/03/2021,65.44,3889516,62.91,66,62.35,0.098,0.052
26/03/2021,66.16,2573553,65.87,66.9,62.76,0.066,0.062
29/03/2021,64.11,3225982,65.32,66.32,62.92,0.062,0.062
30/03/2021,65.26,2794811,63.69,65.65,62.32,0.049,0.069
31/03/2021,67.28,3262810,67,69.84,66.8736,0.124,0.073
05/04/2021,68.85,2466375,70.6,70.98,67.9,0.083,0.083
06/04/2021,70.45,2614563,69.43,71.29,68.5,0.044,0.08
07/04/2021,67.55,2431313,70.51,70.75,67.39,0.09,0.084
08/04/2021,68.75,2285584,68.53,69.809,67.75,0.135,0.096
09/04/2021,67.86,2567974,68,68.01,65.86,0.139,0.098
14/04/2021,71.92,5785641,70.7,75.15,70.27,0.036,0.099
16/04/2021,70.03,2933942,71,71.63,68.1,0.092,0.1
19/04/2021,66.66,3043211,69.54,71.35,66.3412,0.117,0.116
23/04/2021,68.92,2652492,67.55,69.29,67.41,0.055,0.104
26/04/2021,71.12,2318509,69.63,71.2825,68.85,0.37,0.137
27/04/2021,70.73,2063622,71.1,72.08,70,0.07,0.124
28/04/2021,67.78,4396169,66.68,68.55,66.31,0.063,0.127
29/04/2021,65.05,3901996,68,68,63.93,0.009,0.116
03/05/2021,61.72,4283819,63.87,63.99,60.85,0.09,0.111
04/05/2021,59.29,4430521,60.82,61.03,57.34,0.048,0.101
05/05/2021,58.06,5230793,61.33,62.26,57.71,0.019,0.096
06/05/2021,42.31,32319580,47.33,48.5,41.41,0.011,0.044
07/05/2021,41.88,12869260,41.74,44.45,41.16,0.062,0.043
11/05/2021,46.35,10515010,41.8,46.92,40.73,0.07,0.044
13/05/2021,39.98,6841376,41.93,43.3,39.4738,0.079,0.054
17/05/2021,42.29,2969600,42.38,43.705,41.14,0,0.041
18/05/2021,43.71,3758171,42.69,44.53,41.95,-0.057,0.026
26/05/2021,47.27,3977505,45.57,48.33,45.12,0.176,0.049
03/06/2021,47.62,4135278,48.49,49.38,47.44,0.412,0.106
04/06/2021,47.31,2545784,47.72,48.215,47.11,0.1,0.111
07/06/2021,50.7,5597711,47.31,51.28,46.29,0.187,0.128
08/06/2021,56.2,15154890,49.91,56.98,49.76,-0.03,0.113
09/06/2021,54.69,9037945,58.95,59.1597,54.55,0.011,0.114
10/06/2021,53.91,5824280,51.8,54.7328,51.52,-0.017,0.12
11/06/2021,54.38,3634794,53.31,54.6,53.1,0.118,0.112
14/06/2021,57.45,6038761,54.57,58.57,54.56,0.011,0.04
15/06/2021,54.53,4166785,57.85,58.1,54.26,0.197,0.042
16/06/2021,55.48,3544610,54.31,56.54,53.69,0.094,0.059
17/06/2021,57.21,3459999,54.93,57.87,54.7707,0.021,0.061
18/06/2021,56.96,6395537,57.896,58.4,56.02,0.109,0.079
21/06/2021,55.9,3265418,56.75,57.2299,54.458,0.092,0.064
23/06/2021,57.13,3123868,57.16,58.5679,56.45,0.157,0.085
24/06/2021,59.21,6056381,57.67,61.38,57.55,0.056,0.065
28/06/2021,61.08,3332590,61.18,62.17,60.68,0.077,0.062
29/06/2021,60.42,3032524,60.98,62,59.32,0.096,0.073
01/07/2021,58.02,3818914,59.58,60.64,57.42,0.124,0.075
07/07/2021,54.37,2714486,57.73,58.1,54.12,0.064,0.095
08/07/2021,54.99,3047897,53.25,56.13,52.35,0.138,0.102
12/07/2021,54.37,2547490,56.56,57.13,53.86,0.134,0.098
13/07/2021,53.71,2144606,54.3,55.33,53.52,0.125,0.108
14/07/2021,50.13,4411303,53.8,53.99,49.84,0,0.097
15/07/2021,49.1,3529891,49.98,52.18,48.4,-0.047,0.077
16/07/2021,49.99,3119868,49.54,50.47,48.7001,0.01,0.061
19/07/2021,51.21,3378780,49.02,52.47,48.66,0.191,0.079
20/07/2021,51.5,2218490,51.3,52.18,49.87,0.085,0.071
21/07/2021,52.46,2223407,51.65,52.62,50.88,0.064,0.061
22/07/2021,52.37,2055595,52.55,53.5,51.92,0.086,0.056
23/07/2021,49.82,3744331,52.15,52.17,49.77,0.246,0.091
28/07/2021,50.35,2920209,48.11,51.05,47.96,0.123,0.125
02/08/2021,47.36,3365370,48.44,48.83,46.8387,0.107,0.113
03/08/2021,46.23,3809608,47.5,47.89,45.41,0.154,0.123
04/08/2021,44.54,9943997,45.94,46.25,43.94,0.073,0.124
05/08/2021,39.93,50301940,34.95,42.27,33.87,0.012,0.114
06/08/2021,41.24,9554198,39.49,41.95,38.9,0.014,0.081
09/08/2021,44.04,8479113,41.13,44.8261,40.98,0.146,0.081
10/08/2021,42.3,4525402,44.27,44.83,41.89,0.058,0.074
11/08/2021,42.08,2719282,42.46,43.0893,41.272,0.048,0.058
12/08/2021,42.97,2427297,41.92,43.17,41.71,-0.016,0.046
16/08/2021,39.88,5090628,41.6,41.6,39.5,0.143,0.064
19/08/2021,39.22,3129090,41.02,41.2099,38.7,0.018,0.065
20/08/2021,40.93,3170065,38.99,41.11,38.975,0.061,0.065
23/08/2021,43.26,3910382,40.78,43.51,40.59,0.133,0.064
24/08/2021,43.83,2942733,43.73,44.42,43.1,0.082,0.067
25/08/2021,44.31,3329486,44.14,45.58,44.0532,0.204,0.089
01/09/2021,45.74,4215698,44.21,47.04,43.83,0.102,0.106
02/09/2021,47.26,5615053,45.83,48.23,45.74,0.161,0.109
03/09/2021,46.69,2004335,46.58,47.53,46.14,0.097,0.12
08/09/2021,45.14,2617413,46.95,46.95,44.3604,0.145,0.132
10/09/2021,43.98,2398630,45.82,45.94,43.76,0.088,0.126
20/09/2021,42.44,2796099,43.61,44.5,41.92,-0.039,0.108
22/09/2021,42.65,1534107,42.24,43.23,41.92,0.105,0.094
28/09/2021,39.96,3545884,42.08,42.18,39.93,0.208,0.107
30/09/2021,40.44,2005830,39.51,41.09,39.31,0.05,0.1
01/10/2021,40.56,1912142,41,41,39.48,0.05,0.087
04/10/2021,36.98,4967331,39.68,39.87,36.62,0.042,0.095
05/10/2021,38.01,2964084,36.79,38.98,36.78,-0.056,0.072
07/10/2021,40.61,2353465,40,41.08,39.75,0.132,0.07
12/10/2021,42.07,1861366,41.5,42.55,41.1506,0.096,0.054
14/10/2021,43.88,1716963,44.22,45,43.72,0.129,0.065
18/10/2021,44.77,2233314,44.39,45.6699,44.15,0.084,0.063
20/10/2021,49.32,5165748,49.02,51.59,48.24,0.141,0.077
21/10/2021,49.58,2713964,48.9,50.8,48.38,0.084,0.097
22/10/2021,48.19,3115636,49.27,49.685,47.28,0.06,0.087
25/10/2021,50.05,2943328,48,50.46,47.2,0.142,0.094
26/10/2021,49.86,6417535,50.6,52.59,49.4201,0.071,0.085
27/10/2021,48.2,2243826,49.6,51.1768,48.01,0.07,0.093
28/10/2021,49.93,2375391,48.03,50.63,47.56,0.029,0.085
01/11/2021,51.5,2726370,50.61,52.05,50.29,0.089,0.078
02/11/2021,49.32,3049060,52.47,52.599,48.64,0.096,0.08
03/11/2021,53.32,7696607,49.18,53.439,48.61,0.073,0.081
04/11/2021,54.39,9096203,56.66,58.62,53.25,0.03,0.065
05/11/2021,49.79,6811030,50.29,51.49,48.21,0,0.055
08/11/2021,52.38,2801575,50,52.53,49.62,0.152,0.078
10/11/2021,49.13,2373485,50.94,51.6899,48.645,0.051,0.071
16/11/2021,49.67,2807532,48.64,49.93,48.03,0.172,0.089
17/11/2021,47.44,1873361,49.37,49.37,47.43,-0.072,0.079
18/11/2021,45.45,2232432,47.5,47.54,45.25,0.09,0.092
19/11/2021,43.92,2124198,45.85,46.49,43.8401,0.119,0.081
29/11/2021,41.28,2235821,40.495,41.46,39.5477,0.096,0.073
30/11/2021,40.76,3281031,41.71,42.22,38.7501,0.117,0.083
01/12/2021,36.08,5483985,41.24,41.38,35.76,0.092,0.088
03/12/2021,35.92,5524927,38.64,39.63,35.27,0.052,0.071
06/12/2021,37.71,3793283,35.36,38.02,33.55,0.081,0.092
07/12/2021,39.45,3315823,38.24,40.37,38.0281,0.102,0.094
08/12/2021,43.21,3424213,39.6,43.77,39.39,0.065,0.086
09/12/2021,41.12,2308949,43.08,44.08,40.53,0.1,0.087
10/12/2021,40.44,2147479,41.39,42.5,39.95,0.089,0.083
13/12/2021,40.31,2101297,40.44,41.72,39,0.098,0.08
15/12/2021,39.91,2520186,39.1,40.4,37.6,0.065,0.075
16/12/2021,38.69,2632222,39.91,41.4,38.202,0.11,0.081
21/12/2021,40.59,2119876,38.42,40.64,38.15,0.063,0.076
23/12/2021,39.38,1624292,39.63,39.63,38.5,-0.051,0.056
28/12/2021,36.26,2493940,37.76,38.15,36.02,-0.001,0.048
29/12/2021,35.09,2470030,36.29,36.56,34.8404,0.172,0.059
30/12/2021,37.23,2922001,35.02,37.97,34.758,0.03,0.054
03/01/2022,36.3,2061810,36,36.62,34.835,0.082,0.05
05/01/2022,32.14,3288916,34.16,34.58,31.78,0.059,0.049
06/01/2022,31.77,2878474,31.6,32.69,30.7,0.049,0.063
10/01/2022,33.35,3153345,32.26,33.41,31.3501,-0.059,0.065
14/01/2022,31.22,2390569,31.4,32,30.08,0.024,0.044
18/01/2022,29.95,2249012,30.55,31.38,29.78,-0.053,0.032
19/01/2022,29.52,2203770,30.12,31.07,29.43,0.071,0.034
24/01/2022,28,5160613,26.8,28.06,24.65,0.043,0.05
25/01/2022,26.53,2918104,26.76,27.9,26.0801,0.181,0.072
26/01/2022,25.49,4649293,27.6,28.34,25.37,0.079,0.072
27/01/2022,24.47,3199147,26.13,26.5,24.27,0.154,0.102
28/01/2022,25.05,2758156,24.57,25.18,23.5,0.065,0.101
31/01/2022,28.66,3703231,24.99,28.7,24.96,0.075,0.093
01/02/2022,29.2,2300732,29.41,29.61,27.96,0.12,0.102
02/02/2022,27.38,2453359,29.23,29.3,26.83,0.122,0.114
03/02/2022,25.56,2422205,26.26,27,25.44,0.073,0.098
07/02/2022,26.91,1937528,26.81,28.27,26.69,0.077,0.098
08/02/2022,27.61,1997344,26.5,27.77,26.16,0.09,0.089
09/02/2022,29.15,2249616,28.1,29.245,27.65,0.087,0.092
11/02/2022,28.16,2540307,28.7,29.96,27.63,0.118,0.098
14/02/2022,28.19,2337618,27.67,29.22,27.67,0.1,0.095
15/02/2022,29.5,2398950,28.87,29.99,28.61,0.146,0.099
16/02/2022,28.93,8180745,28.65,29.17,27.87,0.068,0.098
17/02/2022,19.2,28778430,20.69,21.4,19.13,-0.016,0.085
18/02/2022,18.7,16785550,20.01,20.02,18.52,0.021,0.075
23/02/2022,17.65,10180500,18.94,19.32,17.49,0.043,0.066
24/02/2022,18.76,12454770,16.74,18.92,16.41,-0.067,0.042
28/02/2022,18.6,10913810,18.58,18.93,17.17,0.084,0.033
02/03/2022,17.96,7357358,18,18.29,17.2039,0.108,0.039
03/03/2022,16.63,6749033,18.02,18.02,16.46,0.047,0.048
14/03/2022,13.3,6302942,14.07,14.53,13.22,0.052,0.034
17/03/2022,16.4,4449951,15.13,16.43,15,0.15,0.05
21/03/2022,16.59,3668877,17,17.115,16.28,0.124,0.093
22/03/2022,17.32,4922527,16.46,17.65,16.34,0.029,0.082
23/03/2022,17.15,3352698,17.14,17.9,16.83,0.084,0.087
30/03/2022,17.86,3262305,18.16,18.86,17.745,0.085,0.103
06/04/2022,17.7,3647720,18,18.07,17.1,0.016,0.098
07/04/2022,17.73,3126657,17.68,18.17,16.99,0.048,0.084
08/04/2022,18.12,9919410,17.73,18.89,17.45,0.084,0.067
11/04/2022,18.56,5301414,17.61,18.88,17.21,0.144,0.07
12/04/2022,18.33,5117978,18.9,19.43,18.155,-0.1,0.052
14/04/2022,18.88,13436160,19.16,20.03,18.84,0.064,0.049
