Date,Close,Volume,Open,High,Low
29/04/2020,31.89,6454926,29.67,32.2,29.6402
30/04/2020,31.5,3339635,32.44,32.49,31.2
01/05/2020,32.05,4531926,31.03,32.66,30.7
04/05/2020,33.9,8916540,32.36,34.17,32.03
05/05/2020,36.22,16784650,34.96,36.36,34.25
06/05/2020,38.03,27262600,36.83,39.256,35.21
07/05/2020,44.12,53226010,45.69,45.7,40.8
08/05/2020,43,21728680,42.11,43.27,41.27
11/05/2020,42.8,12684460,42.51,44.35,42.01
12/05/2020,46.17,25236540,44.32,47.83,44.05
13/05/2020,45.17,15197570,46.69,46.8,42.39
14/05/2020,45.11,12971090,45.39,47.38,44.8113
15/05/2020,48.42,15808880,45.25,49.68,45.13
18/05/2020,43.61,16883290,47.29,48.215,43.4
19/05/2020,44.8,7668047,45.08,45.35,44
20/05/2020,45.11,5450339,44.85,45.89,44.13
21/05/2020,45.3,4292674,44.98,45.6675,44.03
22/05/2020,45.81,6230544,45.14,46.87,44.8
26/05/2020,41.7,9621822,44.74,45.5,41.68
27/05/2020,41.07,11618100,41,41.37,38.8
28/05/2020,42.61,6019612,40.85,42.94,40.77
29/05/2020,42.19,6720475,43.04,44.39,41.14
01/06/2020,45.85,9712801,42.101,45.91,41.26
02/06/2020,49.01,15354560,45.8,49.3,45.56
03/06/2020,47.83,7144757,48.21,48.4,46.26
04/06/2020,47.88,6268261,47.4,49.19,46.65
05/06/2020,45.9,8244063,45.12,46.88,44.41
08/06/2020,44.78,8704983,45.2,45.41,42.9
09/06/2020,47.64,7740154,45.37,48.05,45.11
10/06/2020,47.11,5503412,48.2,48.7822,46.53
11/06/2020,45.98,8274343,45.93,49.4,45.51
12/06/2020,47.1,5838977,47.075,48.25,45.64
15/06/2020,49.94,11498120,48.27,51,47.08
16/06/2020,49.91,10911550,48.45,51.45,47.04
17/06/2020,49.17,9153330,50.12,51.71,48.73
18/06/2020,51.08,8064449,49.72,51.25,49.25
19/06/2020,50.89,9522189,51.13,51.95,50.39
22/06/2020,53.03,13253260,52,55.03,51.65
23/06/2020,54.88,12747280,54.49,56.6,53.72
