Date,Open,High,Low,Close,Volume
18/09/2020,75,76.79,67,68.35,20620980
21/09/2020,67.11,73.98,65.11,72.96,5055201
22/09/2020,76.64,84.98,75.11,84.82,6893682
23/09/2020,88.67,88.88,79.9,81.85,4343874
24/09/2020,77.75,83.89,75.7,83.2,2487241
25/09/2020,84.79,93.36,84.2501,89.85,3681670
28/09/2020,94.46,100,94.1001,95.8,3999879
29/09/2020,98.16,102.63,93.5,94.92,2818379
30/09/2020,94.9,96.36,85.0301,87.28,3670659
01/10/2020,89.33,90.97,83.5,84.56,4530848
02/10/2020,81.55,87.619,81.55,83.53,2771333
05/10/2020,85.83,85.849,82.3,84,1260519
06/10/2020,84.61,84.76,82.71,82.79,1014436
07/10/2020,84.04,89.5,83.758,88.65,1767750
08/10/2020,91.19,93.5,88.8,91.4,1892944
09/10/2020,92.85,100.42,92.7,99.11,2587670
12/10/2020,100.13,101,89.8,90,3867995
13/10/2020,92.35,94.78,91,92.11,2000670
14/10/2020,93.52,96.1,89.2,90.02,2199777
15/10/2020,88.2,93.39,87,91.43,1365848
16/10/2020,92.19,93.6,90.878,92.56,960312
19/10/2020,94,95.4,88.21,89.3,1669136
20/10/2020,89.83,90.62,86.1,87.15,1224848
21/10/2020,87.27,91.27,87.27,91,1270210
22/10/2020,90.82,101,88.28,100.96,4738063
23/10/2020,101,103.97,93,97.28,3246221
26/10/2020,98,103.4899,91.63,99.96,2933307
27/10/2020,100,108.35,95.5,104,5984257
28/10/2020,100,102,96.2,99.76,2391453
29/10/2020,101.79,109.28,98.5,108.84,2805257
30/10/2020,105.81,107.3,92.22,94.88,5104520
02/11/2020,96.67,98.69,93.3706,94.13,2514458
03/11/2020,96,99.5,94.6,98.07,2161629
04/11/2020,101.81,106.88,100.5,106.45,2788945
05/11/2020,110,112.79,107.23,110.76,2106629
06/11/2020,110.5,119.88,108.15,119,1727745
09/11/2020,116.88,117.03,102.41,102.85,3158657
10/11/2020,106.06,106.19,98,99.66,2447126
11/11/2020,102.76,106.5,101.53,105.58,1663723
12/11/2020,105,106.532,99.505,101.74,2968206
13/11/2020,100,116.86,100,114.77,4781654
16/11/2020,109,112.5,105.37,111.51,4675012
17/11/2020,107.83,122.95,107.83,118.05,3710751
18/11/2020,119.19,119.27,113.51,115.01,1897191
19/11/2020,115.01,118.5,114,116.31,1663753
20/11/2020,117.31,124.18,116.3405,122.8,2691957
23/11/2020,123.31,129.87,122.6,129.4,2108843
24/11/2020,130.97,133.85,126,129.04,1727978
25/11/2020,130,138.9475,128,137.46,1539838
27/11/2020,143,148,141.55,147.62,1799409
30/11/2020,147,152.61,139.1301,151.98,2514023
01/12/2020,155,155.95,142.66,147.23,2411339
02/12/2020,142.1,145.4999,135.51,141.05,2141600
03/12/2020,143.2,149.95,142.61,145.67,1241298
04/12/2020,149.09,154.88,146.61,150.94,1498610
07/12/2020,151.9,158.2,150.33,155.71,1321780
08/12/2020,158,167.87,158,167.25,1738811
09/12/2020,169.8,170.55,149.1158,152,4057683
10/12/2020,151.46,161.25,150.5,158.18,1862867
11/12/2020,158,159.4716,151.62,152.5,1360432
14/12/2020,154.5,156,143.65,146.72,2383900
15/12/2020,150,150.01,142.33,144.58,1461087
16/12/2020,145.89,150.76,144.68,146.69,1516069
17/12/2020,154.16,156.99,148.55,151.27,1915900
18/12/2020,155,158.43,151,157.77,3637620
21/12/2020,158,165.7,155.1,165.37,1772316
22/12/2020,168,173.59,161.5521,172.29,2277540
23/12/2020,174.89,174.94,165.01,167.95,1323574
24/12/2020,169,173.14,163.84,164.92,746599
28/12/2020,169.36,170.02,154.58,156.44,1814771
29/12/2020,158,158.58,147.235,151.18,1990886
30/12/2020,154.08,157.55,149.3,154.82,1227562
31/12/2020,154.94,156.85,152.22,153.47,714838
04/01/2021,155,155.25,141.21,144.08,3129566
05/01/2021,142,149.23,138.3,148.72,1903760
06/01/2021,141.05,142.76,136.325,137.99,3410688
07/01/2021,138,140.97,135.2,138.57,3225253
08/01/2021,141,150.88,141,146.2,2780511
11/01/2021,143,145.7299,139,141.51,1950260
12/01/2021,143,149.4636,141.75,146.99,1440644
13/01/2021,149,156.69,148.5201,151.13,1641807
14/01/2021,152,157.13,146.2,150.41,2161505
15/01/2021,153.25,158.6,147.69,148.61,1845960
19/01/2021,150.81,151.2,143.79,144.89,1505222
20/01/2021,146.93,149.89,145.66,147.25,909145
21/01/2021,145.84,148.28,142.31,146.96,1461313
22/01/2021,145.39,156.1622,145.27,154.03,2012323
25/01/2021,158.01,167.32,150.45,151.53,3554898
26/01/2021,152.7,155.83,148.1042,149.45,1112966
27/01/2021,146.48,164.4,140.95,155.86,3613094
28/01/2021,154.57,158.55,150.2,154.18,1273312
29/01/2021,152.33,156.92,147.61,149.82,1385666
01/02/2021,153.36,158.41,149.28,152.93,1663889
02/02/2021,154.46,154.46,147.82,148,2123010
03/02/2021,149,151.01,147.01,148.33,1399455
04/02/2021,149.25,153.3298,147.5,149.81,3957300
05/02/2021,132,139.78,128.5,128.64,17012090
08/02/2021,127.65,129.25,123.7,124.89,22095690
09/02/2021,127.5,131.42,126.58,128,11939500
10/02/2021,129.82,130.04,125.5,127.65,5690364
11/02/2021,128.45,129.6,124.5,125.39,6508828
12/02/2021,125.03,126.07,122.32,126.07,4275275
16/02/2021,129,130.2,123.68,125.41,5857635
17/02/2021,124.5,124.82,118.217,121.5,6593739
18/02/2021,120,120.815,114.97,118.37,6016775
19/02/2021,118.57,121.4,118.24,121.4,4919174
22/02/2021,119.58,120,115,115.46,5201549
23/02/2021,107.3,112.87,98.03,110.61,11523930
24/02/2021,111.01,113.34,108.5,110.53,5816794
25/02/2021,109.3,110.521,102.06,104.55,6767333
26/02/2021,103.55,108,101.1,107.63,7896723
01/03/2021,110.01,111.9599,107.39,108.53,3951482
02/03/2021,110,111.5,107.62,108.1,3534374
03/03/2021,107.53,108.25,100.6499,102.8,4662997
04/03/2021,100.19,103.19,93.6,95.59,7662107
05/03/2021,96.06,97.7,86,93.82,8271083
08/03/2021,95,100.2259,92.31,92.75,5240475
09/03/2021,98.57,99.75,96.42,98.05,5728340
10/03/2021,100.2,102.44,97.6,99.89,4251263
11/03/2021,104.66,107.3414,103.5001,106.6,5078615
12/03/2021,104.15,105.89,101.57,105.7,2846781
15/03/2021,107,110.1,105.49,109.67,4033880
16/03/2021,112.88,114.14,106.67,108.89,4363675
17/03/2021,106.22,110.59,104.0655,108.98,5580097
18/03/2021,108.5,108.99,100.71,101.67,5982403
19/03/2021,101.89,102.77,99.21,100.53,6377326
22/03/2021,101.36,102.76,99.5,100.34,5359294
23/03/2021,99.8,100.85,96.75,97.19,5385074
24/03/2021,96.49,97.88,92.17,92.71,4231821
25/03/2021,90,92.06,88.2868,90.88,6043708
26/03/2021,94.07,96.442,91.01,95.53,3285664
29/03/2021,94.7,95.24,91.07,94.42,3621249
30/03/2021,92.61,97.25,90.9,96.9,2990996
31/03/2021,98.58,101.99,97.76,100.31,3168548
01/04/2021,103,103.93,99.71,101.08,4360461
05/04/2021,102.9,103.2499,99.86,100.6,2427350
06/04/2021,100.03,103.1,98.871,102.23,2589385
07/04/2021,101.49,102,97.63,97.89,2648068
08/04/2021,99.24,100.29,98.49,98.94,2151569
09/04/2021,97.86,98.1631,96.38,97.26,2036704
12/04/2021,96.6,98.189,94.26,98,2407918
13/04/2021,98.52,102.1,98.5,101.57,2919532
14/04/2021,102,103.22,99.75,101.12,2065332
15/04/2021,102,102.18,100.54,101.92,2246899
16/04/2021,101,101.58,98.643,100.74,1980364
19/04/2021,99.8,100.54,96.57,97.93,2004479
20/04/2021,97.84,99.1699,95.3,97.4,1994236
21/04/2021,96.65,101.49,94.55,101.47,2040995
22/04/2021,102,105.9,101.35,101.9,4196090
23/04/2021,102,104.0699,101.8,102.51,1459707
