Date,Open,High,Low,Close,Volume,Average Score,7 MA
27/03/2018,41.02,41.37,39.43,39.76,163690316,-0.244,0.817
16/04/2018,41.34,41.62,41.29,41.53,86313680,0.997,0.817
22/06/2018,44.13,44.14,43.79,43.85,108801788,-0.807,0.56
23/10/2018,51.36,53.12,51.09,53,155071384,0.995,0.559
30/11/2018,43.05,43.06,42.27,42.64,158126196,0.998,0.561
04/01/2019,45.96,45.96,45.17,45.86,111447856,0.994,0.736
05/01/2019,50.33,51.63,50.17,50.48,259309312,0.362,0.022
22/02/2019,41.14,41.49,41.1,41.48,75652616,0.997,0.559
01/03/2019,34.38,34.79,33.91,33.95,365248780,0.98,0.559
06/03/2019,42.27,42.83,40.99,41.72,161584276,0.032,-0.005
16/04/2019,47.83,48.29,47.61,47.78,102785540,0.906,0.723
18/04/2019,48.71,48.96,48.56,48.89,96783064,-0.949,0.703
22/04/2019,48.64,49.14,48.52,49.05,77758180,-0.924,0.429
25/04/2019,49.6,49.82,49.19,49.23,74172824,0.754,0.394
29/04/2019,49.01,49.39,48.89,49.07,88818864,-0.987,0.113
13/05/2019,45.19,45.61,44.02,44.71,229722492,0.906,0.004
14/05/2019,44.88,45.67,44.63,45.42,146118708,-0.924,0.004
15/05/2019,44.84,46.16,44.78,45.96,106178872,0.036,-0.098
16/05/2019,45.72,46.33,45.46,45.76,132125456,-0.985,-0.098
17/05/2019,45,45.96,44.96,45.5,131516360,-0.422,-0.21
20/05/2019,44.18,44.38,43.4,44.08,154449160,-0.924,-0.471
21/05/2019,44.59,45.26,44.46,44.92,113459392,0.906,-0.201
22/05/2019,44.45,44.71,43.95,44,118994224,0.863,-0.207
23/05/2019,43.28,43.46,42.81,43.25,146118944,-0.993,-0.217
24/05/2019,43.38,43.85,43,43.08,94858744,0.844,-0.102
29/05/2019,42.47,43.18,42.37,42.7,113924660,0.975,0.34
30/05/2019,42.84,43.15,42.53,42.92,84873648,-0.966,0.073
31/05/2019,42.42,42.85,42.13,42.15,108174336,-0.705,-0.151
06/06/2019,44.07,44.65,43.85,44.59,90105244,-0.989,-0.267
13/06/2019,46.87,47.37,46.61,46.74,86698500,0.906,-0.519
14/06/2019,46.11,46.6,45.81,46.4,75045896,-0.988,-0.522
05/07/2019,49.37,49.74,48.16,48.65,155054792,0.906,0.01
06/07/2019,44.9,46.2,44.72,45.78,122737572,-0.988,-0.509
05/10/2019,47.53,47.87,46.41,47.47,164834848,-0.987,-0.261
06/10/2019,46.18,47.03,46.13,46.36,104883404,-0.924,-0.509
05/01/2020,69.55,72.64,69.45,70.23,240616700,0.998,0.724
10/01/2020,114.84,114.92,113.07,114.01,114958231,0.664,0.788
12/01/2020,118.33,120.74,117.36,120.01,125920963,0.987,0.836
07/02/2020,89.61,90.25,88.58,88.7,115258064,0.344,0.522
09/02/2020,134.32,134.7,123.98,128.27,198233370,0.469,0.576
11/02/2020,106.51,108.05,104.77,106.18,122866899,0.458,0.768
08/03/2020,105.43,108.78,105.13,106.15,307269208,0.939,0.948
09/03/2020,123.89,125.77,117.63,118,250623616,0.55,0.512
11/03/2020,107.05,108.84,106.14,107.81,107624448,0.986,0.819
23/03/2020,55.41,55.52,51.66,54.51,336752832,0.994,-0.416
24/03/2020,57.43,60.18,56.93,59.98,287531092,0.94,-0.141
27/03/2020,61.41,62.17,60.02,60.19,204216612,0.98,0.141
30/03/2020,60.92,62.08,60.59,61.91,167976440,0.156,0.295
09/04/2020,117.21,120.76,108.25,118.08,332607163,0.352,0.561
12/04/2020,119.89,120.14,118.83,119.55,78260421,0.987,0.835
23/04/2020,67.02,68.45,66.78,66.82,123426528,-0.781,0.44
24/04/2020,67.35,68.76,67.3,68.75,126508732,0.999,0.448
27/04/2020,68.47,69.13,68.02,68.8,116821920,0.892,0.436
28/04/2020,69.26,69.44,67.59,67.68,109034440,0.98,0.553
30/04/2020,70.45,71.56,70.06,71.38,183063872,0.994,0.661
05/05/2020,71.69,73.13,71.54,72.29,147751180,0.648,0.676
08/05/2020,106.58,107.57,106.11,107.25,120102788,0.906,0.936
13/05/2020,76.04,76.97,73.86,74.94,200622556,-0.027,0.797
14/05/2020,74.18,75.47,73.45,75.4,158929076,0.972,0.794
15/05/2020,73.17,75,73.13,74.96,164073664,0.984,0.792
18/05/2020,76.29,77.1,75.6,76.72,135372500,0.996,0.842
19/05/2020,76.74,77.59,76.25,76.28,101729540,0.998,0.843
20/05/2020,77.14,77.84,77.03,77.76,111504860,0.85,0.824
28/05/2020,77.17,78.79,76.89,77.53,133796412,0.973,0.821
05/06/2020,73,73.67,72.61,73.04,142333752,0.991,0.929
08/06/2020,107.58,111.48,106.99,110.99,202428900,0.984,0.934
10/06/2020,112.95,113.36,109.58,110.47,159519440,0.968,0.787
15/06/2020,81.18,84.21,81.02,83.55,138808920,0.953,0.964
19/06/2020,86.39,86.86,84.08,85.19,264475808,0.995,0.966
24/06/2020,88.91,89.84,87.34,87.71,190982340,-0.908,0.694
29/06/2020,86.05,88.23,85.57,88.13,129839052,0.302,0.594
04/07/2020,65.79,66.01,62.93,63.03,202137960,0.238,0.199
05/07/2020,73.67,74.14,73.37,73.8,115215056,0.978,0.926
07/07/2020,91.45,92.23,90.68,90.79,112827996,0.901,0.348
08/07/2020,110.51,110.97,107.67,108.47,198045612,0.989,0.943
10/07/2020,111.89,112.8,111.41,112.34,96135446,0.98,0.799
12/07/2020,119.61,121.82,119.55,121.01,86711990,0.988,0.801
14/07/2020,92.41,94.77,91.47,94.57,170992476,0.992,0.386
15/07/2020,96.46,96.71,94.02,95.22,153227496,0.999,0.486
16/07/2020,94.09,94.91,93.45,94.05,110583708,0.927,0.569
17/07/2020,94.5,94.66,93.39,93.86,92187020,0.819,0.708
20/07/2020,93.95,95.98,93.6,95.84,90318028,0.987,0.72
30/07/2020,91.78,93.83,91.37,93.73,126407408,0.976,0.956
04/08/2020,63.83,64.96,63.47,64.64,164829120,0.559,0.42
07/08/2020,91.77,92.93,91.68,92.9,117097916,-0.676,0.115
09/08/2020,111.24,116.16,110,110.13,226149287,0.649,0.513
10/08/2020,113.48,113.63,111.86,112.23,82322071,0.99,0.84
13/08/2020,111.71,113.28,111.22,112.27,201950304,0.882,0.956
18/08/2020,111.63,113.24,111.29,112.81,104095732,0.921,0.953
19/08/2020,113.22,114.37,112.86,112.95,144547048,0.988,0.965
20/08/2020,113,115.57,112.98,115.46,125313344,-0.908,0.694
21/08/2020,116.42,121.9,116.41,121.41,338054640,0.998,0.696
24/08/2020,125.63,125.72,120.99,122.86,343339388,0.003,0.555
25/08/2020,121.73,122.2,120.12,121.85,208941716,0.991,0.554
27/08/2020,124.12,124.45,120.89,122.03,154146696,-0.103,0.413
28/08/2020,123.01,123.43,121.61,121.84,187629916,0.674,0.378
31/08/2020,124.54,127.88,123,125.97,223505733,0.997,0.379
04/09/2020,65.28,65.62,64.31,65.11,162116492,0.987,0.693
09/09/2020,114.47,116.3,112.52,114.53,172144189,1,0.67
10/09/2020,112.54,114.22,112.18,114.19,100506865,1,0.878
11/09/2020,117.84,119.29,113.48,113.75,154515315,-0.51,0.604
12/09/2020,121.78,123.16,118.32,119.09,115089193,0.988,0.803
14/09/2020,111.99,113.17,110.12,112.61,138248838,0.866,0.74
15/09/2020,115.51,116,110.91,112.79,182985051,0.993,0.803
16/09/2020,112.49,113.24,109.37,109.46,153804096,0.975,0.892
17/09/2020,107.11,109.53,106.12,107.71,176909480,0.9,0.928
22/09/2020,110,110.17,106.56,109.15,181592150,0.703,0.886
