Date,Close,Volume,Open,High,Low,Avg,7MA,Average Score,7 MA
27/08/2015,1.78,11834720,1.74,1.835,1.74,0.995,0.967,0.995,0.967
31/08/2015,1.81,6513566,1.82,1.87,1.79,0.996,0.992,0.996,0.992
03/09/2015,1.79,7154181,1.76,1.85,1.76,0.998,0.992,0.998,0.992
08/09/2015,1.88,6009499,1.85,1.88,1.83,0.996,0.991,0.996,0.991
09/09/2015,1.85,12606140,1.9,1.97,1.83,0.997,0.991,0.997,0.991
16/09/2015,1.89,4926411,1.87,1.9,1.85,0.998,0.997,0.998,0.997
17/09/2015,1.89,5824857,1.9,1.94,1.87,0.998,0.997,0.998,0.997
29/09/2015,1.67,7004223,1.67,1.69,1.65,0.997,0.997,0.997,0.997
01/10/2015,1.74,5514019,1.77,1.77,1.72,0.997,0.997,0.997,0.997
05/10/2015,1.8,7595260,1.82,1.87,1.77,0.996,0.997,0.996,0.997
08/10/2015,1.93,9197867,1.87,1.9475,1.85,0.979,0.995,0.979,0.995
15/10/2015,1.97,27268150,1.97,2.06,1.95,0.999,0.995,0.999,0.995
20/10/2015,2.02,5574769,2,2.03,1.97,0.965,0.99,0.965,0.99
21/10/2015,2.1,14961000,2.02,2.12,2.01,1,0.99,1,0.99
11/11/2015,2.07,3530645,2.02,2.09,2.02,0.997,0.99,0.997,0.99
12/11/2015,2,3576405,2.05,2.07,2,0.968,0.986,0.968,0.986
16/11/2015,1.99,4027291,1.99,2.02,1.95,0.998,0.987,0.998,0.987
24/11/2015,2.34,15858610,2.2,2.4,2.17,0.984,0.987,0.984,0.987
30/11/2015,2.36,9915362,2.34,2.37,2.25,0.991,0.986,0.991,0.986
01/12/2015,2.34,5646342,2.36,2.37,2.31,0.996,0.991,0.996,0.991
09/12/2015,2.35,8694560,2.37,2.4,2.32,0.996,0.99,0.996,0.99
04/01/2016,2.77,32356640,2.77,2.82,2.63,0.989,0.989,0.989,0.989
12/01/2016,2.39,17979540,2.4,2.46,2.28,0.986,0.991,0.986,0.991
14/01/2016,2.21,15568560,2.29,2.35,2.21,0.999,0.992,0.999,0.992
19/01/2016,1.95,18935550,2.08,2.11,1.9,0.998,0.994,0.998,0.994
20/01/2016,1.8,29229490,1.81,1.95,1.75,0.998,0.995,0.998,0.995
01/02/2016,2.14,8816117,2.17,2.19,2.11,1,0.995,1,0.995
02/02/2016,1.99,11214710,2.11,2.14,1.96,0.999,0.996,0.999,0.996
