Date,Average Score,7 MA
09/03/2017,0.997,
01/12/2017,0.994,
20/12/2017,0.995,
21/12/2017,0.557,
15/02/2018,0.994,
26/04/2018,0.995,
03/08/2018,0.995,0.932
25/09/2018,0.983,0.93
10/10/2018,0.997,0.931
05/11/2018,0.999,0.931
04/12/2018,0.992,0.994
09/12/2018,0.989,0.993
14/01/2019,0.995,0.993
03/05/2019,0.996,0.993
25/03/2020,0.996,0.995
30/03/2020,0.992,0.994
03/04/2020,0.959,0.988
22/04/2020,0.37,0.9
24/04/2020,0.732,0.863
25/04/2020,0.999,0.863
27/04/2020,0.809,0.837
28/04/2020,0.98,0.834
29/04/2020,0.997,0.835
30/04/2020,0.994,0.84
05/05/2020,0.982,0.928
06/05/2020,0.997,0.965
07/05/2020,1,0.966
10/05/2020,0.996,0.992
12/05/2020,0.997,0.995
13/05/2020,0.308,0.896
14/05/2020,0.994,0.896
16/05/2020,0.785,0.868
18/05/2020,0.998,0.868
19/05/2020,0.998,0.868
23/05/2020,0.985,0.866
24/05/2020,0.983,0.864
28/05/2020,1,0.963
01/06/2020,-0.882,0.695
05/06/2020,0.974,0.722
06/06/2020,0.987,0.721
10/06/2020,0.996,0.72
26/06/2020,0.997,0.722
27/06/2020,1,0.725
30/06/2020,1,0.725
02/07/2020,0.999,0.993
07/07/2020,0.925,0.986
10/07/2020,0.993,0.987
14/07/2020,0.992,0.987
15/07/2020,0.999,0.987
16/07/2020,0.996,0.986
23/07/2020,-0.805,0.728
28/07/2020,0.99,0.727
29/07/2020,0.983,0.735
30/07/2020,-0.977,0.454
11/08/2020,0.993,0.454
18/08/2020,0.989,0.453
25/08/2020,0.992,0.452
28/08/2020,0.998,0.71
31/08/2020,0.997,0.711
02/09/2020,0.776,0.681
03/09/2020,0.977,0.96
09/09/2020,0.999,0.961
16/09/2020,0.992,0.962
17/09/2020,0.983,0.96
18/09/2020,0.997,0.96
23/09/2020,0.993,0.96
24/09/2020,0.987,0.99
28/09/2020,0.992,0.992
29/09/2020,0.974,0.988
02/10/2020,0.5,0.918
05/10/2020,0.995,0.92
08/10/2020,1,0.92
12/10/2020,0.995,0.92
15/10/2020,0.934,0.913
