Date,Close,Volume,Open,High,Low
12/07/2015,#N/A,#N/A,#N/A,#N/A,#N/A
27/07/2015,153.965,3705475,153.8972,155.0393,153.51
04/08/2015,152.5421,5253212,153.3165,153.723,151.8356
05/08/2015,152.8325,3469300,153.994,154.4199,152.426
06/08/2015,151.3032,3004487,152.0872,152.4841,151.1677
26/08/2015,141.9919,6197128,139.4657,142.263,137.5783
03/09/2015,142.0694,3595764,141.3628,143.2793,141.0918
07/09/2015,#N/A,#N/A,#N/A,#N/A,#N/A
08/09/2015,142.5049,3919644,141.1789,142.6114,140.9853
09/09/2015,140.3949,3399297,143.9665,144.2568,140.2013
11/09/2015,142.6404,3113803,141.2273,142.7663,140.995
15/09/2015,142.7953,2713661,141.8952,143.1825,141.0821
06/10/2015,144.0052,3011246,144.2762,145.3312,143.7245
10/11/2015,131.1223,4448658,131.0159,131.3788,129.8157
19/11/2015,132.3516,4753303,131.8386,133.3151,131.645
23/11/2015,134.0164,5137820,134.0841,134.4132,132.7194
15/12/2015,133.3679,4234341,132.9904,134.51,132.8743
16/12/2015,134.8198,4342627,134.6552,135.1682,133.3679
17/12/2015,132.3613,4088762,134.8778,135.023,131.933
29/12/2015,135.294,3943676,133.8131,135.565,133.7647
16/02/2016,118.8009,4061016,117.9201,119.1397,117.4458
29/02/2016,126.8248,4427070,127.7637,129.0801,126.699
14/03/2016,138.1977,4047564,137.4525,138.5946,136.5136
05/04/2016,145.186,3336922,146.5701,146.7347,144.8473
07/04/2016,143.4922,3662508,144.2859,144.7989,143.2502
12/04/2016,144.8279,3592828,144.8086,145.2925,143.8116
14/04/2016,146.3088,3176285,146.6379,147.8575,145.5538
10/05/2016,145.157,3992259,143.4825,145.2248,142.9986
25/05/2016,146.8218,4355296,144.1504,147.209,143.7343
31/05/2016,148.806,5836207,147.6639,148.8738,147.3832
14/06/2016,146.212,2864498,146.425,146.9186,145.5732
15/08/2016,156.6848,2967957,157.1881,157.7398,156.588
15/11/2016,153.5778,3475578,153.3358,154.0424,152.4937
01/02/2017,168.6965,2795443,169.3837,170.0637,167.3414
07/02/2017,172.7327,3859161,170.3516,172.8875,170.2548
14/02/2017,174.3491,2775296,172.8391,174.3491,172.6262
23/05/2017,147.1509,2564503,147.6736,148.7479,147.0444
08/06/2017,147.2186,3693150,146.1539,147.9155,146.0765
28/08/2017,137.9364,5131244,139.4851,139.9206,137.8203
12/09/2017,141.0821,5239033,140.453,141.6725,139.8722
03/10/2017,142.0694,2302599,141.9823,142.4758,141.6435
18/10/2017,154.4102,30473410,152.0775,156.0556,151.913
27/11/2017,147.1025,3304050,147.1799,147.5961,146.754
30/01/2018,158.3689,4901284,160.8758,161.4178,157.9189
01/02/2018,157.1881,4431977,157.9527,158.8626,156.7041
16/03/2018,155.1168,9206814,154.9232,156.7816,154.5167
19/03/2018,152.3002,5454834,154.5844,154.7585,151.429
04/04/2018,149.1738,4801403,143.1438,149.5126,142.7179
17/04/2018,155.7459,10030300,153.723,156.8009,153.4229
14/06/2018,140.5401,3278242,141.9435,142.263,140.4336
22/06/2018,136.7459,5978837,137.0943,137.2589,136.2619
28/06/2018,135.5457,4523146,133.6679,136.0296,133.5179
01/10/2018,148.0898,3737903,146.8412,148.4963,146.8412
22/10/2018,125.8473,5629672,125.4214,126.2517,124.2792
29/10/2018,115.8004,20130510,115.51,119.9721,114.5034
30/10/2018,111.6965,21412910,116.6134,117.6007,111.4545
01/11/2018,113.0806,13619520,111.7932,113.2451,111.4158
06/11/2018,119.1687,9593084,116.8264,119.8366,116.4489
30/11/2018,120.2818,7250091,117.7556,120.6883,117.5813
11/12/2018,117.0103,4806171,119.2945,119.8366,116.1488
17/12/2018,112.374,7332780,115.2487,115.9359,111.377
03/01/2019,109.2864,4154119,110.8544,111.1931,109.0734
15/01/2019,117.8233,3507503,117.078,118.0169,116.9425
16/01/2019,117.7168,3789197,117.6781,118.0846,116.9522
22/01/2019,118.588,9734454,119.3429,119.8269,117.6394
21/02/2019,133.4163,2937236,133.3969,133.9099,132.942
01/03/2019,134.7326,2979597,134.8391,135.5457,134.1906
25/04/2019,134.1809,2910104,135.2166,135.2632,133.2905
26/04/2019,134.9649,2319706,134.8681,135.4005,134.3552
30/04/2019,135.7683,4195775,134.6455,135.9328,134.2293
02/07/2019,135.7199,2410092,135.265,135.9232,134.994
15/10/2019,138.4107,3046999,137.9654,139.1076,137.2589
23/01/2020,138.2849,5657790,139.5722,139.7751,137.588
23/03/2020,91.7285,9729393,91.564,94.6032,87.6536
27/03/2020,104.563,6423038,105.0953,107.9216,104.1903
06/04/2020,111.1351,7034193,106.8085,111.9191,106.5956
09/04/2020,117.6007,5576815,116.6134,118.9751,116.3107
28/04/2020,122.2176,4778144,123.9211,124.0857,121.3562
13/05/2020,112.0159,5882813,116.1004,116.1391,111.1641
21/05/2020,115.2971,4000863,117.1071,117.8136,115.1519
22/05/2020,114.5905,4180771,115.539,115.631,113.8162
03/06/2020,124.9084,3917746,123.0694,125.4359,122.9242
23/06/2020,115.5778,6632605,118.0943,118.9558,115.4035
02/07/2020,115.8585,3746958,115.8488,117.5233,115.4326
11/08/2020,122.6822,5001176,124.6277,126.2828,122.5467
12/08/2020,122.6338,3530177,123.5146,123.6888,121.8362
03/09/2020,120.456,5716750,124.076,125.7795,119.6817
08/09/2020,117.32,5210292,118.2395,118.9267,116.836
10/09/2020,116.6909,3978805,118.5976,119.6105,116.3811
11/09/2020,117.562,3548091,117.4942,118.7622,116.8554
