Date,Close,Volume,Open,High,Low,Avg,7MA
01/11/2021,$329.98,31518890,$326.04,$333.45,$326.00,0.333,0
08/11/2021,$338.62,18342460,$344.42,$344.789,$338.34,0.971,0
17/11/2021,$340.77,13602810,$344.24,$347.30,$340.10,0.991,0
22/11/2021,$341.01,27116810,$349.05,$353.83,$340.51,0.989,0
30/11/2021,$324.46,25390010,$335.00,$335.81,$323.43,0.817,0
02/12/2021,$310.39,24396170,$311.40,$314.60,$307.20,0.996,0
31/12/2021,$336.35,12870480,$343.015,$343.44,$336.27,0.989,0.869
03/01/2022,$338.54,14562850,$338.295,$341.0816,$337.19,0.361,0.873
04/01/2022,$336.53,15997970,$339.95,$343.0854,$331.8711,0,0.735
06/01/2022,$332.46,27962810,$322.82,$339.165,$322.72,0.998,0.636
14/01/2022,$331.90,16868500,$321.79,$332.73,$321.21,0.751,0.626
19/01/2022,$319.59,20814740,$319.582,$327.10,$319.33,0.997,0.626
21/01/2022,$303.17,28710720,$314.81,$318.31,$303.04,0.99,0.626
24/01/2022,$308.71,38936900,$297.84,$309.53,$289.01,0,0.575
08/06/2022,$196.64,22267150,$194.67,$202.03,$194.41,0.254,0.611
09/06/2022,$184.00,23501580,$194.28,$199.45,$183.68,0.117,0.587
10/06/2022,$175.57,27478350,$183.04,$183.10,$175.02,0.25,0.48
11/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.044,0.379
12/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.771,0.347
13/06/2022,$164.26,31749300,$170.59,$172.575,$164.03,0.254,0.241
14/06/2022,$163.73,27244270,$166.03,$166.75,$161.3601,0.622,0.33
15/06/2022,$169.35,30008250,$167.20,$172.16,$163.975,0.662,0.389
16/06/2022,$160.87,26944140,$163.72,$165.08,$159.61,0.623,0.461
17/06/2022,$163.74,31374220,$161.68,$165.90,$159.90,0.339,0.474
18/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.62,0.556
19/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,1,0.589
20/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.092,0.539
21/06/2022,$157.05,50724900,$165.93,$167.76,$155.97,0.545,0.528
22/06/2022,$155.85,47596820,$158.38,$160.79,$155.44,0.303,0.477
23/06/2022,$158.75,40499200,$156.27,$159.75,$154.25,0.542,0.465
24/06/2022,$170.16,68736010,$161.725,$170.25,$161.30,0.515,0.49
25/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.058,0.41
26/06/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.217,0.298
27/06/2022,$169.49,29174560,$171.32,$171.75,$168.01,0.695,0.411
28/06/2022,$160.68,27788730,$169.90,$171.30,$160.61,0.352,0.383
29/06/2022,$163.94,28595240,$163.57,$166.33,$160.32,0.449,0.404
30/06/2022,$161.25,35250610,$162.15,$165.23,$158.49,0.197,0.355
01/07/2022,$160.03,31423930,$160.31,$160.62,$155.00,0.011,0.283
02/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.131,0.256
03/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.985,0.084
04/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.534,0.061
06/07/2022,$169.77,23085920,$168.20,$171.59,$165.46,0.354,0.048
07/07/2022,$172.19,24083370,$169.45,$172.72,$167.78,0.418,0.079
08/07/2022,$170.88,19249240,$169.98,$172.40,$168.1501,0.577,0.16
09/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.824,0.296
10/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.422,0.377
11/07/2022,$162.88,21905130,$167.065,$167.49,$161.91,0.158,0.323
12/07/2022,$163.27,16639660,$164.80,$165.9107,$162.10,0.443,0.336
13/07/2022,$163.49,16555140,$160.16,$164.98,$159.6127,0.309,0.33
14/07/2022,$158.05,23765170,$161.22,$162.59,$157.2801,-0.083,0.258
15/07/2022,$164.70,23342810,$160.54,$164.98,$159.82,0.436,0.238
16/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.451,0.185
17/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.236,0.279
18/07/2022,$167.23,23574340,$166.75,$171.685,$165.64,0.571,0.338
19/07/2022,$175.78,25933680,$170.37,$176.49,$169.51,0.293,0.316
20/07/2022,$183.09,24784270,$177.485,$183.60,$176.70,0.385,0.327
21/07/2022,$183.17,27195820,$180.63,$183.85,$178.87,0.408,0.397
22/07/2022,$169.27,42583920,$173.07,$175.5995,$168.41,0.107,0.35
23/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.644,0.378
24/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.778,0.455
25/07/2022,$166.65,26166330,$169.00,$170.57,$164.805,0.312,0.418
26/07/2022,$159.15,28468420,$165.94,$166.00,$157.95,0.353,0.427
27/07/2022,$169.58,43846560,$162.59,$170.87,$162.02,0.174,0.397
28/07/2022,$160.72,73214330,$161.06,$161.51,$154.85,0.259,0.375
29/07/2022,$159.10,42065400,$157.69,$160.14,$155.17,0.186,0.387
30/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.318,0.249
31/07/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.404,0.196
02/08/2022,$160.19,27374520,$158.31,$162.24,$158.01,0.501,0.224
03/08/2022,$168.80,31717530,$162.69,$169.54,$161.57,0.228,0.232
04/08/2022,$170.57,23938210,$168.295,$172.15,$166.80,0.296,0.237
06/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.275,0.343
07/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.671,0.381
08/08/2022,$170.25,27299110,$168.00,$177.51,$167.13,0.292,0.371
09/08/2022,$168.53,18655060,$168.95,$169.53,$166.60,0.513,0.372
10/08/2022,$178.34,30262130,$175.99,$180.48,$173.95,0.374,0.393
11/08/2022,$177.49,24079060,$179.71,$183.10,$176.37,0.358,0.402
12/08/2022,$180.50,21274050,$180.81,$181.4572,$178.911,0.251,0.391
13/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.503,0.423
15/08/2022,$180.89,15878670,$178.96,$181.44,$178.20,0.286,0.368
16/08/2022,$179.47,21156710,$179.44,$180.99,$177.035,0.343,0.375
17/08/2022,$174.85,20118130,$176.76,$178.14,$174.17,-0.043,0.296
18/08/2022,$174.66,18844450,$174.34,$175.76,$171.86,0.147,0.264
19/08/2022,$167.96,26240800,$170.20,$172.32,$167.05,0.174,0.237
20/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.659,0.296
21/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.595,0.309
22/08/2022,$163.05,19499710,$165.49,$165.49,$162.26,0.509,0.341
23/08/2022,$161.11,18111780,$162.48,$165.05,$160.70,0.464,0.358
24/08/2022,$163.26,20891480,$160.60,$165.46,$159.77,0.574,0.446
25/08/2022,$168.78,15550510,$165.18,$168.88,$164.02,0.517,0.499
26/08/2022,$161.78,24023630,$168.48,$170.92,$161.6726,0.39,0.53
27/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.448,0.5
28/08/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.486,0.484
29/08/2022,$159.17,20052660,$160.655,$163.05,$159.01,0.532,0.487
30/08/2022,$157.16,19567950,$160.355,$161.66,$155.91,0.438,0.484
31/08/2022,$162.93,40952980,$167.07,$167.84,$162.14,0.291,0.443
02/09/2022,$160.32,22634190,$167.45,$167.93,$159.22,0.401,0.438
03/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.328,0.327
05/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.366,0.371
06/09/2022,$158.54,19339780,$160.10,$161.69,$157.69,0.397,0.366
07/09/2022,$160.39,16831180,$157.76,$160.955,$156.81,0.762,0.433
08/09/2022,$162.06,22530790,$158.71,$162.23,$157.74,0.543,0.444
09/09/2022,$169.15,22129800,$163.248,$169.54,$163.02,0.501,0.458
10/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.966,0.643
11/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.977,0.365
12/09/2022,$168.96,23220410,$167.39,$171.39,$167.28,0.476,0.381
13/09/2022,$153.13,44444060,$161.54,$161.63,$152.67,0.223,0.356
14/09/2022,$151.47,43064200,$153.33,$153.54,$149.05,0.213,0.278
15/09/2022,$149.55,34606350,$149.80,$154.1984,$148.70,0.416,0.26
16/09/2022,$146.29,40122820,$148.05,$148.58,$144.2935,0.084,0.2
17/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.503,0.134
18/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.423,0.334
19/09/2022,$148.02,22169480,$145.235,$148.58,$145.10,0.554,0.345
20/09/2022,$146.09,23217350,$145.775,$148.84,$145.22,0.776,0.424
21/09/2022,$142.12,38338610,$146.39,$149.60,$142.00,0.1,0.408
22/09/2022,$142.82,34418520,$141.55,$144.58,$140.87,0.45,0.413
23/09/2022,$140.41,31710690,$141.42,$142.62,$138.89,0.527,0.476
24/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.44,0.341
25/09/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.177,0.306
26/09/2022,$136.37,30497020,$140.12,$142.24,$136.19,0.766,0.337
27/09/2022,$134.40,30826470,$137.92,$139.42,$134.1201,0.099,0.24
28/09/2022,$141.61,32658480,$134.62,$142.03,$134.27,0.514,0.299
29/09/2022,$136.41,38985410,$139.36,$139.84,$135.20,0.019,0.237
30/09/2022,$135.68,33166390,$136.05,$140.99,$135.50,0.411,0.221
01/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.665,0.379
02/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.32,0.308
03/10/2022,$138.61,27723060,$137.14,$139.62,$136.10,0.286,0.239
05/10/2022,$138.98,27979350,$138.24,$140.21,$134.78,0.48,0.282
06/10/2022,$139.07,36231060,$137.715,$141.45,$136.60,0.223,0.311
07/10/2022,$133.45,33214770,$136.76,$138.29,$132.44,0.25,0.288
08/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.999,0.336
09/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.514,0.455
10/10/2022,$133.79,24023980,$133.55,$136.11,$131.87,0.246,0.45
11/10/2022,$128.54,38481400,$131.62,$132.66,$126.99,0.319,0.433
12/10/2022,$127.50,34605250,$128.32,$129.67,$126.25,0.424,0.425
13/10/2022,$130.29,34325720,$123.53,$131.14,$122.5301,0.145,0.414
14/10/2022,$126.76,23559410,$131.00,$131.79,$126.52,0.518,0.452
15/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,-0.168,0.285
16/10/2022,#N/A,#N/A,#N/A,#N/A,#N/A,0.466,0.279
17/10/2022,$134.04,29612250,$130.30,$134.79,$130.18,0.723,0.347
18/10/2022,$132.80,25444980,$137.085,$137.8399,$131.40,0.418,0.361
19/10/2022,$133.23,30691050,$132.89,$137.00,$132.22,0.461,0.366
