Date,Average Score,7 MA
2020-06-10,0.046,
2020-06-29,0.068,
2020-08-25,0.13,
2020-09-01,0.098,
2020-10-02,0.099,
2020-11-03,0.085,
2021-01-12,0.061,0.084
2021-01-20,0.121,0.095
2021-02-12,0.016,0.087
2021-02-18,0.154,0.091
2021-02-19,0.105,0.092
2021-02-21,0.035,0.082
2021-02-22,0.136,0.09
2021-02-24,0.106,0.096
2021-02-26,-0.003,0.078
2021-03-02,-0.002,0.076
2021-03-03,0.042,0.06
2021-03-04,0.019,0.048
2021-03-05,0.07,0.053
2021-03-09,0.287,0.074
2021-03-10,0.046,0.066
2021-03-11,0.397,0.123
2021-03-12,0.077,0.134
2021-03-16,0.042,0.134
2021-03-17,0.048,0.138
2021-03-19,0.081,0.14
2021-03-21,0.101,0.113
2021-03-22,0.101,0.121
2021-03-23,0.089,0.077
2021-03-24,0.078,0.077
2021-03-26,0.093,0.084
2021-03-29,0.097,0.091
2021-03-30,0.107,0.095
2021-04-02,0.079,0.092
2021-04-05,0.076,0.088
2021-04-06,0.129,0.094
2021-04-09,0.061,0.092
2021-04-13,0.06,0.087
2021-04-14,0.085,0.085
2021-04-19,0.108,0.085
2021-04-24,0.093,0.087
2021-04-26,0.273,0.116
2021-04-27,0.083,0.109
2021-04-29,0.086,0.113
2021-05-01,0.063,0.113
2021-05-02,0.035,0.106
2021-05-03,0.108,0.106
2021-05-04,0.069,0.102
2021-05-05,0.118,0.08
2021-05-06,0.028,0.072
2021-05-07,0.084,0.072
2021-05-10,0.007,0.064
2021-05-11,0.286,0.1
2021-05-15,0.126,0.103
2021-05-19,0.132,0.112
2021-05-21,0.464,0.161
2021-05-24,0.101,0.171
2021-05-26,0.044,0.166
2021-05-27,0.0,0.165
2021-06-04,0.177,0.149
2021-06-08,-0.04,0.125
2021-06-09,0.057,0.115
2021-06-11,0.125,0.066
2021-06-15,0.154,0.074
2021-06-17,0.07,0.078
2021-06-18,0.087,0.09
2021-06-19,0.286,0.106
2021-06-21,0.091,0.124
2021-06-22,0.086,0.128
2021-06-23,0.102,0.125
2021-06-25,0.04,0.109
2021-06-26,0.021,0.102
2021-06-28,0.101,0.104
2021-07-02,0.142,0.083
2021-07-08,0.09,0.083
2021-07-09,0.17,0.095
2021-07-10,-0.157,0.058
2021-07-12,0.248,0.088
2021-07-13,0.122,0.102
2021-07-18,0.167,0.112
2021-07-19,0.228,0.124
2021-07-20,0.042,0.117
2021-07-21,0.187,0.12
2021-07-22,0.0,0.142
2021-07-23,0.11,0.122
2021-07-26,0.165,0.128
2021-07-27,0.126,0.123
2021-07-29,0.096,0.104
2021-07-30,0.101,0.112
2021-08-03,0.076,0.096
2021-08-04,0.055,0.104
2021-08-05,0.029,0.093
2021-08-06,0.131,0.088
2021-08-07,0.247,0.105
2021-08-09,0.014,0.093
2021-08-10,0.088,0.091
2021-08-11,0.106,0.096
2021-08-12,-0.092,0.075
2021-08-14,0.0,0.071
2021-08-16,0.037,0.057
2021-08-17,0.22,0.053
2021-08-19,0.1,0.066
2021-08-20,0.052,0.06
2021-08-21,0.042,0.051
2021-08-23,0.397,0.121
2021-08-25,0.031,0.126
2021-09-01,0.088,0.133
2021-09-04,0.049,0.108
2021-09-05,0.047,0.101
2021-09-08,0.104,0.108
2021-09-09,0.047,0.109
2021-09-10,0.037,0.058
2021-09-13,0.054,0.061
2021-09-14,0.098,0.062
2021-09-15,0.085,0.067
2021-09-16,0.139,0.081
2021-09-17,0.1,0.08
2021-09-21,0.197,0.101
2021-09-22,0.123,0.114
2021-09-23,0.112,0.122
2021-09-24,0.016,0.11
2021-09-25,0.063,0.107
2021-09-27,0.106,0.102
2021-09-28,-0.078,0.077
2021-09-29,-0.087,0.036
2021-10-01,0.163,0.042
2021-10-04,0.089,0.039
2021-10-05,0.061,0.045
2021-10-06,0.245,0.071
2021-10-07,0.081,0.068
2021-10-08,0.119,0.096
2021-10-10,0.052,0.116
2021-10-11,0.031,0.097
2021-10-12,0.082,0.096
2021-10-13,0.116,0.104
2021-10-15,0.096,0.082
2021-10-18,0.123,0.088
2021-10-19,0.131,0.09
2021-10-20,0.1,0.097
2021-10-21,0.073,0.103
2021-10-22,0.098,0.105
2021-10-25,0.048,0.096
2021-10-26,0.186,0.108
2021-10-27,0.085,0.103
2021-10-28,0.072,0.095
2021-10-29,0.038,0.086
2021-10-31,0.219,0.107
2021-11-01,0.089,0.105
2021-11-02,0.087,0.111
2021-11-03,0.083,0.096
2021-11-04,0.12,0.101
2021-11-05,0.128,0.109
2021-11-06,0.0,0.104
