Date,Average Score,7 MA
2015-09-29,0.993,
2017-03-01,0.981,
2017-03-02,0.543,
2017-03-06,-0.784,
2017-03-11,0.798,
2017-03-14,0.778,
2017-03-22,0.543,0.55
2017-03-24,-0.626,0.319
2017-04-03,0.778,0.29
2017-04-13,0.46,0.278
2017-04-14,-0.805,0.275
2017-04-22,0.853,0.283
2017-04-24,0.543,0.249
2017-04-27,-0.083,0.16
2017-10-11,0.997,0.392
2017-11-28,0.998,0.423
2018-02-02,0.996,0.5
2018-03-16,0.991,0.756
2018-04-17,0.995,0.777
2018-06-14,0.995,0.841
2018-07-12,0.973,0.992
2018-10-22,0.995,0.992
2018-11-29,0.997,0.992
2019-02-21,0.997,0.992
2019-03-07,0.997,0.993
2019-05-08,0.997,0.993
2019-07-24,-0.883,0.725
2019-07-26,0.974,0.725
2019-07-29,-0.883,0.457
2019-08-01,-0.073,0.304
2019-08-02,0.705,0.262
2019-08-05,-0.883,-0.007
2019-08-06,0.069,-0.139
2019-08-07,0.0,-0.013
2019-08-09,-0.02,-0.155
2019-08-12,0.033,-0.024
2019-08-16,-0.973,-0.153
2019-08-19,-0.883,-0.38
2019-08-20,0.642,-0.162
2019-08-21,0.974,-0.032
2019-08-23,-0.973,-0.171
2019-08-26,-0.883,-0.295
2019-08-27,0.937,-0.166
2019-08-28,0.494,0.044
2019-08-30,0.004,0.171
2019-09-01,0.947,0.214
2019-09-02,-0.883,-0.051
2019-09-04,-0.01,0.087
2019-09-05,0.66,0.307
2019-09-07,0.921,0.305
2019-09-09,-0.504,0.162
2019-09-10,0.974,0.301
2019-09-12,0.941,0.3
2019-09-13,-0.957,0.289
2019-09-15,-0.883,0.165
2019-09-17,0.884,0.197
2019-09-20,-0.883,-0.061
2020-03-27,0.999,0.154
2020-04-15,0.997,0.157
2020-04-21,0.918,0.154
2020-04-22,0.635,0.381
2020-04-23,0.666,0.602
2020-04-24,0.603,0.562
2020-04-25,0.954,0.825
2020-04-27,0.865,0.805
2020-04-28,0.986,0.804
2020-04-29,0.998,0.815
2020-04-30,0.994,0.867
2020-05-06,0.991,0.913
2020-05-07,1.0,0.97
2020-05-13,0.949,0.969
2020-05-21,0.995,0.988
2020-05-22,0.999,0.989
2020-06-10,0.926,0.979
2020-06-11,0.771,0.947
2020-06-16,0.9,0.934
2020-06-26,0.997,0.934
2020-06-29,0.918,0.929
2020-07-02,0.999,0.93
2020-07-07,0.836,0.907
2020-07-14,0.995,0.917
2020-07-15,0.984,0.947
2020-08-04,0.974,0.958
2020-08-18,-0.599,0.73
2020-08-25,0.991,0.74
2020-08-31,0.997,0.74
2020-09-03,-0.763,0.511
2020-09-04,0.0,0.369
2020-09-09,0.999,0.371
2020-09-11,0.995,0.374
2020-09-23,0.993,0.602
2020-10-01,0.527,0.535
2020-10-07,-0.843,0.273
2020-10-18,0.994,0.524
2020-10-19,0.999,0.666
2020-10-20,0.979,0.663
2020-10-27,0.999,0.664
2020-10-29,0.986,0.663
2020-10-30,0.999,0.73
2020-11-09,0.997,0.993
2020-11-10,1.0,0.994
2020-11-12,1.0,0.994
2020-11-13,0.999,0.997
2020-11-14,0.977,0.994
2020-11-19,1.0,0.996
2020-11-23,1.0,0.996
2020-12-03,0.988,0.995
2020-12-04,0.69,0.951
2020-12-05,0.974,0.947
2020-12-11,0.999,0.947
2020-12-14,0.992,0.949
2020-12-18,0.976,0.946
2020-12-21,0.999,0.945
2020-12-24,0.999,0.947
2020-12-28,0.996,0.991
2020-12-31,1.0,0.994
2021-01-05,0.983,0.992
2021-01-07,0.992,0.992
2021-01-12,0.64,0.944
2021-01-13,-0.811,0.686
2021-01-14,1.0,0.686
2021-01-15,0.986,0.684
2021-01-16,0.978,0.681
2021-01-19,0.52,0.615
2021-01-20,0.664,0.568
2021-01-21,0.996,0.619
2021-01-22,0.992,0.877
2021-01-24,-0.94,0.599
2021-01-27,0.999,0.601
2021-02-01,0.987,0.603
2021-02-03,0.982,0.669
2021-02-04,1.0,0.717
2021-02-05,0.0,0.574
2021-02-07,1.0,0.575
2021-02-11,0.0,0.71
2021-02-12,0.998,0.71
2021-02-13,0.886,0.695
2021-02-14,1.0,0.698
2021-02-17,0.997,0.697
2021-02-18,0.064,0.706
2021-02-20,1.0,0.706
2021-02-22,0.586,0.79
2021-02-23,0.54,0.725
2021-02-25,0.92,0.73
2021-02-26,0.894,0.714
2021-02-27,1.0,0.715
2021-02-28,0.997,0.848
2021-03-01,0.812,0.821
2021-03-02,0.552,0.816
2021-03-03,0.891,0.867
2021-03-04,0.793,0.848
2021-03-05,0.998,0.863
2021-03-06,0.994,0.862
2021-03-07,0.968,0.858
2021-03-08,0.409,0.801
2021-03-09,0.513,0.795
2021-03-10,0.226,0.7
2021-03-11,0.994,0.729
2021-03-12,0.825,0.704
2021-03-13,0.897,0.69
2021-03-14,0.934,0.685
2021-03-15,0.993,0.769
2021-03-16,0.814,0.812
2021-03-17,0.568,0.861
2021-03-18,0.605,0.805
2021-03-19,0.447,0.751
2021-03-20,-0.093,0.61
2021-03-21,0.999,0.619
2021-03-22,0.722,0.58
2021-03-23,0.472,0.531
2021-03-24,0.558,0.53
2021-03-25,0.256,0.48
2021-03-26,0.644,0.508
2021-03-27,0.457,0.587
2021-03-28,0.351,0.494
2021-03-29,0.609,0.478
2021-03-30,0.319,0.456
2021-03-31,0.508,0.449
2021-04-01,0.615,0.5
2021-04-02,0.39,0.464
2021-04-03,-0.242,0.364
2021-04-04,0.606,0.401
2021-04-05,0.419,0.374
2021-04-06,0.824,0.446
2021-04-07,0.31,0.417
2021-04-08,0.559,0.409
2021-04-09,0.512,0.427
2021-04-10,0.625,0.551
2021-04-11,0.998,0.607
2021-04-12,0.728,0.651
2021-04-13,0.812,0.649
2021-04-14,0.394,0.661
2021-04-15,0.755,0.689
2021-04-16,0.406,0.674
2021-04-17,0.449,0.649
2021-04-18,0.592,0.591
2021-04-19,0.619,0.575
2021-04-20,0.541,0.537
2021-04-21,0.205,0.51
2021-04-22,0.565,0.482
2021-04-23,0.664,0.519
2021-04-24,0.51,0.528
2021-04-25,0.586,0.527
2021-04-26,0.583,0.522
2021-04-27,0.562,0.525
2021-04-28,0.489,0.566
2021-04-29,0.703,0.585
2021-04-30,0.568,0.572
2021-05-01,0.241,0.533
