Date,Average Score,7 MA
2015-07-07,0.998,
2015-07-23,0.153,
2015-07-31,0.831,
2015-08-06,0.999,
2015-08-07,0.984,
2015-08-28,0.802,
2015-08-30,0.997,0.823
2015-09-16,0.996,0.823
2015-09-29,0.973,0.94
2015-10-22,0.153,0.843
2015-11-05,0.995,0.843
2015-11-10,0.998,0.845
2015-11-11,0.869,0.854
2015-11-16,0.979,0.852
2015-11-19,0.995,0.852
2015-12-10,0.992,0.854
2015-12-23,0.934,0.966
2015-12-31,0.929,0.957
2016-01-04,0.998,0.957
2016-01-05,0.99,0.974
2016-01-27,0.818,0.951
2016-02-17,0.998,0.951
2016-02-18,0.955,0.946
2016-03-14,0.966,0.951
2016-03-15,0.934,0.951
2016-03-16,0.982,0.949
2016-03-30,0.934,0.941
2016-03-31,0.957,0.961
2016-04-05,0.992,0.96
2016-04-06,0.963,0.961
2016-04-28,0.746,0.93
2016-05-02,0.951,0.932
2016-05-07,0.998,0.934
2016-05-12,0.996,0.943
2016-05-13,0.918,0.938
2016-05-18,0.993,0.938
2016-05-31,0.994,0.942
2016-06-08,0.999,0.978
2016-06-20,0.993,0.984
2016-06-21,0.97,0.98
2016-07-07,0.992,0.98
2016-07-28,0.884,0.975
2016-08-11,0.998,0.976
2016-08-16,0.995,0.976
2016-08-31,0.918,0.964
2016-09-13,0.984,0.963
2016-09-14,0.972,0.963
2016-09-28,0.987,0.963
2016-10-05,0.993,0.978
2016-10-27,0.884,0.962
2016-11-10,0.997,0.962
2016-11-15,0.001,0.831
2016-11-16,0.908,0.82
2017-01-04,0.942,0.816
2017-01-05,0.984,0.816
2017-01-18,0.969,0.812
2017-01-26,0.66,0.78
2017-01-27,0.66,0.732
2017-02-05,0.996,0.874
2017-02-09,0.994,0.886
2017-02-10,0.884,0.878
2017-03-08,0.99,0.879
2017-03-15,0.982,0.881
2017-03-24,0.987,0.928
2017-04-03,0.97,0.972
2017-04-05,0.802,0.944
2017-04-17,0.977,0.942
2017-05-08,0.994,0.957
2017-05-09,0.988,0.957
2017-05-10,0.976,0.956
2017-05-15,0.875,0.94
2017-05-29,0.997,0.944
2017-05-30,0.992,0.971
2017-06-13,0.994,0.974
2017-06-19,0.997,0.974
2017-06-27,0.988,0.974
2017-07-05,0.99,0.976
2017-07-27,0.66,0.945
2017-07-31,0.986,0.944
2017-08-10,0.997,0.945
2017-08-17,0.995,0.945
2017-08-21,0.993,0.944
2017-08-24,0.869,0.927
2017-09-26,0.993,0.928
2017-09-27,0.996,0.976
2017-10-10,0.993,0.977
2017-10-26,0.882,0.96
2017-10-31,0.984,0.959
2017-11-09,0.997,0.959
2017-11-13,0.991,0.977
2017-11-15,0.932,0.968
2017-11-27,0.998,0.968
2017-12-04,0.994,0.968
2017-12-08,0.991,0.984
2017-12-13,0.995,0.985
2017-12-15,0.869,0.967
2018-01-08,0.993,0.967
2018-01-10,0.996,0.977
2018-01-25,0.66,0.928
2018-01-30,0.869,0.91
2018-01-31,0.997,0.911
2018-02-05,0.995,0.911
2018-02-08,0.996,0.929
2018-03-01,0.961,0.925
2018-03-13,0.869,0.907
2018-03-19,0.995,0.955
2018-03-27,0.991,0.972
2018-04-19,0.66,0.924
2018-05-01,0.869,0.906
2018-05-02,0.802,0.878
2018-05-10,0.998,0.883
2018-05-16,0.998,0.902
2018-05-23,0.869,0.884
2018-05-30,0.999,0.885
2018-06-04,0.996,0.933
2018-06-25,0.991,0.95
2018-07-19,0.66,0.93
2018-08-13,0.999,0.93
2018-08-16,0.998,0.93
2018-08-20,0.998,0.949
2018-08-23,0.869,0.93
2018-09-04,0.997,0.93
2018-09-10,0.997,0.931
2018-09-13,0.998,0.979
2018-10-10,0.995,0.979
2018-10-18,0.998,0.979
2018-10-25,0.995,0.978
2018-11-01,0.66,0.949
2018-11-12,0.988,0.947
2018-11-15,0.998,0.947
2018-11-20,0.869,0.929
2018-11-21,0.995,0.929
2018-12-03,0.994,0.928
2018-12-04,0.998,0.929
2018-12-11,0.869,0.959
2018-12-24,-0.75,0.71
2018-12-27,-0.832,0.449
2018-12-28,0.949,0.46
2019-01-03,-0.75,0.211
2019-01-04,-0.952,-0.067
2019-01-05,0.94,-0.075
2019-01-07,0.998,-0.057
2019-01-08,-0.052,0.043
