Date,Average Score,7 MA
2017-04-07,0.124,
2017-05-09,0.118,
2017-06-07,0.003,
2018-03-06,0.045,
2018-04-06,0.047,
2018-05-31,0.039,
2018-08-17,0.077,0.065
2018-11-21,0.042,0.053
2019-04-09,0.039,0.042
2019-05-01,-0.016,0.039
2019-08-29,0.156,0.055
2019-09-05,0.051,0.055
2020-06-22,0.15,0.071
2020-07-22,0.126,0.078
2020-08-21,0.058,0.081
2020-10-16,0.034,0.08
2020-11-26,0.108,0.098
2020-12-11,0.103,0.09
2020-12-12,0.086,0.095
2020-12-18,0.156,0.096
2020-12-21,0.128,0.096
2021-01-04,0.109,0.103
2021-01-08,0.348,0.148
2021-01-09,0.144,0.153
2021-02-02,-0.153,0.117
2021-02-10,0.104,0.119
2021-02-11,0.112,0.113
2021-02-12,0.093,0.108
2021-02-23,0.003,0.093
2021-02-27,0.24,0.078
2021-03-03,0.135,0.076
2021-03-04,0.074,0.109
2021-03-05,-0.002,0.094
2021-03-06,0.012,0.079
2021-03-08,0.074,0.077
2021-03-09,0.119,0.093
2021-03-11,0.016,0.061
2021-03-12,0.154,0.064
2021-03-14,0.08,0.065
2021-03-16,0.078,0.076
2021-03-17,0.088,0.087
2021-03-19,-0.02,0.074
2021-03-20,0.179,0.082
2021-03-21,0.052,0.087
2021-03-23,0.172,0.09
2021-03-24,0.094,0.092
2021-03-25,0.06,0.089
2021-03-26,0.067,0.086
2021-03-27,0.11,0.105
2021-03-28,0.406,0.137
2021-03-29,0.073,0.14
2021-03-30,0.137,0.135
2021-04-02,0.079,0.133
2021-04-03,0.04,0.13
2021-04-05,0.022,0.124
2021-04-06,0.108,0.124
2021-04-07,0.117,0.082
2021-04-08,0.074,0.082
2021-04-09,0.07,0.073
2021-04-10,0.062,0.07
2021-04-11,0.0,0.065
2021-04-12,0.089,0.074
2021-04-13,0.0,0.059
2021-04-14,0.076,0.053
2021-04-15,0.13,0.061
2021-04-16,0.119,0.068
2021-04-17,0.073,0.07
2021-04-19,0.073,0.08
2021-04-21,0.095,0.081
2021-04-22,0.11,0.097
2021-04-25,0.111,0.102
2021-04-26,0.166,0.107
2021-04-28,0.08,0.101
2021-04-29,0.029,0.095
2021-05-01,0.154,0.106
2021-05-03,0.118,0.11
2021-05-04,0.097,0.108
2021-05-07,0.09,0.105
2021-05-08,0.216,0.112
2021-05-10,0.078,0.112
2021-05-11,0.143,0.128
2021-05-12,-0.208,0.076
2021-05-13,0.046,0.066
2021-05-16,0.13,0.071
2021-05-18,0.006,0.059
2021-05-19,0.071,0.038
2021-05-22,0.033,0.032
2021-05-23,0.043,0.017
2021-05-24,0.125,0.065
2021-05-26,0.061,0.067
2021-05-27,0.063,0.057
2021-05-28,0.093,0.07
2021-05-29,0.102,0.074
2021-05-31,0.258,0.106
2021-06-02,0.071,0.11
2021-06-04,0.216,0.123
2021-06-05,-0.018,0.112
2021-06-07,0.037,0.108
2021-06-10,0.0,0.095
2021-06-11,0.201,0.109
2021-06-14,0.091,0.085
2021-06-15,0.0,0.075
2021-06-16,0.085,0.057
2021-06-21,0.096,0.073
2021-06-23,0.099,0.082
2021-06-27,-0.022,0.079
2021-06-29,0.267,0.088
2021-06-30,0.0,0.075
2021-07-02,0.11,0.091
2021-07-04,0.023,0.082
2021-07-07,0.072,0.078
2021-07-09,0.111,0.08
2021-07-12,0.248,0.119
2021-07-13,0.163,0.104
2021-07-14,0.046,0.11
2021-07-15,0.172,0.119
2021-07-16,0.118,0.133
2021-07-20,0.102,0.137
2021-07-22,0.123,0.139
2021-07-23,0.11,0.119
2021-07-28,0.098,0.11
2021-07-31,0.083,0.115
2021-08-02,0.108,0.106
2021-08-03,0.1,0.103
2021-08-09,0.09,0.102
2021-08-11,-0.073,0.074
2021-08-12,0.268,0.096
2021-08-16,0.107,0.098
2021-08-20,0.091,0.099
2021-08-25,0.105,0.098
2021-08-26,-0.011,0.082
2021-08-27,0.0,0.07
2021-08-28,0.058,0.088
2021-08-29,0.248,0.085
2021-08-30,0.173,0.095
2021-09-01,0.064,0.091
2021-09-02,0.079,0.087
2021-09-03,-0.072,0.079
2021-09-05,0.005,0.079
2021-09-06,0.093,0.084
2021-09-08,0.047,0.056
2021-09-09,0.0,0.031
2021-09-10,0.004,0.022
2021-09-14,0.132,0.03
2021-09-15,0.231,0.073
2021-09-16,0.072,0.083
2021-09-17,0.094,0.083
2021-09-21,0.193,0.104
2021-09-24,0.137,0.123
2021-09-27,0.069,0.133
2021-09-28,0.026,0.117
2021-09-29,0.107,0.1
2021-10-04,0.051,0.097
2021-10-07,0.05,0.09
2021-10-12,0.071,0.073
2021-10-13,0.1,0.068
2021-10-14,0.154,0.08
2021-10-15,0.08,0.088
2021-10-18,0.091,0.085
2021-10-19,0.092,0.091
2021-10-21,0.106,0.099
2021-10-25,0.096,0.103
2021-10-28,0.037,0.094
2021-10-29,0.109,0.087
2021-11-01,0.08,0.087
2021-11-02,0.128,0.093
2021-11-03,0.109,0.095
2021-11-04,0.103,0.095
2021-11-12,0.1,0.095
2021-11-17,0.106,0.105
2021-11-19,0.108,0.105
2021-11-22,0.153,0.115
2021-11-23,0.0,0.097
2021-11-24,0.098,0.095
2021-11-26,0.118,0.098
2021-11-28,0.162,0.106
2021-11-30,0.039,0.097
2021-12-01,0.026,0.085
2021-12-02,0.071,0.073
2021-12-03,0.127,0.092
2021-12-04,0.094,0.091
2021-12-07,0.069,0.084
2021-12-08,0.082,0.073
2021-12-09,0.097,0.081
2021-12-10,0.088,0.09
2021-12-11,0.053,0.087
2021-12-14,0.119,0.086
2021-12-15,0.16,0.095
2021-12-16,0.131,0.104
2021-12-17,0.03,0.097
2021-12-18,0.084,0.095
2021-12-20,0.109,0.098
2021-12-22,0.095,0.104
2021-12-23,0.066,0.096
2021-12-24,0.049,0.081
2021-12-27,0.097,0.076
2021-12-28,0.086,0.084
2021-12-29,0.127,0.09
2022-01-03,0.092,0.087
2022-01-04,0.006,0.075
2022-01-05,0.023,0.069
2022-01-06,0.077,0.073
2022-01-07,0.038,0.064
2022-01-08,0.27,0.09
2022-01-11,0.072,0.083
2022-01-12,0.136,0.089
2022-01-13,0.138,0.108
2022-01-14,0.078,0.116
2022-01-17,0.082,0.116
2022-01-19,0.071,0.121
2022-01-21,0.021,0.085
2022-01-24,0.089,0.088
2022-01-25,0.171,0.093
2022-01-26,0.09,0.086
2022-01-28,0.085,0.087
2022-02-01,0.08,0.087
2022-02-02,0.083,0.088
2022-02-04,0.115,0.102
2022-02-05,0.072,0.099
2022-02-06,0.09,0.088
2022-02-07,0.074,0.086
2022-02-08,0.06,0.082
2022-02-09,0.054,0.078
2022-02-14,0.068,0.076
2022-02-16,-0.078,0.049
2022-02-22,0.108,0.054
2022-02-23,0.077,0.052
2022-02-24,0.065,0.051
2022-02-28,0.107,0.057
2022-03-02,0.02,0.052
2022-03-03,0.029,0.047
2022-03-04,0.053,0.066
2022-03-05,0.05,0.057
2022-03-07,0.138,0.066
2022-03-08,0.08,0.068
2022-03-09,0.172,0.077
2022-03-10,0.098,0.089
2022-03-14,0.109,0.1
2022-03-22,0.003,0.093
2022-03-23,0.055,0.094
2022-03-24,-0.049,0.067
2022-03-25,0.027,0.059
2022-03-28,0.093,0.048
2022-03-29,0.055,0.042
2022-03-30,0.02,0.029
2022-03-31,0.003,0.029
2022-04-01,-0.01,0.02
2022-04-02,-0.001,0.027
2022-04-03,0.0,0.023
2022-04-04,0.059,0.018
2022-04-05,0.187,0.037
2022-04-06,0.014,0.036
2022-04-07,-0.003,0.035
2022-04-08,-0.045,0.03
2022-04-19,0.1,0.045
2022-04-21,-0.044,0.038
2022-04-26,-0.059,0.021
2022-04-28,0.111,0.011
2022-05-02,0.057,0.017
2022-05-03,0.07,0.027
2022-05-05,0.076,0.044
2022-05-06,0.198,0.058
2022-05-09,-0.009,0.063
2022-05-10,0.097,0.086
2022-05-11,0.069,0.08
2022-05-13,0.049,0.079
2022-05-14,0.02,0.071
