Date,Average Score,7 MA
2019-09-26,0.162,
2019-10-21,0.153,
2019-11-05,0.157,
2019-11-07,0.078,
2019-12-03,0.156,
2020-01-21,0.155,
2020-02-05,0.159,0.146
2020-02-06,0.165,0.146
2020-04-05,0.012,0.126
2020-04-22,0.135,0.123
2020-04-24,0.073,0.122
2020-05-06,0.151,0.121
2020-05-12,0.156,0.122
2020-05-15,0.156,0.121
2020-05-21,0.155,0.12
2020-07-07,0.148,0.139
2020-07-10,0.05,0.127
2020-08-04,0.143,0.137
2020-09-08,0.155,0.138
2020-09-10,0.144,0.136
2020-09-17,0.092,0.127
2020-09-22,0.144,0.125
2020-10-11,0.107,0.119
2020-10-20,0.054,0.12
2020-10-21,0.145,0.12
2020-11-05,0.148,0.119
2020-12-02,0.151,0.12
2020-12-08,0.064,0.116
2020-12-11,0.099,0.11
2020-12-12,0.086,0.107
2020-12-15,0.136,0.118
2020-12-16,0.256,0.134
2020-12-21,0.14,0.133
2020-12-29,0.019,0.114
2021-01-08,0.348,0.155
2021-01-14,0.072,0.151
2021-01-19,0.001,0.139
2021-01-22,0.124,0.137
2021-01-24,0.073,0.111
2021-01-26,0.145,0.112
2021-01-28,0.081,0.121
2021-02-03,0.148,0.092
2021-02-04,0.153,0.104
2021-02-05,0.012,0.105
2021-02-07,0.0,0.087
2021-02-08,0.307,0.121
2021-02-10,0.064,0.109
2021-02-11,0.052,0.105
2021-02-13,0.083,0.096
2021-02-16,0.141,0.094
2021-02-18,0.112,0.108
2021-02-22,0.159,0.131
2021-02-23,0.38,0.142
2021-02-24,0.098,0.146
2021-02-26,0.119,0.156
2021-03-02,-0.081,0.133
2021-03-03,0.081,0.124
2021-03-04,0.044,0.114
2021-03-05,0.05,0.099
2021-03-07,0.069,0.054
2021-03-08,0.032,0.045
2021-03-09,0.082,0.04
2021-03-12,0.058,0.059
2021-03-13,0.058,0.056
2021-03-14,0.228,0.082
2021-03-15,0.065,0.085
2021-03-16,0.139,0.095
2021-03-17,0.086,0.102
2021-03-18,-0.016,0.088
2021-03-19,-0.002,0.08
2021-03-20,0.059,0.08
2021-03-21,0.08,0.059
2021-03-22,0.082,0.061
2021-03-23,0.088,0.054
2021-03-24,0.021,0.045
2021-03-25,0.099,0.061
2021-03-26,0.081,0.073
2021-03-27,0.0,0.064
2021-03-29,0.114,0.069
2021-03-30,0.0,0.058
2021-04-01,0.12,0.062
2021-04-02,0.12,0.076
2021-04-05,0.203,0.091
2021-04-06,0.111,0.095
2021-04-07,0.149,0.117
2021-04-08,0.01,0.102
2021-04-09,0.194,0.13
2021-04-10,0.055,0.12
2021-04-11,0.319,0.149
2021-04-12,0.09,0.133
2021-04-13,0.067,0.126
2021-04-14,0.122,0.122
2021-04-15,0.059,0.129
2021-04-17,-0.063,0.093
2021-04-19,-0.029,0.081
2021-04-20,0.073,0.046
2021-04-21,0.06,0.041
2021-04-22,0.073,0.042
2021-04-23,-0.005,0.024
2021-04-24,-0.106,0.0
2021-04-26,0.011,0.011
