Date,Average Score,7 MA
2017-09-28,0.102,
2017-11-20,0.044,
2018-01-23,0.049,
2018-04-19,0.059,
2018-06-15,0.055,
2018-08-23,0.058,
2018-09-12,0.042,0.058
2018-10-17,0.048,0.051
2018-10-19,0.041,0.05
2018-11-12,0.042,0.049
2018-11-14,0.043,0.047
2018-12-12,0.052,0.047
2019-01-03,0.049,0.045
2019-02-07,0.041,0.045
2019-04-19,0.037,0.044
2020-02-19,0.151,0.059
2020-04-22,0.088,0.066
2020-06-03,0.141,0.08
2020-06-09,0.047,0.079
2020-08-18,0.111,0.088
2020-10-10,0.095,0.096
2020-10-15,0.007,0.091
2020-10-30,0.092,0.083
2020-11-16,0.097,0.084
2020-12-01,0.129,0.083
2020-12-15,0.071,0.086
2020-12-21,0.133,0.089
2021-01-07,0.035,0.081
2021-01-13,0.252,0.116
2021-01-15,0.105,0.117
2021-01-19,0.001,0.104
2021-01-22,0.104,0.1
2021-02-14,0.0,0.09
2021-02-18,0.025,0.075
2021-02-19,0.105,0.085
2021-02-26,0.397,0.105
2021-03-01,0.088,0.103
2021-03-02,0.102,0.117
2021-03-03,0.079,0.114
2021-03-04,0.122,0.131
2021-03-05,0.027,0.131
2021-03-06,0.085,0.129
2021-03-09,0.099,0.086
2021-03-11,0.094,0.087
2021-03-12,0.062,0.081
2021-03-15,0.074,0.08
2021-03-17,0.078,0.074
2021-03-18,0.05,0.077
2021-03-19,0.132,0.084
2021-03-20,0.069,0.08
2021-03-21,0.172,0.091
2021-03-22,0.106,0.097
2021-03-23,0.066,0.096
2021-03-25,0.129,0.103
2021-03-26,0.01,0.098
2021-03-27,0.11,0.095
2021-03-29,0.093,0.098
2021-03-30,0.085,0.086
2021-03-31,0.0,0.07
2021-04-01,0.05,0.068
2021-04-02,0.056,0.058
2021-04-05,0.09,0.069
2021-04-06,0.104,0.068
2021-04-07,0.058,0.063
2021-04-09,0.074,0.062
2021-04-13,0.051,0.069
2021-04-14,0.081,0.073
2021-04-15,0.137,0.085
2021-04-16,0.135,0.091
2021-04-19,0.114,0.093
2021-04-20,0.055,0.092
2021-04-21,0.09,0.095
2021-04-22,0.016,0.09
2021-04-23,0.13,0.097
2021-04-26,-0.093,0.064
2021-04-27,0.127,0.063
2021-04-28,0.126,0.064
2021-04-29,0.077,0.068
2021-04-30,0.045,0.061
2021-05-02,0.114,0.075
2021-05-04,0.048,0.063
2021-05-05,0.207,0.106
2021-05-06,0.086,0.1
2021-05-07,0.107,0.098
2021-05-09,0.034,0.092
2021-05-10,0.08,0.097
2021-05-11,0.061,0.089
2021-05-13,0.033,0.087
2021-05-18,0.13,0.076
2021-05-19,0.0,0.064
2021-05-20,0.049,0.055
2021-05-21,0.054,0.058
2021-05-22,0.126,0.065
2021-05-23,0.092,0.069
2021-05-25,0.055,0.072
2021-05-27,0.074,0.064
2021-06-03,0.092,0.077
2021-06-04,0.068,0.08
2021-06-07,0.139,0.092
2021-06-08,0.096,0.088
2021-06-10,0.038,0.08
2021-06-11,0.015,0.075
2021-06-14,0.126,0.082
2021-06-15,0.077,0.08
2021-06-16,0.082,0.082
2021-06-17,0.163,0.085
2021-06-18,0.089,0.084
2021-06-21,0.107,0.094
2021-06-22,0.159,0.115
2021-06-23,0.069,0.107
2021-06-24,0.074,0.106
2021-06-25,0.079,0.106
2021-06-27,0.165,0.106
2021-06-28,0.094,0.107
2021-06-29,0.089,0.104
2021-06-30,0.055,0.089
2021-07-02,0.107,0.095
2021-07-06,-0.021,0.081
2021-07-08,0.0,0.07
2021-07-09,0.092,0.059
2021-07-11,0.047,0.053
2021-07-12,0.134,0.059
2021-07-13,0.085,0.063
2021-07-14,0.122,0.066
2021-07-15,0.101,0.083
2021-07-16,0.074,0.094
2021-07-19,0.069,0.09
2021-07-20,0.079,0.095
2021-07-21,0.04,0.081
2021-07-23,0.151,0.091
2021-07-25,0.019,0.076
2021-07-28,0.084,0.074
2021-07-29,0.12,0.08
2021-07-30,0.02,0.073
2021-08-02,0.084,0.074
2021-08-03,0.194,0.096
2021-08-04,0.04,0.08
2021-08-05,0.044,0.084
2021-08-06,0.065,0.081
2021-08-07,0.057,0.072
2021-08-09,0.061,0.078
2021-08-10,0.094,0.079
2021-08-11,0.152,0.073
2021-08-12,0.032,0.072
2021-08-13,0.078,0.077
2021-08-14,0.101,0.082
2021-08-16,0.0,0.074
2021-08-17,0.092,0.078
2021-08-18,0.144,0.086
2021-08-19,0.041,0.07
2021-08-21,0.094,0.079
2021-08-24,0.065,0.077
2021-08-25,0.03,0.067
2021-08-27,0.4,0.124
2021-08-29,0.008,0.112
2021-09-01,0.095,0.105
2021-09-02,0.085,0.111
2021-09-06,0.073,0.108
2021-09-07,0.028,0.103
2021-09-08,0.114,0.115
2021-09-09,0.085,0.07
2021-09-10,0.118,0.085
2021-09-11,0.06,0.08
2021-09-13,0.019,0.071
2021-09-14,0.003,0.061
2021-09-15,0.029,0.061
2021-09-17,0.064,0.054
2021-09-20,0.091,0.055
2021-09-21,0.107,0.053
2021-09-22,0.123,0.062
2021-09-23,0.089,0.072
2021-09-24,0.029,0.076
2021-09-25,0.067,0.081
2021-09-27,0.081,0.084
2021-09-28,0.093,0.084
2021-09-29,0.095,0.082
2021-09-30,0.077,0.076
2021-10-01,0.06,0.072
2021-10-04,0.089,0.08
2021-10-05,0.082,0.082
2021-10-06,0.06,0.079
2021-10-08,0.074,0.077
2021-10-11,0.076,0.074
2021-10-12,0.071,0.073
2021-10-13,0.101,0.079
2021-10-15,0.0,0.066
2021-10-18,0.055,0.062
2021-10-19,0.127,0.072
2021-10-20,0.087,0.074
2021-10-21,0.104,0.078
2021-10-22,0.068,0.077
2021-10-25,0.106,0.078
2021-10-26,0.033,0.083
2021-10-27,0.11,0.091
2021-11-01,0.069,0.082
2021-11-02,0.048,0.077
2021-11-03,0.014,0.064
2021-11-04,0.032,0.059
2021-11-05,-0.065,0.034
