Date,Average Score,7 MA
2020-11-12,0.0,
2020-12-04,0.102,
2020-12-15,0.069,
2020-12-16,0.055,
2020-12-26,0.146,
2021-01-07,-0.024,
2021-01-13,0.163,0.073
2021-01-19,0.076,0.084
2021-01-30,0.048,0.076
2021-02-05,-0.087,0.054
2021-02-12,0.093,0.059
2021-02-15,0.251,0.074
2021-02-19,0.0,0.078
2021-02-23,0.045,0.061
2021-02-25,0.142,0.07
2021-03-02,0.1,0.078
2021-03-03,0.163,0.113
2021-03-05,0.08,0.112
2021-03-09,0.183,0.102
2021-03-10,0.146,0.123
2021-03-11,-0.084,0.104
2021-03-12,0.081,0.096
2021-03-15,0.0,0.081
2021-03-16,0.079,0.069
2021-03-17,0.08,0.069
2021-03-18,0.133,0.062
2021-03-19,0.079,0.053
2021-03-22,0.081,0.076
2021-03-23,0.04,0.07
2021-03-24,0.126,0.088
2021-03-25,0.046,0.084
2021-03-26,-0.023,0.069
2021-03-31,0.014,0.052
2021-04-01,0.109,0.056
2021-04-05,0.09,0.057
2021-04-07,0.136,0.071
2021-04-13,0.151,0.075
2021-04-15,0.043,0.074
2021-04-16,0.079,0.089
2021-04-19,0.074,0.097
2021-04-20,0.089,0.095
2021-04-23,0.128,0.1
2021-04-25,-0.021,0.078
2021-04-30,0.12,0.073
2021-05-01,0.101,0.081
2021-05-04,0.095,0.084
2021-05-05,0.215,0.104
2021-05-06,0.272,0.13
2021-05-07,0.123,0.129
2021-05-11,0.065,0.142
2021-05-12,0.041,0.13
2021-05-13,0.042,0.122
2021-05-14,0.036,0.113
2021-05-18,0.057,0.091
2021-05-20,0.076,0.063
2021-05-21,0.048,0.052
2021-05-29,0.08,0.054
2021-06-03,0.044,0.055
2021-06-06,0.166,0.072
2021-06-09,0.386,0.122
2021-06-10,0.043,0.12
2021-06-16,0.14,0.13
2021-06-18,0.127,0.141
2021-06-20,0.09,0.142
2021-06-24,0.161,0.159
2021-06-27,0.174,0.16
2021-06-28,0.107,0.12
2021-07-06,0.068,0.124
2021-07-07,0.0,0.104
2021-07-10,0.119,0.103
2021-07-13,0.081,0.101
2021-07-14,0.0,0.078
2021-07-19,0.0,0.054
2021-07-20,0.121,0.056
2021-07-21,0.094,0.059
2021-07-22,0.101,0.074
2021-07-25,0.092,0.07
2021-07-29,0.261,0.096
2021-07-31,0.0,0.096
2021-08-02,0.106,0.111
2021-08-05,0.106,0.109
2021-08-09,0.055,0.103
2021-08-10,0.085,0.101
2021-08-11,0.116,0.104
2021-08-12,0.256,0.103
2021-08-13,0.115,0.12
2021-08-17,0.096,0.118
2021-08-18,0.107,0.119
2021-08-20,0.022,0.114
2021-08-23,0.177,0.127
2021-08-24,0.083,0.122
2021-08-25,0.119,0.103
2021-08-27,0.048,0.093
2021-08-28,0.032,0.084
2021-08-31,0.071,0.079
2021-09-01,0.15,0.097
2021-09-02,0.0,0.072
2021-09-03,0.034,0.065
