Date,Average Score,7 MA
2016-01-12,0.181,
2016-01-26,0.134,
2016-02-10,0.124,
2016-02-22,0.127,
2016-03-02,0.097,
2016-03-07,0.09,
2016-03-15,0.134,0.127
2016-03-29,0.107,0.116
2016-05-02,0.096,0.111
2016-06-07,0.151,0.115
2016-09-07,0.086,0.109
2016-10-17,0.129,0.113
2016-10-29,-0.054,0.093
2016-11-15,0.122,0.091
2016-11-28,0.137,0.095
2016-12-15,0.144,0.102
2017-01-17,0.065,0.09
2017-03-27,0.068,0.087
2017-04-20,0.083,0.081
2017-05-25,0.15,0.11
2017-06-13,0.11,0.108
2017-07-11,0.11,0.104
2017-07-19,0.164,0.107
2017-08-08,0.157,0.12
2017-08-31,0.153,0.132
2017-09-21,0.125,0.138
2017-09-26,0.121,0.134
2017-10-03,0.111,0.134
2017-10-10,0.159,0.141
2017-11-08,0.132,0.137
2017-12-05,0.137,0.134
2018-01-04,0.158,0.135
2018-01-17,0.117,0.134
2018-01-23,0.182,0.142
2018-01-25,0.147,0.147
2018-01-31,0.105,0.14
2018-03-06,0.179,0.146
2018-03-12,0.118,0.144
2018-03-13,0.106,0.136
2018-05-21,0.129,0.138
2018-06-05,0.126,0.13
2018-06-06,0.13,0.128
2018-06-11,0.165,0.136
2018-06-20,0.195,0.138
2018-07-10,0.11,0.137
2018-07-11,0.127,0.14
2018-09-06,0.094,0.135
2018-09-12,0.085,0.129
2018-09-13,0.109,0.126
2018-10-11,0.124,0.121
2018-10-25,0.094,0.106
2018-10-31,0.139,0.11
2018-11-14,0.104,0.107
2018-12-05,0.227,0.126
2018-12-06,0.151,0.135
2019-01-22,0.106,0.135
2019-03-18,0.125,0.135
2019-03-19,0.11,0.137
2019-03-22,0.1,0.132
2019-04-18,0.135,0.136
2019-04-23,0.122,0.121
2019-05-01,0.057,0.108
2019-05-07,0.126,0.111
2019-05-15,0.128,0.111
2019-06-06,0.07,0.105
2019-06-12,0.11,0.107
2019-07-23,0.129,0.106
2019-07-24,0.134,0.108
2019-08-01,0.056,0.108
2019-08-05,0.117,0.106
2019-09-04,0.15,0.109
2019-09-05,0.066,0.109
2019-09-09,0.123,0.111
2019-09-10,0.127,0.11
2019-10-15,0.141,0.111
2019-11-01,0.082,0.115
2019-12-05,0.06,0.107
2019-12-30,0.143,0.106
2020-02-03,0.082,0.108
2020-02-11,0.049,0.098
2020-03-04,0.099,0.094
2020-03-09,0.164,0.097
2020-03-24,0.087,0.098
2020-04-03,0.032,0.094
2020-04-06,0.017,0.076
2020-04-08,0.058,0.072
2020-04-09,0.03,0.07
2020-04-11,0.031,0.06
2020-04-14,0.049,0.043
2020-04-15,-0.011,0.029
2020-04-16,0.027,0.029
2020-04-17,0.01,0.028
2020-04-18,0.018,0.022
2020-04-22,0.068,0.027
2020-04-23,0.036,0.028
2020-04-24,0.088,0.034
2020-04-29,-0.012,0.034
2020-04-30,0.001,0.03
2020-05-01,0.082,0.04
2020-05-03,0.019,0.04
2020-05-05,0.098,0.045
2020-05-06,0.067,0.049
2020-05-07,0.096,0.05
2020-05-08,0.019,0.055
2020-05-11,0.132,0.073
2020-05-13,-0.002,0.061
2020-05-14,0.09,0.071
2020-05-15,0.032,0.062
2020-05-19,-0.007,0.051
2020-05-20,0.021,0.041
2020-05-21,0.046,0.045
2020-05-26,0.087,0.038
2020-05-27,0.024,0.042
2020-05-28,0.096,0.043
2020-06-02,0.032,0.043
2020-06-08,0.029,0.048
2020-06-09,0.121,0.062
2020-06-10,0.023,0.059
2020-06-11,0.188,0.073
2020-06-15,0.097,0.084
2020-06-24,0.137,0.09
2020-06-30,0.167,0.109
2020-07-02,0.14,0.125
2020-07-07,0.111,0.123
2020-07-13,0.144,0.141
2020-07-15,0.132,0.133
2020-07-16,0.086,0.131
2020-07-21,0.12,0.129
2020-07-23,0.101,0.119
2020-08-03,0.066,0.109
2020-08-17,0.134,0.112
2020-08-19,0.145,0.112
2020-08-25,0.154,0.115
2020-08-28,0.167,0.127
2020-08-31,0.062,0.118
2020-09-01,0.078,0.115
2020-09-03,0.004,0.106
2020-09-08,0.12,0.104
2020-09-17,0.129,0.102
2020-09-18,-0.202,0.051
2020-09-23,0.124,0.045
2020-09-24,-0.065,0.027
2020-09-29,0.171,0.04
2020-10-06,0.168,0.064
2020-10-07,0.051,0.054
2020-10-08,0.15,0.057
2020-10-09,0.13,0.104
2020-10-12,0.098,0.1
2020-10-14,0.12,0.127
2020-10-23,0.037,0.108
2020-10-26,0.098,0.098
2020-11-02,0.11,0.106
2020-11-09,0.1,0.099
2020-11-10,-0.022,0.077
2020-11-18,0.156,0.086
2020-11-30,0.062,0.077
2020-12-02,0.062,0.081
2020-12-04,0.102,0.081
2020-12-07,0.068,0.075
2020-12-09,0.006,0.062
2020-12-11,0.058,0.073
2020-12-15,0.128,0.069
2020-12-16,0.205,0.09
2020-12-18,0.04,0.087
2020-12-22,0.103,0.087
2020-12-24,0.139,0.097
2020-12-29,0.019,0.099
2021-01-04,0.109,0.106
2021-01-08,0.348,0.138
2021-01-12,0.096,0.122
2021-01-13,-0.034,0.111
2021-01-15,0.111,0.113
2021-01-16,-0.003,0.092
2021-01-21,0.065,0.099
2021-01-27,0.109,0.099
2021-01-29,0.009,0.05
2021-01-30,-0.018,0.034
2021-02-01,0.089,0.052
2021-02-02,0.114,0.052
2021-02-03,0.089,0.065
2021-02-04,0.088,0.069
2021-02-05,0.116,0.07
2021-02-06,0.0,0.068
2021-02-09,0.073,0.081
2021-02-10,-0.055,0.061
2021-02-11,0.045,0.051
2021-02-12,0.058,0.046
2021-02-13,0.0,0.034
2021-02-17,0.352,0.068
2021-02-18,0.063,0.077
2021-02-19,0.138,0.086
2021-02-21,0.064,0.103
2021-02-22,0.098,0.11
2021-02-23,0.09,0.115
2021-02-24,0.098,0.129
2021-02-25,0.094,0.092
2021-02-26,0.116,0.1
2021-02-28,0.036,0.085
2021-03-01,0.036,0.081
2021-03-02,0.032,0.072
2021-03-03,0.174,0.084
2021-03-04,0.168,0.094
2021-03-05,0.021,0.083
2021-03-06,0.086,0.079
2021-03-07,0.067,0.083
2021-03-08,0.068,0.088
2021-03-09,0.071,0.094
2021-03-10,0.027,0.073
2021-03-11,0.056,0.057
2021-03-12,-0.022,0.05
2021-03-13,0.088,0.051
2021-03-14,0.047,0.048
2021-03-15,0.047,0.045
2021-03-16,0.129,0.053
2021-03-17,0.06,0.058
2021-03-18,0.1,0.064
2021-03-19,0.065,0.077
2021-03-20,0.031,0.068
2021-03-21,0.06,0.07
2021-03-22,0.13,0.082
2021-03-23,0.064,0.073
2021-03-24,0.064,0.073
2021-03-25,0.087,0.072
2021-03-26,0.002,0.063
2021-03-27,0.056,0.066
2021-03-29,0.081,0.069
2021-03-30,-0.044,0.044
2021-03-31,0.087,0.048
2021-04-01,0.099,0.053
2021-04-02,0.074,0.051
2021-04-03,-0.189,0.023
2021-04-06,0.083,0.027
2021-04-07,-0.006,0.015
2021-04-08,0.082,0.033
2021-04-09,0.034,0.025
2021-04-10,0.116,0.028
2021-04-12,0.086,0.029
2021-04-13,0.069,0.066
2021-04-14,0.13,0.073
2021-04-15,0.128,0.092
2021-04-16,0.066,0.09
2021-04-17,0.0,0.085
2021-04-18,0.095,0.082
2021-04-19,0.066,0.079
2021-04-20,0.073,0.08
2021-04-21,0.053,0.069
2021-04-22,0.054,0.058
2021-04-23,-0.002,0.048
2021-04-24,-0.035,0.043
2021-04-25,0.065,0.039
2021-04-26,0.07,0.04
2021-04-27,-0.046,0.023
2021-04-28,0.25,0.051
2021-04-29,-0.079,0.032
2021-04-30,0.044,0.038
2021-05-01,0.089,0.056
2021-05-02,0.035,0.052
2021-05-03,0.054,0.05
2021-05-04,0.012,0.058
2021-05-05,0.146,0.043
2021-05-06,0.03,0.059
2021-05-07,0.088,0.065
2021-05-10,0.162,0.075
2021-05-11,0.134,0.089
2021-05-12,0.124,0.099
2021-05-13,0.032,0.102
2021-05-14,-0.012,0.08
2021-05-15,0.073,0.086
2021-05-16,0.412,0.132
2021-05-17,-0.021,0.106
2021-05-18,-0.017,0.084
2021-05-19,0.018,0.069
2021-05-20,0.012,0.066
2021-05-21,0.102,0.083
2021-05-22,0.0,0.072
2021-05-25,0.115,0.03
2021-05-26,0.0,0.033
2021-05-27,0.148,0.056
2021-05-28,0.096,0.068
2021-05-29,0.078,0.077
2021-05-30,0.101,0.077
2021-05-31,0.118,0.094
2021-06-01,0.052,0.085
2021-06-02,0.091,0.098
2021-06-03,0.011,0.078
2021-06-04,0.009,0.066
2021-06-05,0.238,0.089
2021-06-06,0.008,0.075
2021-06-07,0.085,0.071
2021-06-08,0.071,0.073
2021-06-09,0.091,0.073
2021-06-10,0.036,0.077
2021-06-11,0.094,0.089
2021-06-12,0.031,0.059
2021-06-13,0.094,0.072
2021-06-14,0.098,0.074
2021-06-15,0.112,0.079
2021-06-16,0.118,0.083
2021-06-17,0.103,0.093
2021-06-18,0.039,0.085
2021-06-19,0.165,0.104
2021-06-20,0.115,0.107
2021-06-21,0.095,0.107
2021-06-22,0.17,0.115
2021-06-23,0.09,0.111
2021-06-24,0.054,0.104
2021-06-25,0.104,0.113
2021-06-26,0.031,0.094
2021-06-28,0.14,0.098
2021-06-29,0.086,0.096
2021-06-30,0.118,0.089
2021-07-01,0.175,0.101
2021-07-02,0.031,0.098
2021-07-06,0.107,0.098
2021-07-07,0.11,0.11
2021-07-08,-0.004,0.089
2021-07-09,0.126,0.095
2021-07-10,0.233,0.111
2021-07-11,0.049,0.093
2021-07-12,0.083,0.101
2021-07-13,0.112,0.101
2021-07-14,0.134,0.105
2021-07-15,0.092,0.118
2021-07-19,0.063,0.109
2021-07-20,0.115,0.093
2021-07-21,0.036,0.091
2021-07-22,0.041,0.085
2021-07-23,0.134,0.088
2021-07-24,-0.076,0.058
2021-07-25,0.02,0.048
2021-07-26,0.138,0.058
2021-07-27,0.082,0.054
2021-07-28,0.065,0.058
2021-07-29,0.073,0.062
2021-07-30,0.117,0.06
