Date,Close,Volume,Open,High,Low,Average Score,7 MA
2015-09-03,142.0694,3595764,141.3628,143.2793,141.0918,0.994,0.994
2015-09-07,#N/A,#N/A,#N/A,#N/A,#N/A,0.992,0.994
2015-09-08,142.5049,3919644,141.1789,142.6114,140.9853,0.988,0.993
2015-09-09,140.3949,3399297,143.9665,144.2568,140.2013,0.989,0.993
2015-09-11,142.6404,3113803,141.2273,142.7663,140.995,0.995,0.993
2015-09-15,142.7953,2713661,141.8952,143.1825,141.0821,0.997,0.993
2015-10-06,144.0052,3011246,144.2762,145.3312,143.7245,0.991,0.992
2015-11-10,131.1223,4448658,131.0159,131.3788,129.8157,0.989,0.992
2015-11-19,132.3516,4753303,131.8386,133.3151,131.645,0.995,0.992
2015-11-23,134.0164,5137820,134.0841,134.4132,132.7194,0.998,0.993
2015-12-15,133.3679,4234341,132.9904,134.51,132.8743,0.994,0.994
2015-12-16,134.8198,4342627,134.6552,135.1682,133.3679,0.997,0.994
2015-12-17,132.3613,4088762,134.8778,135.023,131.933,0.996,0.994
2015-12-29,135.294,3943676,133.8131,135.565,133.7647,0.972,0.992
2016-02-16,118.8009,4061016,117.9201,119.1397,117.4458,0.997,0.993
2016-02-29,126.8248,4427070,127.7637,129.0801,126.699,0.997,0.993
2016-03-14,138.1977,4047564,137.4525,138.5946,136.5136,0.999,0.993
2016-04-05,145.186,3336922,146.5701,146.7347,144.8473,0.987,0.992
2016-04-07,143.4922,3662508,144.2859,144.7989,143.2502,0.996,0.992
2016-04-12,144.8279,3592828,144.8086,145.2925,143.8116,0.998,0.992
2016-04-14,146.3088,3176285,146.6379,147.8575,145.5538,0.999,0.996
2016-05-10,145.157,3992259,143.4825,145.2248,142.9986,0.992,0.995
2016-05-25,146.8218,4355296,144.1504,147.209,143.7343,0.094,0.866
2016-05-31,148.806,5836207,147.6639,148.8738,147.3832,0.997,0.866
2016-06-14,146.212,2864498,146.425,146.9186,145.5732,0.994,0.867
2016-08-15,156.6848,2967957,157.1881,157.7398,156.588,0.982,0.865
2016-11-15,153.5778,3475578,153.3358,154.0424,152.4937,0.994,0.865
2017-02-01,168.6965,2795443,169.3837,170.0637,167.3414,0.996,0.864
2017-02-07,172.7327,3859161,170.3516,172.8875,170.2548,0.999,0.865
2017-02-14,174.3491,2775296,172.8391,174.3491,172.6262,0.996,0.994
2017-05-23,147.1509,2564503,147.6736,148.7479,147.0444,0.989,0.993
2017-06-08,147.2186,3693150,146.1539,147.9155,146.0765,0.997,0.993
2017-08-28,137.9364,5131244,139.4851,139.9206,137.8203,0.991,0.995
2017-09-12,141.0821,5239033,140.453,141.6725,139.8722,0.999,0.995
2017-10-03,142.0694,2302599,141.9823,142.4758,141.6435,0.996,0.995
2017-10-18,154.4102,30473410,152.0775,156.0556,151.913,0.998,0.995
2017-11-27,147.1025,3304050,147.1799,147.5961,146.754,0.995,0.995
2018-01-30,158.3689,4901284,160.8758,161.4178,157.9189,0.995,0.996
2018-02-01,157.1881,4431977,157.9527,158.8626,156.7041,0.996,0.996
2018-03-16,155.1168,9206814,154.9232,156.7816,154.5167,0.991,0.996
2018-03-19,152.3002,5454834,154.5844,154.7585,151.429,0.998,0.996
2018-04-04,149.1738,4801403,143.1438,149.5126,142.7179,0.998,0.996
2018-04-17,155.7459,10030300,153.723,156.8009,153.4229,0.995,0.995
2018-06-14,140.5401,3278242,141.9435,142.263,140.4336,0.998,0.996
2018-06-22,136.7459,5978837,137.0943,137.2589,136.2619,0.997,0.996
2018-06-28,135.5457,4523146,133.6679,136.0296,133.5179,0.991,0.995
2018-10-01,148.0898,3737903,146.8412,148.4963,146.8412,0.961,0.991
2018-10-22,125.8473,5629672,125.4214,126.2517,124.2792,0.995,0.991
2018-10-29,115.8004,20130510,115.51,119.9721,114.5034,0.678,0.945
2018-10-30,111.6965,21412910,116.6134,117.6007,111.4545,0.995,0.945
