Date,Close/Last,Volume,Open,High,Low
28/04/2025,121,2069756,121.41,122.4999,118.062
25/04/2025,121,2596726,117.886,121.09,117.83
24/04/2025,118.87,2607345,112.9,119.66,112.9
23/04/2025,112.8,3592236,113.18,118,112.12
22/04/2025,106.81,2483315,104.2,107.43,103
21/04/2025,102.11,2377448,105.66,106.44,100.25
17/04/2025,107.9,1932013,110.8,110.9,106.8
16/04/2025,109.55,4085378,109.025,113.66,107.68
15/04/2025,109.14,2015075,107.17,110.2896,106.18
14/04/2025,107.12,2540135,110,111.69,106.1
11/04/2025,106.25,3133410,105.565,107.27,102.835
10/04/2025,105.5,3855966,108.29,108.9804,102.1
09/04/2025,112.56,7228606,97.235,115.42,96.41
08/04/2025,97.45,5387235,103.59,105.265,95.79
07/04/2025,98.36,6550047,90.975,103.39,89.42
04/04/2025,97.08,6614971,101.25,102.5,94.16
03/04/2025,107.39,4932136,112.6,113.22,105.3041
02/04/2025,119.55,4236281,112.575,120.325,112.5
01/04/2025,115.66,3443103,114.165,115.73,111.34
31/03/2025,112.69,4112709,110.25,112.9016,106.1
28/03/2025,114.92,3142893,117.3,117.8427,112.4
27/03/2025,118.57,2273135,119,121.1,115.8075
26/03/2025,121.15,2563099,127.53,127.702,120.4
25/03/2025,127.5,6072380,131.79,132.41,126.06
24/03/2025,123.93,3111462,122.63,124.958,121.15
21/03/2025,119.22,4325279,116.3,119.57,115.1141
20/03/2025,117.94,2476670,117.63,120.56,116.6801
19/03/2025,117.58,2976709,115.76,119.18,113.92
18/03/2025,115.12,2447208,115.48,116.16,111.9101
17/03/2025,116.02,2793543,115.67,118.05,115.29
14/03/2025,116.15,3266854,115.39,117.79,114.5
13/03/2025,113.7,4525133,115.49,116.6,111.02
12/03/2025,119.4,6783538,124.97,126,116
11/03/2025,120.07,5899670,116.585,123.36,116.51
10/03/2025,116.61,6514767,122.925,122.925,113.83
07/03/2025,126.75,5757304,129.93,132.36,121.025
06/03/2025,131.02,4493176,140.14,141.8999,129.72
05/03/2025,143.75,2629079,140.06,143.965,137.2401
04/03/2025,140.93,5066419,135.25,144.28,132.81
03/03/2025,142.91,4735075,145.95,149.1599,141.72
28/02/2025,145.3,4614383,140,145.71,137.94
27/02/2025,140.72,2901851,148,150.69,140.65
26/02/2025,144.92,2993767,145.27,146.88,144.05
25/02/2025,143.14,3851243,146.7,147.6,140.22
24/02/2025,148,4364360,151.22,151.62,144.38
21/02/2025,151.96,3654517,156.82,158.0575,150.4
20/02/2025,156.38,5716450,158.25,158.26,151.8401
19/02/2025,160.59,5541711,166.31,167.6916,159.89
18/02/2025,168.81,5179398,166.445,170.3763,164.33
14/02/2025,171.16,3558538,175.5,177.3677,170.92
13/02/2025,176.5,2796800,173.92,176.51,171.76
12/02/2025,172.83,3207450,171.69,173.2499,169.17
