Date,Open,High,Low,Close/Last,Volume
29/04/2020,148.99,151.2934,147.89,149.56,1640846
30/04/2020,149.15,153.65,148.31,151.3,1590596
01/05/2020,148.69,151.15,147.24,148.84,919404
04/05/2020,148.31,154.9,148.31,154.69,943752
05/05/2020,155.34,161.6849,155.04,158.73,1278956
06/05/2020,160.2,166.3499,159.5,164.43,1146215
07/05/2020,165.81,171.64,165.51,170.29,1626288
08/05/2020,171,175.7,167.6,169.38,1926195
11/05/2020,169.45,176.39,168.725,174.33,1599412
12/05/2020,175,178.59,170.27,173.65,1631431
13/05/2020,175.19,180.99,171.11,177.36,2046751
14/05/2020,175.07,179.89,173.43,177.32,1544256
15/05/2020,177.16,183.19,176.25,181.6,1367239
18/05/2020,183.64,185.91,178.5,179.43,1588120
19/05/2020,179.43,183.96,178.81,180.78,1015370
20/05/2020,184.19,188.45,183.385,187.7,2262215
21/05/2020,189.75,191.42,184.2,187.74,1235488
22/05/2020,188,192.95,187.27,192.49,1294665
26/05/2020,196.57,196.9,183.67,184.17,2399893
27/05/2020,180,180.2883,166.65,179.42,3049146
28/05/2020,177.94,190.13,177.56,183.92,3321011
29/05/2020,184.32,196.79,184,195.58,4874337
01/06/2020,195.56,205.71,193.2957,204.78,2552056
02/06/2020,204,204.335,195.52,199.73,2323620
03/06/2020,200,201.33,193.15,195.21,1631655
04/06/2020,194.82,197.6999,184.6,186.29,2400652
05/06/2020,184.25,186.29,177.2264,180.6,2354549
08/06/2020,180.2,185.5599,177.38,185.13,1862510
09/06/2020,187.01,187.99,179.86,180.07,2994093
10/06/2020,179.1,182.73,173.06,181.45,4707326
11/06/2020,179.77,186.49,177,178.87,3226525
12/06/2020,182.61,184.39,175.842,179.24,1759119
15/06/2020,180.6,188,179.75,187.45,2640800
16/06/2020,189.41,189.595,181.4,188.1,2415074
17/06/2020,190.52,194.52,188.6475,194.32,2039080
18/06/2020,195,200.48,194.49,196.31,2128082
19/06/2020,198.8,201.1,196.0885,198.19,2827594
22/06/2020,199.65,201.94,196.17,199.19,1860883
23/06/2020,200.25,201.31,194.0266,195.62,1906718
24/06/2020,195.62,199.385,192.71,195.82,1742759
25/06/2020,196,204.23,190.65,204.22,2697303
26/06/2020,203.38,206.089,197.34,203.49,3428972
29/06/2020,203.4,203.4399,192.54,199.84,1743514
30/06/2020,195,202.5751,193.06,200.23,1712230
01/07/2020,199.02,212.015,196.59,210.92,2489242
02/07/2020,210.42,211.88,204.8,207.76,2061524
06/07/2020,211.01,213.19,203.84,207.26,2296989
07/07/2020,206.49,211.34,204.94,207.34,1724193
08/07/2020,209.74,219.99,209.51,219.78,2380073
09/07/2020,221.8,224.9,216.2258,222.95,1791960
10/07/2020,222.13,222.344,216.93,218.73,1184129
13/07/2020,221.335,221.5,199.2,200.09,3601562
14/07/2020,197.35,207.53,193.71,206.75,3047461
15/07/2020,205.89,205.89,198.65,204.05,2396246
16/07/2020,202.32,203.86,197.58,202.52,1416249
17/07/2020,204.27,207.77,200.355,207.38,1198321
20/07/2020,207.66,213.91,204.0401,213.24,1938202
21/07/2020,215,215.5,209.3,211.31,1177858
22/07/2020,212.75,216.03,208.79,210.82,752813
23/07/2020,212.21,218.45,204.8,206.77,1168301
24/07/2020,202.57,208.95,199.102,205.64,920584
27/07/2020,208.74,211,203.82,206,962224
28/07/2020,206.32,208,203.445,205.06,743220
29/07/2020,209.16,213.41,207.39,210.88,898738
30/07/2020,210.51,222.27,209.56,219.32,1662731
31/07/2020,222,222.5899,214.44,220.98,1049793
03/08/2020,221.69,223.77,217.5,222.32,1236205
04/08/2020,220.19,221.6,216.14,219.39,1033321
05/08/2020,220,226.89,217.88,223.56,1277677
06/08/2020,223.43,223.6,213.295,217.31,1007104
07/08/2020,213.45,214.29,203.61,208.23,1736537
10/08/2020,207.36,207.98,196.03,199.66,2292105
11/08/2020,198.6,203.34,193.71,196.18,1462231
12/08/2020,197.52,201.94,194.01,198.82,1147366
13/08/2020,200.17,205.1,200.17,202.83,1067517
14/08/2020,205,205,197.87,198.86,1138894
17/08/2020,200.1,202.2,195.28,199.73,1808046
18/08/2020,201.48,205.87,201.38,205.68,1267958
19/08/2020,208,209.98,202.31,205.29,974163
20/08/2020,205.29,212.9,204.51,211.03,1014305
21/08/2020,212.13,213.5,206.12,208.39,1052250
24/08/2020,211.24,211.5,202,205.12,965132
25/08/2020,205.45,209.66,203.375,209.53,939616
26/08/2020,216,226.08,215.5,224.14,2072877
27/08/2020,223.3,225,218,218.44,2760699
28/08/2020,212.32,217.42,207.1701,207.98,3951987
31/08/2020,210.1,215.75,209.54,215.37,1866287
01/09/2020,217.48,228.58,217.0367,224.5,2581357
02/09/2020,228.862,231.29,221,230.6,2485720
03/09/2020,223.254,226.43,207.21,208.78,4145462
04/09/2020,207.94,209.9499,191.91,203.44,2315598
08/09/2020,193.773,203.83,193.51,197.13,1307876
09/09/2020,201.28,203.32,195.9238,200.49,1315810
10/09/2020,202.51,206.5771,196.535,198.48,1116232
11/09/2020,200.84,201.19,192.36,193.66,1251440
14/09/2020,196.68,196.98,192.9152,194.69,1031460
15/09/2020,197.05,198.69,192.0024,193.42,1052674
16/09/2020,194.27,196.9,191.265,193.16,1274620
17/09/2020,187.49,195.23,185.0476,194.9,1583934
18/09/2020,195.14,199.97,193.03,197.65,1958849
21/09/2020,195.66,206.7499,195,206.47,1226887
22/09/2020,207.68,212.16,202.67,211.86,1332415
23/09/2020,210.8,214.24,206.87,207.72,892308
24/09/2020,205,205.99,199.68,204.53,783589
25/09/2020,208.23,218.1457,208,216.2,1676833
28/09/2020,216,216.45,209.55,213.33,916850
