Date,Open,High,Low,Close,Volume
29/04/2020,119.185,122.86,116.65,119.52,8984944
30/04/2020,119.165,124.5,118.6993,121.23,8027682
01/05/2020,119.55,122,111.3601,114.02,9717854
04/05/2020,113.46,124.33,112.69,124.3,14551630
05/05/2020,126.3,126.77,121.77,123.49,9657805
06/05/2020,123.54,128.95,122.51,127.52,10567090
07/05/2020,131.2,138.79,130.28,137.5,22127780
08/05/2020,125.57,133.67,124.345,126.66,29648140
11/05/2020,125.02,132.88,124.6,132.18,14463850
12/05/2020,132.69,134.98,126.6801,127.16,11524270
13/05/2020,128.28,128.55,114.6,117.56,18672260
14/05/2020,117.5,120.7,115.06,116.6,12161100
15/05/2020,115.82,116.79,112.48,112.93,9708498
18/05/2020,114.53,120.09,114.5169,118.45,9362843
19/05/2020,118.87,119.99,115.03,116.02,6676783
20/05/2020,118.5,119.92,114.2494,117.04,8665556
21/05/2020,116.36,116.56,112.0701,114.7,7715740
22/05/2020,111.63,114.4,107.62,108.51,11992020
26/05/2020,110.21,111.6607,107.3,107.59,8255852
27/05/2020,107.34,109.09,101.56,106.56,7960772
28/05/2020,105.63,110.84,104.88,109.2,7472425
29/05/2020,109.85,112.12,107.31,109.51,6830394
01/06/2020,109.165,114.2,108.4,112.95,6974119
02/06/2020,113.72,114.38,108.87,110.82,6356971
03/06/2020,111,111.35,103.9,103.96,13477490
04/06/2020,104,107.75,101.8,102.93,11763660
05/06/2020,103.95,104.5,100.19,104.38,10496240
08/06/2020,105.53,113.02,103.97,112.95,9120362
09/06/2020,112.44,115.17,108.6009,113.25,9760459
10/06/2020,114.49,116.28,110.22,113.8,8123735
11/06/2020,108.69,114.92,106.24,106.95,8314027
12/06/2020,108.81,110.16,105.3,108.07,7460366
15/06/2020,107.17,107.64,103.94,107.49,5940034
16/06/2020,109.81,120.85,107.7,120.81,17193430
17/06/2020,119.48,123.1,115.78,117.32,14462360
18/06/2020,117.75,129.19,117.73,127.79,19343500
19/06/2020,128.17,132.17,124.75,128.5,18937190
22/06/2020,129.5,134.81,128.51,129.78,13285640
23/06/2020,131,132.42,127.325,127.88,8997654
24/06/2020,127.13,129.9288,120.42,123.35,8242087
25/06/2020,123,125,120.57,123.6,4810116
26/06/2020,124.82,126.55,120.26,122.55,7984056
29/06/2020,122.4,123.2092,112.11,115.05,12073780
30/06/2020,115.1,117.87,113.88,116.53,5845926
01/07/2020,117.3,129.44,116.35,128.39,15001830
02/07/2020,128.47,132.5,125.195,128.65,12158070
06/07/2020,130.86,135.97,128.66,132.03,10413880
07/07/2020,131.69,135.81,129.4,130.42,7458937
08/07/2020,131.88,135.14,130.7001,133.76,6408142
09/07/2020,136.5,149.98,136.28,149.69,25309440
10/07/2020,147.82,159.88,147.26,153.05,24628170
13/07/2020,158.99,166.1836,147.42,149.06,18541460
14/07/2020,149.51,156.364,142.1472,150.36,12712260
15/07/2020,150.98,155.88,147.59,154.21,9203160
16/07/2020,152.72,157.28,149.48,153.31,8910187
17/07/2020,150.99,153.71,147.95,148.36,6527409
20/07/2020,148.78,151.63,146.58,150.46,6177844
21/07/2020,152.78,159.06,150.22,153.36,9381667
22/07/2020,153.53,156,150.82,152.17,3576100
23/07/2020,152.22,158.47,148.04,150.16,7138757
24/07/2020,147.244,153.1,145.17,151.17,4891509
27/07/2020,153.34,156.58,151.55,155.97,5140619
28/07/2020,154.39,155.95,148.5,148.75,5496831
29/07/2020,150,154.42,149.2001,151.57,4599213
30/07/2020,150.16,154.02,149.24,150.35,3458186
31/07/2020,153.61,158.27,151.1203,154.89,8087277
03/08/2020,158.36,163.42,156.62,161.82,8886606
04/08/2020,164.23,168.15,163.305,166.44,8704308
05/08/2020,164.85,169.14,163.75,165.42,12796110
06/08/2020,159.57,160.5,150.0503,153.87,19647040
07/08/2020,154.45,164.73,153.39,156.39,15904120
10/08/2020,157.42,157.79,147.5558,150.41,6280343
11/08/2020,149.28,152.25,143.21,146.41,5630840
12/08/2020,151.45,153.85,146.66,146.98,10277180
13/08/2020,148.619,152.005,146.81,149.97,5544661
14/08/2020,150.85,152.5,146.2,146.85,3854973
17/08/2020,147.77,148.27,143.36,145.71,4907425
18/08/2020,147.3,152.19,146.51,149.85,5945820
19/08/2020,149,150.8899,146.1727,147.37,4333671
20/08/2020,147.31,151.89,146.42,148.89,4492910
21/08/2020,148.95,150.5608,146.6,147.13,3544280
24/08/2020,149.5,149.7,145.6,148.58,4350896
25/08/2020,148,148.715,145.86,147.77,3577572
26/08/2020,151.61,167.17,151.1301,164.28,17714780
27/08/2020,162.59,166.15,157.86,160.97,7424980
28/08/2020,162,177.54,161.5,172.85,26709830
31/08/2020,172.51,175.5101,168.06,173.48,10227090
01/09/2020,176.997,185.44,176.63,179.27,10575670
02/09/2020,183.76,183.76,171.03,178.32,8279562
03/09/2020,172.18,176.48,165.08,166.9,8175479
04/09/2020,165,167.42,150.38,159.91,7218555
08/09/2020,155.084,170.44,155,162.63,11271260
09/09/2020,166.07,166.8,159.08,161.18,6125401
10/09/2020,162.24,168.6,158.9326,159.44,5310831
11/09/2020,160.753,161.5,152.62,155.46,5037086
14/09/2020,157.06,160.2,155.4,157.73,5009864
15/09/2020,162.715,170.4399,161.77,168.52,10223590
16/09/2020,168,174.19,167.71,169.99,8092496
17/09/2020,165.86,168.1323,161.3601,164.67,6320792
18/09/2020,165.232,165.78,157.54,160.47,9286668
21/09/2020,166.05,189.8,163.5401,188.82,35514980
22/09/2020,187.38,195.36,182.5,193.79,20693160
23/09/2020,193.49,200.73,185,187.25,18585120
24/09/2020,183.57,184.97,177.68,178.27,10836110
25/09/2020,182.6674,186.9588,176.6303,182.43,8288036
28/09/2020,185,189.01,181.66,186.29,5653581
29/09/2020,186.2,190.34,183.22,187.87,6243442
30/09/2020,187.89,193.55,185.856,188.8,6795956
01/10/2020,192.83,200.47,192.7,200.34,9732140
02/10/2020,195.37,203.56,194.8,200,7415315
05/10/2020,201.39,204.94,197.9501,204.16,5171513
06/10/2020,203.76,208.96,202.66,204.83,5504880
07/10/2020,207.95,214.26,207.5,212.55,5165809
08/10/2020,221.96,228.33,219.33,223.84,12767710
09/10/2020,226.05,226.83,221.63,223.95,7254511
12/10/2020,226.203,227,221.35,221.68,5775833
13/10/2020,221.1,239.1399,219.02,238.575,8305730
14/10/2020,237.35,238.33,228.79,233.05,6624592
15/10/2020,225,230.0664,223.65,226.47,4741012
16/10/2020,227.66,231.4399,222.19,222.32,4021691
19/10/2020,223.71,228.6199,220.18,222.14,4396241
20/10/2020,223.63,224.98,217.23,218.4,3742486
21/10/2020,218,227.49,216.2701,222.78,5073563
22/10/2020,223.49,229.45,218.9,222.36,3500152
23/10/2020,223.3,224.88,218.5,223.96,2170843
26/10/2020,223.63,229.55,216.74,218.42,3136753
27/10/2020,219.74,226.5,217.18,225.07,2773391
28/10/2020,222,224.96,215.64,217.4,2172579
29/10/2020,219.8,221.58,214.631,217.93,2383402
30/10/2020,217.1,218.1299,200.45,202.4,4607977
02/11/2020,205.66,212.8,203.71,206.88,3512040
03/11/2020,208.55,209.3099,196.52,203.49,6691535
04/11/2020,208.13,215.72,205.04,215.68,3584230
05/11/2020,221.975,226.59,217.1201,225.06,7754541
06/11/2020,235.99,255.66,228.89,253.36,16526940
09/11/2020,231.559,240.88,220.88,221.91,11659330
10/11/2020,227.84,228.2,207.5,216.98,7618350
11/11/2020,220.01,232.0798,217.69,231.43,7432963
12/11/2020,231.24,236.65,227.61,230.9,5072354
13/11/2020,232.59,236.44,225,228.1,4185375
16/11/2020,222.2,232.89,220.6,232.7,2971567
17/11/2020,233,242.46,232.2,237.13,5169420
18/11/2020,235.88,239.1894,231.5,231.99,2751930
19/11/2020,236.16,257.49,235.6001,255.67,12021960
20/11/2020,257.09,265.97,254.79,263.14,6669636
