Date,Title,Sentiment,Source
06/07/2015,1,0.822,eodhd.com
08/07/2015,2,0.999,eodhd.com
16/07/2015,1,0.999,eodhd.com
20/07/2015,1,0.999,eodhd.com
21/07/2015,1,0.96,eodhd.com
24/08/2015,1,0.996,eodhd.com
27/08/2015,1,0.995,eodhd.com
31/08/2015,1,0.996,eodhd.com
03/09/2015,1,0.998,eodhd.com
08/09/2015,1,0.996,eodhd.com
09/09/2015,1,0.997,eodhd.com
16/09/2015,2,0.9975,eodhd.com
17/09/2015,2,0.9975,eodhd.com
29/09/2015,4,0.9973,eodhd.com
01/10/2015,1,0.997,eodhd.com
05/10/2015,2,0.9965,eodhd.com
08/10/2015,1,0.979,eodhd.com
15/10/2015,2,0.999,eodhd.com
20/10/2015,1,0.965,eodhd.com
21/10/2015,1,1,eodhd.com
11/11/2015,1,0.997,eodhd.com
12/11/2015,1,0.968,eodhd.com
16/11/2015,1,0.998,eodhd.com
24/11/2015,1,0.984,eodhd.com
30/11/2015,1,0.991,eodhd.com
01/12/2015,2,0.9965,eodhd.com
09/12/2015,2,0.9965,eodhd.com
04/01/2016,1,0.989,eodhd.com
12/01/2016,2,0.9855,eodhd.com
14/01/2016,1,0.999,eodhd.com
19/01/2016,1,0.998,eodhd.com
20/01/2016,1,0.998,eodhd.com
01/02/2016,1,1,eodhd.com
02/02/2016,1,0.999,eodhd.com
10/02/2016,1,0.998,eodhd.com
11/02/2016,1,0.96,eodhd.com
17/02/2016,1,0.996,eodhd.com
23/02/2016,1,0.999,eodhd.com
01/03/2016,1,0.998,eodhd.com
02/03/2016,1,0.998,eodhd.com
07/03/2016,1,0.974,eodhd.com
10/03/2016,1,0.999,eodhd.com
14/03/2016,1,0.999,eodhd.com
15/03/2016,2,0.9975,eodhd.com
23/03/2016,1,0.998,eodhd.com
29/03/2016,1,0.999,eodhd.com
31/03/2016,1,0.999,eodhd.com
05/04/2016,1,0.993,eodhd.com
07/04/2016,1,0.979,eodhd.com
12/04/2016,1,0.98,eodhd.com
14/04/2016,1,0.998,eodhd.com
21/04/2016,1,0.999,eodhd.com
29/04/2016,1,0.988,eodhd.com
11/05/2016,1,0.963,eodhd.com
12/05/2016,1,0.989,eodhd.com
19/05/2016,1,0.974,eodhd.com
25/05/2016,1,0.999,eodhd.com
01/06/2016,3,0.9963,eodhd.com
13/06/2016,1,0.996,eodhd.com
14/06/2016,1,0.995,eodhd.com
21/06/2016,1,0.999,eodhd.com
29/06/2016,2,0.9905,eodhd.com
07/07/2016,1,0.979,eodhd.com
13/07/2016,2,0.992,eodhd.com
21/07/2016,1,0.999,eodhd.com
25/07/2016,1,0.993,eodhd.com
26/07/2016,3,0.997,eodhd.com
04/08/2016,1,0.998,eodhd.com
08/08/2016,1,0.999,eodhd.com
12/08/2016,1,0.995,eodhd.com
18/08/2016,1,0.993,eodhd.com
29/08/2016,1,0.997,eodhd.com
31/08/2016,1,0.993,eodhd.com
05/09/2016,1,0.997,eodhd.com
06/09/2016,1,0.998,eodhd.com
07/09/2016,2,0.9795,eodhd.com
09/09/2016,1,0.999,eodhd.com
10/09/2016,1,0.998,eodhd.com
13/09/2016,1,0.996,eodhd.com
23/09/2016,1,0.999,eodhd.com
27/09/2016,2,0.9985,eodhd.com
03/10/2016,1,0.999,eodhd.com
