Date,Title,Sentiment,Source
07/07/2015,1,0.998,eodhd.com
23/07/2015,1,0.153,eodhd.com
31/07/2015,1,0.831,eodhd.com
06/08/2015,1,0.999,eodhd.com
07/08/2015,1,0.984,eodhd.com
28/08/2015,1,0.802,eodhd.com
30/08/2015,1,0.997,eodhd.com
16/09/2015,1,0.996,eodhd.com
29/09/2015,1,0.973,eodhd.com
22/10/2015,1,0.153,eodhd.com
05/11/2015,1,0.995,eodhd.com
10/11/2015,2,0.9975,eodhd.com
11/11/2015,1,0.869,eodhd.com
16/11/2015,1,0.979,eodhd.com
19/11/2015,1,0.995,eodhd.com
10/12/2015,1,0.992,eodhd.com
23/12/2015,1,0.934,eodhd.com
31/12/2015,1,0.929,eodhd.com
04/01/2016,1,0.998,eodhd.com
05/01/2016,2,0.9905,eodhd.com
27/01/2016,1,0.818,eodhd.com
17/02/2016,1,0.998,eodhd.com
18/02/2016,1,0.955,eodhd.com
14/03/2016,1,0.966,eodhd.com
15/03/2016,1,0.934,eodhd.com
16/03/2016,1,0.982,eodhd.com
30/03/2016,1,0.934,eodhd.com
31/03/2016,1,0.957,eodhd.com
05/04/2016,4,0.992,eodhd.com
06/04/2016,1,0.963,eodhd.com
28/04/2016,1,0.746,eodhd.com
02/05/2016,1,0.951,eodhd.com
07/05/2016,1,0.998,eodhd.com
12/05/2016,1,0.996,eodhd.com
13/05/2016,1,0.918,eodhd.com
18/05/2016,1,0.993,eodhd.com
31/05/2016,1,0.994,eodhd.com
08/06/2016,1,0.999,eodhd.com
20/06/2016,1,0.993,eodhd.com
21/06/2016,1,0.97,eodhd.com
07/07/2016,1,0.992,eodhd.com
28/07/2016,1,0.884,eodhd.com
11/08/2016,1,0.998,eodhd.com
16/08/2016,1,0.995,eodhd.com
31/08/2016,1,0.918,eodhd.com
13/09/2016,2,0.9835,eodhd.com
14/09/2016,1,0.972,eodhd.com
28/09/2016,1,0.987,eodhd.com
05/10/2016,1,0.993,eodhd.com
27/10/2016,1,0.884,eodhd.com
10/11/2016,1,0.997,eodhd.com
15/11/2016,2,0.001,eodhd.com
16/11/2016,1,0.908,eodhd.com
04/01/2017,1,0.942,eodhd.com
05/01/2017,6,0.9845,eodhd.com
18/01/2017,1,0.969,eodhd.com
26/01/2017,1,0.66,eodhd.com
27/01/2017,1,0.66,eodhd.com
05/02/2017,1,0.996,eodhd.com
09/02/2017,1,0.994,eodhd.com
10/02/2017,1,0.884,eodhd.com
08/03/2017,2,0.99,eodhd.com
15/03/2017,1,0.982,eodhd.com
24/03/2017,1,0.987,eodhd.com
03/04/2017,1,0.97,eodhd.com
05/04/2017,1,0.802,eodhd.com
17/04/2017,1,0.977,eodhd.com
08/05/2017,1,0.994,eodhd.com
09/05/2017,2,0.9875,eodhd.com
10/05/2017,6,0.9755,eodhd.com
15/05/2017,1,0.875,eodhd.com
29/05/2017,1,0.997,eodhd.com
30/05/2017,2,0.992,eodhd.com
13/06/2017,1,0.994,eodhd.com
19/06/2017,1,0.997,eodhd.com
27/06/2017,2,0.9885,eodhd.com
05/07/2017,1,0.99,eodhd.com
27/07/2017,1,0.66,eodhd.com
31/07/2017,2,0.9865,eodhd.com
10/08/2017,1,0.997,eodhd.com
17/08/2017,1,0.995,eodhd.com
21/08/2017,2,0.993,eodhd.com
24/08/2017,1,0.869,eodhd.com
26/09/2017,3,0.993,eodhd.com
27/09/2017,2,0.996,eodhd.com
10/10/2017,3,0.9933,eodhd.com
26/10/2017,3,0.882,eodhd.com
31/10/2017,1,0.984,eodhd.com
09/11/2017,1,0.997,eodhd.com
13/11/2017,1,0.991,eodhd.com
15/11/2017,1,0.932,eodhd.com
27/11/2017,3,0.998,eodhd.com
04/12/2017,1,0.994,eodhd.com
08/12/2017,1,0.991,eodhd.com
13/12/2017,1,0.995,eodhd.com
15/12/2017,1,0.869,eodhd.com
08/01/2018,5,0.9934,eodhd.com
10/01/2018,1,0.996,eodhd.com
25/01/2018,1,0.66,eodhd.com
30/01/2018,1,0.869,eodhd.com
31/01/2018,1,0.997,eodhd.com
05/02/2018,1,0.995,eodhd.com
08/02/2018,1,0.996,eodhd.com
01/03/2018,1,0.961,eodhd.com
13/03/2018,1,0.869,eodhd.com
19/03/2018,1,0.995,eodhd.com
27/03/2018,4,0.9908,eodhd.com
19/04/2018,1,0.66,eodhd.com
01/05/2018,1,0.869,eodhd.com
02/05/2018,1,0.802,eodhd.com
10/05/2018,1,0.998,eodhd.com
16/05/2018,1,0.998,eodhd.com
23/05/2018,1,0.869,eodhd.com
30/05/2018,1,0.999,eodhd.com
04/06/2018,2,0.9955,eodhd.com
25/06/2018,1,0.991,eodhd.com
19/07/2018,1,0.66,eodhd.com
13/08/2018,2,0.999,eodhd.com
16/08/2018,1,0.998,eodhd.com
20/08/2018,2,0.998,eodhd.com
23/08/2018,1,0.869,eodhd.com
04/09/2018,1,0.997,eodhd.com
10/09/2018,1,0.997,eodhd.com
13/09/2018,4,0.9983,eodhd.com
10/10/2018,2,0.995,eodhd.com
18/10/2018,1,0.998,eodhd.com
25/10/2018,1,0.995,eodhd.com
