Date,Title,Sentiment,Source
09/05/2025,"Peloton Interactive Posts Strong Q3 Earnings Beat; Revenues To 'Face Meaningful Headwinds,' Analysts Say - Peloton Interactive  ( NASDAQ:PTON ) ",0.4667,Alpha Vantage
08/05/2025,What's Going On With Peloton Stock Today? - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
07/05/2025,Consumer Discretionary Stocks' Earnings to Watch on May 8: PLNT & More,0.5,Alpha Vantage
05/05/2025,"Peloton Faces Subscriber, Tariff Troubles Despite Profit Push - Peloton Interactive  ( NASDAQ:PTON ) ",0.0,Alpha Vantage
28/04/2025,"Cemex Posts Q1 Results, Joins Plug Power, Sabre And Other Big Stocks Moving Higher On Monday - ADMA Biologics  ( NASDAQ:ADMA ) , Aurora Innovation  ( NASDAQ:AUR ) ",0.0417,Alpha Vantage
25/04/2025,Notice of Settlement of Shareholder Derivative Actions,0.0,Alpha Vantage
24/04/2025,"IBM, Nokia, Alaska Air Group And Other Big Stocks Moving Lower In Thursday's Pre-Market Session - Alaska Air Gr  ( NYSE:ALK ) , Acacia Research  ( NASDAQ:ACTG ) ",-0.0625,Alpha Vantage
17/04/2025,Here's Why Investors Should Retain Peloton Stock for Now,0.0,Alpha Vantage
09/04/2025,Planet Fitness Tumbles 11% in 3 Months: Buy the Dip or Fold?,0.0,Alpha Vantage
24/03/2025,Motley Fool 2025 March Market Cap Showdown Championship,0.6,Alpha Vantage
22/03/2025,"Nasdaq Sell-Off: 2 Stocks With 49% to 128% Upside, According to Select Wall Street Analysts",0.0,Alpha Vantage
14/03/2025,"This American Express Analyst Is No Longer Bearish; Here Are Top 5 Upgrades For Friday - Crown Castle  ( NYSE:CCI ) , American Express  ( NYSE:AXP ) ",0.1667,Alpha Vantage
26/02/2025,Can Peloton Stock Double by 2030?,0.0,Alpha Vantage
25/02/2025,"Peloton Interactive, Inc. Announces Participation in the Morgan Stanley Technology, Media & Telecom Conference",0.0,Alpha Vantage
25/02/2025,"Peloton Interactive, Inc. Announces Participation in the Morgan Stanley Technology, Media & Telecom Conference - Peloton Interactive  ( NASDAQ:PTON ) ",0.0,Alpha Vantage
23/02/2025,Is This Soaring Stock -- Up 207% in 6 Months -- a Once-in-a-Decade Investment Opportunity Right Now?,0.2857,Alpha Vantage
23/02/2025,Peloton Stock Has Soared 256% From Its 52-Week Low. Is It Too Late to Buy?,-0.15,Alpha Vantage
18/02/2025,2 Unstoppable Growth Stocks That Could Double by 2030,0.0,Alpha Vantage
10/02/2025,"Tesla To $474? Here Are 10 Top Analyst Forecasts For Monday - General Mills  ( NYSE:GIS ) , Ford Motor  ( NYSE:F ) ",0.275,Alpha Vantage
07/02/2025,Peloton Interactive  ( PTON )  Q2 2025 Earnings Call Transcript,0.0,Alpha Vantage
06/02/2025,"Peloton Q2 Beats On Sales, But JP Morgan Says Long-Term Growth Hinges On Subscriber Comeback - Peloton Interactive  ( NASDAQ:PTON ) ",0.0,Alpha Vantage
06/02/2025,"Philip Morris Posts Upbeat Results, Joins Coherent, ArcelorMittal, Yum! Brands And Other Big Stocks Moving Higher On Thursday - Altus Power  ( NYSE:AMPS ) , American Superconductor  ( NASDAQ:AMSC ) ",0.15,Alpha Vantage
06/02/2025,"Peloton: EPS Slips, Cash Flow Shines",0.0,Alpha Vantage
04/02/2025,Peloton to Post Q2 Earnings: What's in the Cards for the Stock?,0.0,Alpha Vantage
03/02/2025,What the Options Market Tells Us About Peloton Interactive - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
31/01/2025,How Is The Market Feeling About Peloton Interactive? - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
22/01/2025,Here's Why Investors Should Retain Peloton Stock for Now,0.0,Alpha Vantage
13/01/2025,Looking Into Peloton Interactive's Recent Short Interest - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
09/01/2025,"Guardian members with workplace benefits gain access to Peloton App, designed to inspire well-being®",0.0,Alpha Vantage
26/12/2024,"Toyota Motor, SEALSQ, KULR Technology And Other Big Stocks Moving Higher On Thursday - Exodus Movement  ( AMEX:EXOD ) ",0.0417,Alpha Vantage
25/12/2024,3 Contrarian Stock Picks That Could Surprise the Market in 2025,0.0,Alpha Vantage
21/12/2024,This Is Costco's Secret Weapon Against Inflation,-0.4,Alpha Vantage
14/12/2024,3 Facts About Peloton You Must Know Before Buying the Stock,0.0,Alpha Vantage
09/12/2024,"Peloton Interactive, Inc. Announces Participation in the UBS Global Media and Communications Conference",0.0,Alpha Vantage
06/12/2024,"The Zacks Analyst Blog Highlights Garmin, Sprouts Farmers Market, Doximity, Peloton Interactive and Planet Fitness",0.0,Alpha Vantage
05/12/2024,Buy 5 High-Flying Health & Fitness Stocks of 2024 With More Upside,0.5,Alpha Vantage
27/11/2024,How Is The Market Feeling About Peloton Interactive? - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
25/11/2024,Peloton Interactive Unusual Options Activity For November 25 - Peloton Interactive  ( NASDAQ:PTON ) ,0.2,Alpha Vantage
14/11/2024,Peloton Stock Skyrockets 159% in 3 Months: Is it Too Late to Buy?,-0.3,Alpha Vantage
14/11/2024,Greenlight's David Einhorn says the markets are broken and getting worse,-0.4,Alpha Vantage
10/11/2024,4 Reasons to Buy Costco Stock Like There's No Tomorrow,0.0,Alpha Vantage
05/11/2024,"David Einhorn Believes Peloton Is Undervalued, but His Bull Case Comes With a Big ""If""",0.0,Alpha Vantage
