Date,Title,Sentiment,Source
23/10/2024,Costco to Sell Peloton Bike+ at 300 U.S. Outlets This Holiday Season,0.0,Alpha Vantage
23/10/2024,4 Top-Performing Liquid Stocks for Robust Portfolio Returns,0.0,Alpha Vantage
23/10/2024,New Strong Buy Stocks for October 23rd,0.2848,Alpha Vantage
30/10/2024,Peloton Interactive's Options: A Look at What the Big Money is Thinking - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
31/10/2024,"Peloton Gears Up For Next Chapter: Sales Beat, Apple Alum As CEO, And Strong Margin Gains - Peloton Interactive  ( NASDAQ:PTON ) ",0.2167,Alpha Vantage
31/10/2024,"Roblox Posts Upbeat Results, Joins Paycom Software, Norwegian Cruise Line, Altria Group, Booking And Other Big Stocks Moving Higher On Thursday - Roblox  ( NYSE:RBLX ) ",0.0312,Alpha Vantage
31/10/2024,"Peloton Interactive, Inc. Reports First Quarter Fiscal 2025 Financial Results",0.125,Alpha Vantage
31/10/2024,"Peloton Interactive, Inc. Reports First Quarter Fiscal 2025 Financial Results - Peloton Interactive  ( NASDAQ:PTON ) ",0.125,Alpha Vantage
31/10/2024,Peloton Appoints Peter Stern as CEO and President,0.0,Alpha Vantage
31/10/2024,Peloton Appoints Peter Stern as CEO and President - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
01/11/2024,Now is the Time to Accumulate 5 Relative Price Strength Stocks,0.0,Alpha Vantage
04/11/2024,"Integra LifeSciences Posts Upbeat Results, Joins Air Transport Services, Freshpet, Yum China And Other Big Stocks Moving Higher On Monday - Advance Auto Parts  ( NYSE:AAP ) , XIAO-I  ( NASDAQ:AIXI ) ",0.0417,Alpha Vantage
04/11/2024,"Peloton Interactive Gets Double Upgrade, Analyst Raises Forecast By More Than 100% - Peloton Interactive  ( NASDAQ:PTON ) ",0.25,Alpha Vantage
04/11/2024,3 Stocks Positioned for Growth in a Booming Leisure Industry,0.0,Alpha Vantage
04/11/2024,"Could Peloton Be Moving Away From DEI? - Apple  ( NASDAQ:AAPL ) , Bit Digital  ( NASDAQ:BTBT ) ",0.0,Alpha Vantage
05/11/2024,"David Einhorn Believes Peloton Is Undervalued, but His Bull Case Comes With a Big ""If""",0.0,Alpha Vantage
05/11/2024,"Zacks Industry Outlook Highlights Peloton Interactive, Malibu Boats and American Outdoor Brands",0.0,Alpha Vantage
05/11/2024,Peloton Stock Has Soared 195% From Its 52-Week Low. Is It Too Late to Buy?,-0.15,Alpha Vantage
10/11/2024,4 Reasons to Buy Costco Stock Like There's No Tomorrow,0.0,Alpha Vantage
14/11/2024,Peloton Stock Skyrockets 159% in 3 Months: Is it Too Late to Buy?,-0.3,Alpha Vantage
14/11/2024,Greenlight's David Einhorn says the markets are broken and getting worse,-0.4,Alpha Vantage
25/11/2024,Peloton Interactive Unusual Options Activity For November 25 - Peloton Interactive  ( NASDAQ:PTON ) ,0.2,Alpha Vantage
27/11/2024,How Is The Market Feeling About Peloton Interactive? - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
05/12/2024,Buy 5 High-Flying Health & Fitness Stocks of 2024 With More Upside,0.5,Alpha Vantage
06/12/2024,"The Zacks Analyst Blog Highlights Garmin, Sprouts Farmers Market, Doximity, Peloton Interactive and Planet Fitness",0.0,Alpha Vantage
09/12/2024,"Peloton Interactive, Inc. Announces Participation in the UBS Global Media and Communications Conference",0.0,Alpha Vantage
14/12/2024,3 Facts About Peloton You Must Know Before Buying the Stock,0.0,Alpha Vantage
21/12/2024,This Is Costco's Secret Weapon Against Inflation,-0.4,Alpha Vantage
25/12/2024,3 Contrarian Stock Picks That Could Surprise the Market in 2025,0.0,Alpha Vantage
26/12/2024,"Toyota Motor, SEALSQ, KULR Technology And Other Big Stocks Moving Higher On Thursday - Exodus Movement  ( AMEX:EXOD ) ",0.0417,Alpha Vantage
09/01/2025,"Guardian members with workplace benefits gain access to Peloton App, designed to inspire well-being®",0.0,Alpha Vantage
13/01/2025,Looking Into Peloton Interactive's Recent Short Interest - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
22/01/2025,Here's Why Investors Should Retain Peloton Stock for Now,0.0,Alpha Vantage
31/01/2025,How Is The Market Feeling About Peloton Interactive? - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
03/02/2025,What the Options Market Tells Us About Peloton Interactive - Peloton Interactive  ( NASDAQ:PTON ) ,0.0,Alpha Vantage
04/02/2025,Peloton to Post Q2 Earnings: What's in the Cards for the Stock?,0.0,Alpha Vantage
06/02/2025,"Peloton Q2 Beats On Sales, But JP Morgan Says Long-Term Growth Hinges On Subscriber Comeback - Peloton Interactive  ( NASDAQ:PTON ) ",0.0,Alpha Vantage
06/02/2025,"Philip Morris Posts Upbeat Results, Joins Coherent, ArcelorMittal, Yum! Brands And Other Big Stocks Moving Higher On Thursday - Altus Power  ( NYSE:AMPS ) , American Superconductor  ( NASDAQ:AMSC ) ",0.15,Alpha Vantage
06/02/2025,"Peloton: EPS Slips, Cash Flow Shines",0.0,Alpha Vantage
07/02/2025,Peloton Interactive  ( PTON )  Q2 2025 Earnings Call Transcript,0.0,Alpha Vantage
10/02/2025,"Tesla To $474? Here Are 10 Top Analyst Forecasts For Monday - General Mills  ( NYSE:GIS ) , Ford Motor  ( NYSE:F ) ",0.275,Alpha Vantage
18/02/2025,2 Unstoppable Growth Stocks That Could Double by 2030,0.0,Alpha Vantage
23/02/2025,Is This Soaring Stock -- Up 207% in 6 Months -- a Once-in-a-Decade Investment Opportunity Right Now?,0.2857,Alpha Vantage
23/02/2025,Peloton Stock Has Soared 256% From Its 52-Week Low. Is It Too Late to Buy?,-0.15,Alpha Vantage
25/02/2025,"Peloton Interactive, Inc. Announces Participation in the Morgan Stanley Technology, Media & Telecom Conference",0.0,Alpha Vantage
25/02/2025,"Peloton Interactive, Inc. Announces Participation in the Morgan Stanley Technology, Media & Telecom Conference - Peloton Interactive  ( NASDAQ:PTON ) ",0.0,Alpha Vantage
26/02/2025,Can Peloton Stock Double by 2030?,0.0,Alpha Vantage
26/02/2025,"To Grow Profitably, Take It Slow",-0.3,News API
26/02/2025,Rabobank keert terug in het wielrennen als shirtsponsor van Visma-Lease a Bike,0.0,News API
27/02/2025,Powerbeats Pro 2 Can’t Play Music While Tracking Heart Rate on Gym Equipment,0.0,News API
27/02/2025,Powerbeats Pro 2 cannot play music when sharing heart rate with cardio machines,0.0,News API
27/02/2025,Building for application developers,0.0,News API
27/02/2025,Reviewers rip Powerbeats Pro 2 heart rate monitoring,0.0,News API
27/02/2025,Klaebo en majesté à domicile : revivez le sacre du Norvégien en vidéo,0.0,News API
27/02/2025,Apple подтвердила проблему Powerbeats Pro 2: невозможно слушать музыку и отслеживать пульс одновременно,0.0,News API
27/02/2025,Ab der Tour de France: Rabobank steigt bei Visma - Lease a bike ein,0.0,News API
27/02/2025,I have some STORIES for you today…,0.0,News API
28/02/2025,Kettlebell-Training nun digital bei Peloton,0.0,News API
28/02/2025,Kaizen! Pipely goes BAM,0.0,News API
28/02/2025,"Veiligheid, Pogacar, Vollering: hier moet je op letten in het nieuwe wielerseizoen",0.0,News API
28/02/2025,Powerbeats Pro 2: Probleme mit der Anbindung an Fitnessgeräte,0.0,News API
28/02/2025,"Powerbeats Pro 2, gravi limiti nel monitoraggio della frequenza cardiaca",0.0,News API
01/03/2025,Le cycliste français Romain Grégoire remporte l’Ardèche Classic au terme d’une fin de course confuse,0.1667,News API
01/03/2025,Attaque au Km 0 et victoire à l'arrivée : le coup d'éclat de Claes en vidéo,0.0,News API
01/03/2025,OMLOOP HET NIEUWSBLAD’25: Søren Wærenskjold Sprints to Victory!,0.0,News API
02/03/2025,Marc Marquez marque les esprits en remportant le premier Grand Prix de MotoGP de la saison,0.5,News API
02/03/2025,The Android Central team picks the best fitness apps and watches they can't do without,0.5,News API
02/03/2025,Why I’m Keeping My AirPods Pro 2 After Trying Out the Powerbeats Pro 2,0.0,News API
02/03/2025,"Cyclisme : « Ils n’ont jamais regardé une course de leur vie », ces coureurs qui se trompent de route en permanence",0.0,News API
02/03/2025,It’s Time For That Rarest Of Olympic Events: Picking An IOC President,0.0,News API
03/03/2025,Le suivi cardio frustrant des Powerbeats Pro 2,0.0,News API
03/03/2025,"Why buy an action cam, earbuds, and walkie-talkie when you can get these smart glasses instead?",0.1571,News API
03/03/2025,Nous avons vu la Xiaomi SU7 Ultra : des perfs de malade et un standing qui défie Porsche sans rougir,0.0,News API
03/03/2025,"MNTN Is Selling Ryan Reynolds’ Agency Maximum Effort, SEC Filings Show",-0.1,News API
04/03/2025,Savoie : Un père de famille fait une chute mortelle sur une piste noire de La Plagne,0.0,News API
04/03/2025,"Box-office : “God Save the Tuche” tient les rênes, “À bicyclette !” dans le peloton de tête",0.0,News API
06/03/2025,"MNTN anuncia la venta de la agencia de Ryan Reynolds, Maximum Effort",0.0,News API
06/03/2025,"Have We Taken ""Exercise Stacking"" Too Far?",0.1,News API
07/03/2025,Friendly Feud: JS Party Edition,0.375,News API
07/03/2025,Antirez returns to Redis!,0.0,News API
07/03/2025,"Un condamné américain va être mis à mort par peloton d'exécution, une première depuis 2010",0.0,News API
07/03/2025,"Cyclisme : la limitation des braquets pourrait voir le jour, un test envisagé prochainement",0.0,News API
08/03/2025,"«Une mort horrible et violente» : en Caroline du Sud, un homme mis à mort par un peloton d’exécution",-1.0,News API
08/03/2025,"Aux Etats-Unis, un condamné a été mis à mort par peloton d’exécution, une première depuis 2010",0.0,News API
08/03/2025,"Aux Etats-Unis, un condamné a été mis à mort par peloton d'exécution, une première depuis 2010",0.0,News API
08/03/2025,Trotz Sturz : Pogacar jubelt erneut in Siena,0.0,News API
08/03/2025,STRADE BIANCHE: The History and How to Ride the White Road,0.0,News API
09/03/2025,"Strade Bianche: Pogacar stürzt, steht auf – und gewinnt trotzdem",0.0,News API
09/03/2025,"Brunel, une échappée opportuniste pour une victoire en solitaire sur le GP Monseré",0.0,News API
09/03/2025,When rim brakes and mechanical shifting ruled Strade Bianche — Fabian Cancellara's Trek Domane that he rode to victory in 2016,0.0,News API
10/03/2025,Why Every Small Business Needs A Clear Niche To Thrive,-0.075,News API
10/03/2025,"Démare : ""L'objectif, c'est 100 victoires avant Pogacar… ça va être chaud""",0.0,News API
10/03/2025,Paris-Nice : « Une situation stressante »… Quelles stratégies (de L1) pour les équipes World Tour menacées de relégation ?,0.0,News API
11/03/2025,Galibier Peloton Multi Scarf,0.0,News API
11/03/2025,The Dagny Boston Is Steeped In Design History,0.0,News API
11/03/2025,Encore une chute et un abandon : la poisse poursuit Gaudu,0.0,News API
11/03/2025,Paris-Nizza: Vingegaard und Visma gewinnen das Teamzeitfahren,0.0,News API
12/03/2025,Peloton Bike or Bike Plus: We Tested Both Models to Help You Decide,0.0,News API
12/03/2025,Paris-Nice : l’étape entre Vichy et la loge des Gardes interrompue par la grêle qui a provoqué la pagaille,0.0,News API
12/03/2025,Reaching industrial economies of scale,0.0,News API
13/03/2025,Tirreno-Adriatico: Kooij siegt - Rutsch stürzt,0.0,News API
13/03/2025,"Lèvre en sang et moral en berne pour Vingegaard : ""On est pessimiste sur son état de santé""",0.0,News API
13/03/2025,"Paris-Nice 2025 : Lenny Martinez signe la première victoire française dans la 5e étape, Matteo Jorgenson nouveau maillot jaune",0.0,News API
13/03/2025,Nobu Hotel Toronto opens bookings and is offering discounts for first guests,0.25,News API
14/03/2025,"This American Express Analyst Is No Longer Bearish; Here Are Top 5 Upgrades For Friday - Crown Castle  ( NYSE:CCI ) , American Express  ( NYSE:AXP ) ",0.1667,Alpha Vantage
14/03/2025,Ford hires a Twitch and PlayStation veteran to run its digital services,0.0,News API
14/03/2025,"Jonas Vingegaard abandonne le Paris-Nice, au lendemain d’une chute",0.0,News API
14/03/2025,"Ulta Stock, Peloton Rally As Beauty, Health Play Defense",0.0,News API
14/03/2025,Pedersen wins stage six of Paris-Nice after Vingegaard withdraws,0.3,News API
14/03/2025,"Ulta Beauty, Peloton Rally On 'Pivotal' Sentiment, Upgrade",0.5,News API
14/03/2025,Friends on the Frontend,0.0,News API
14/03/2025,Dversnes seul rescapé de l'échappée du jour : son arrivée en vidéo,0.0,News API
14/03/2025,100Copies One Ride Artwork Evokes the ‘Motion & Unity’ of All Cyclists,0.0,News API
14/03/2025,Paris-Nice: Mads Pedersen s'impose sur une étape marquée par les bordures,0.0,News API
14/03/2025,"Durand sur la stratégie de Groupama-FDJ : ""Je n'aurais pas fait relever Cavagna""",0.0,News API
14/03/2025,"Welcome To Wonkette Happy Hour, With This Week's Cocktail, Ring The Alarm!",0.9,News API
