Date,Title,Sentiment,Source
24/01/2025,El Tesla Model Y Juniper llega a España: estos son los precios y las versiones,0.0,News API
24/01/2025,Auf Tesla verzichten? – Unternehmen eröffnen Debatte,0.0,News API
24/01/2025,Nuevo Tesla Model Y Juniper: el superventas eléctrico desvela su precio y todos sus detalles oficiales para España,0.0,News API
24/01/2025,"Tesla se suma a BYD, SAIC y Geely: también ha demandado a la Comisión Europea por los aranceles, según Politico",0.0,News API
24/01/2025,Elektroauto: Tesla verkauft modellgepflegtes Model Y ab März,0.0,News API
25/01/2025,Report of Newly-Discovered Asteroid Turns Out to Be... a Tesla Roadster,0.0,News API
25/01/2025,"Elon Musk's close ties to Trump could be good for the EV industry, Rivian CEO says",0.7,News API
26/01/2025,"Morgan Freeman may have scored a 3,000% return on Tesla stock: 'I'm a huge fan of Elon Musk'",0.4,News API
26/01/2025,"I drive a Cybertruck, and I'm sick of people flipping me off. I wish they understood how helpful this car is for me.",-0.7143,News API
27/01/2025,Tesla Model Y Juniper vs 2024 Tesla Model Y: what’s actually new?,0.1364,News API
27/01/2025,Tesla investors pin hopes on cheaper EV model to boost sales after lackluster 2024,0.0,News API
27/01/2025,Tesla Model Y Juniper vs Kia EV9: Can the new Model Y beat a large SUV?,0.1753,News API
27/01/2025,Tesla Model Y Juniper vs Rivian R1S: Can Tesla’s newest take out a much more expensive vehicle?,0.0,News API
27/01/2025,El Tesla Roadster de Elon Musk no solo sigue de una pieza: está sembrando el caos en el espacio,0.0,News API
27/01/2025,One in four 2020 Tesla Model 3 failed the Danish periodic inspection in 2024,-0.5,News API
27/01/2025,"Montag: Tesla-Roadster mit Asteroid verwechselt, Betrug bei Deutschlandtickets",0.0,News API
28/01/2025,"Who foresaw the DeepSeek-caused sell-off of Magnificent 7 stocks? Hedge funds, which have been cutting exposure for months",0.2,News API
28/01/2025,El Tesla Model Y debía ser el cambio de paradigma en Europa. Ha sido destronado como coche más vendido por el Dacia Sandero,0.0,News API
28/01/2025,Xiaomi avisa a Tesla: el SU7 cerró el año vendiendo más que el Model 3 y aspira a darle un gran bocado en ventas en 2025,0.0,News API
29/01/2025,Elon Musk Tells Friends He’s Sleeping at the DOGE Offices in DC,0.0,News API
29/01/2025,Tesla investors want answers about Optimus and robotaxis — and whether Elon Musk's push into politics will hurt the EV giant,0.0,News API
29/01/2025,"""No está a la altura"": la ITV danesa ha suspendido a uno de cada cuatro Tesla Model 3 en un año y es una música que nos suena",0.0,News API
30/01/2025,Elon Musk says a paid robotaxi service launches in June — and Tesla will dip a 'toe in the water' before expanding it,0.0,News API
30/01/2025,Trump is putting Tesla's $2.8 billion side hustle under threat,0.0,News API
30/01/2025,"El Tesla barato llegará, sí o sí, en 2025: la compañía ha confirmado varios de sus detalles",0.0,News API
30/01/2025,"Toddlers, trains, and fairy tales — Elon Musk's best quotes from the Tesla earnings call",1.0,News API
30/01/2025,"En su primer año ""en crisis"" vendiendo coches eléctricos, Musk pone el ojo en Optimus con promesas y cifras realmente psicodélicas",0.0,News API
30/01/2025,Tesla sales in Germany dropped 41% in 2024,0.0,News API
30/01/2025,A peek under the hood of Elon Musk’s Tesla reveals a worrying trend—its auto business is rusting away,0.0,News API
30/01/2025,Tesla’s Elon Musk reveals first city for automaker’s new robotaxi service,0.1932,News API
31/01/2025,The Cast of Companion on the Horrors and Cuteness of AI Robots,0.0,News API
31/01/2025,"Tesla to Launch Self-Driving Car Service in Texas in June, Elon Musk Says",0.0,News API
01/02/2025,Big Tech isn't backing down from its big AI spending,-0.0519,News API
02/02/2025,Delaware governor says things may 'need to change' as companies threaten to leave the state,0.0,News API
02/02/2025,Don’t fall for the Elon Musk energy-saving device scam,0.0,News API
03/02/2025,Elon Musk Ally Tells Staff 'AI-First' Is the Future of Key Government Agency,0.0,News API
03/02/2025,Canadian Politicians ‘Rip Up’ Starlink Contract and Call for a 100% Tesla Tariff,0.0,News API
03/02/2025,Even car companies that emphasize US production could feel the impact of Trump's tariffs — including Tesla,0.0,News API
03/02/2025,One industry just got a big boost from Trump — and it wasn't crypto or Tesla,0.0,News API
03/02/2025,Elon Musk is officially an employee of the US government — but he's not getting a paycheck,0.0,News API
03/02/2025,Tesla Sales in Europe Plummet Amidst Elon’s Stupid Meddling,-0.8,News API
03/02/2025,Saubere Robotaxis: Tesla zeigt autonomen Reinigungsroboter fürs Cybercab,0.0,News API
05/02/2025,Toyota is following Elon Musk's lead as it tries to turn things around in China,-0.05,News API
05/02/2025,Mark Zuckerberg is $40 billion richer this year on Meta's winning streak,0.5,News API
05/02/2025,"""Complicado y doloroso"": Elon Musk hizo su enésima promesa sobre la conducción autónoma y Tesla lo va a pagar caro (y a medias)",0.0,News API
06/02/2025,"Rivian adopts AI-powered, sensor-rich strategy for self-driving tech in bid to catch Tesla",0.0,News API
06/02/2025,Así es el nuevo Volkswagen 100% eléctrico y barato que la compañía presentará el próximo mes,0.0,News API
07/02/2025,"DOGE Is Coming for Your Social Security, States Prepare to Sue",0.0333,News API
07/02/2025,DOGE Is Now Inside the Consumer Financial Protection Bureau,0.0,News API
07/02/2025,El enfado de Europa con Elon Musk crece como espuma. Tesla paga las consecuencias con caídas en ventas de hasta el 75%,0.0,News API
07/02/2025,Elon Musk calls himself 'White House Tech Support' in new X bio,0.0682,News API
10/02/2025,"Elon Musk's DOGE side project could start weighing on Tesla vehicle sales, analyst says",0.0,News API
10/02/2025,Musk-led group makes $97.4bn bid for ChatGPT maker OpenAI,0.0,News API
10/02/2025,You can't buy a Cybertruck in Wisconsin. Tesla appeals after state denies 4-dealership plan,0.0,News API
10/02/2025,"Tesla Driver Issues Warning After His Cybertruck Totals Itself on ""Full Self-Driving"" Mode",0.35,News API
10/02/2025,China’s BYD Adding ‘High-Level’ Self-Driving to Its Budget $10K Electric Car,0.0,News API
10/02/2025,El negocio más boyante de Tesla es también el más desconocido: la generación y el almacenamiento de energía,0.0,News API
10/02/2025,Lyft Eyes Robotaxi Launch in 2026,0.0,News API
10/02/2025,"Tesla in Europa: Tesla? Nein, danke",0.0,News API
11/02/2025,I landed my job at Tesla after over a year of job applications and rejection. Being an international student made things especially tough.,-0.3889,News API
11/02/2025,"BYD ya tiene un arma para destrozar a Tesla, y piensa incluirla incluso en sus coches más baratos",0.0,News API
11/02/2025,Sam Altman Dismisses Elon Musk’s Bid to Buy OpenAI in Letter to Staff,0.0,News API
11/02/2025,"Tesla Cybertruck Drives Itself into a Pole, Owner Says 'Thank You Tesla'",0.0,News API
12/02/2025,DeepSeek's AI is the hot new feature for Chinese cars. Here are all the automakers adding it to their EVs.,0.1288,News API
12/02/2025,The Tesla Revolt,0.0,News API
12/02/2025,DOGE Has Started Gutting a Key US Technology Agency,0.0,News API
12/02/2025,"Elon Musk Claims the DOGE Website Offers Transparency, but There’s Nothing There",0.1,News API
12/02/2025,"Ventas paupérrimas, promesas incumplidas y política: Tesla enfrenta una tormenta perfecta y sus acciones lo están pagando caro",0.0,News API
12/02/2025,Her parents were injured in a Tesla crash. She ended up having to pay Tesla damages,0.0,News API
12/02/2025,A woman in China sued Tesla after complaining of faulty brakes — now she's paying Tesla $23K,0.0,News API
12/02/2025,Elon Musk ha batido récords con su fortuna en 2025: ahora ha perdido 40.900 millones en una semana y Tesla ha tenido la culpa,0.0,News API
12/02/2025,BYD golpea a Tesla en su gran promesa futura: “Ojo de Dios” es su sistema de conducción autónoma y será gratis en todos sus coches,0.0,News API
13/02/2025,The $400 Million Armored Tesla Story Is a Fake Scandal In a Sea of Real Graft and Horror,-0.15,News API
13/02/2025,The State Department is planning to buy $400 million worth of armored Teslas,0.3,News API
14/02/2025,More Tesla showroom protests planned for this weekend,0.5,News API
14/02/2025,Elon Musk’s Toxicity Could Spell Disaster for Tesla,0.0,News API
14/02/2025,Trump admin abandons $400M purchase of armored Teslas following backlash,0.0,News API
14/02/2025,"Driver in deadly Tesla Cybertruck crash had alcohol and cocaine in system, report shows",-0.2,News API
14/02/2025,"Tesla Owners Receiving Threats That If They Don't Sell Their Cars, They'll Be Vandalized",0.0,News API
14/02/2025,Elon Musk's Boring Company is planning to build a tunnel system in Dubai more than 10 miles long,-0.1833,News API
15/02/2025,Americans protest Elon Musk: 'He should not be disassembling our democracy',0.0,News API
15/02/2025,Tesla showrooms are being hit by a wave of anti-DOGE protests,0.0,News API
15/02/2025,Nikola lo tenía todo para revolucionar el mundo de los camiones de hidrógeno. Ahora está al borde de la quiebra,0.0,News API
16/02/2025,Some of Trump's policy changes are expected to impact Tesla. Elon Musk doesn't sound too worried.,0.15,News API
16/02/2025,Elon’s Boring Company Is Planning to Build a 10-Mile Tunnel in Dubai for Some Reason,-1.0,News API
17/02/2025,"Ni IA, ni realidad virtual: Apple y Meta ya están preparándose para la siguiente revolución",0.0,News API
18/02/2025,"Almost a decade after Tesla first launched preorders for its cars in India, it's staffing up in the country",0.25,News API
18/02/2025,Tesla tenía adjudicado un contrato de 400 millones de dólares del Gobierno de Estados Unidos. Han tenido que recular,0.0,News API
18/02/2025,"'Sell your Teslas, dump your stock' — Tesla protests, Musk's tanking popularity hit EV maker at bad time",-0.7,News API
19/02/2025,The Cybertruck is the latest Tesla to score a 5-star crash rating,0.5,News API
19/02/2025,Volvo’s ES90 sedan will be built with a Nvidia supercomputer,0.0,News API
21/02/2025,The best trade in the market might be following everything Elon Musk touches,0.5,News API
21/02/2025,Rivian Reports First Quarter of 'Positive Gross Profit',0.1591,News API
21/02/2025,"Tesla Cybertruck Body Panels Are Flying Off While Driving, And This Wrap Shop Owner Figured Out Why",0.0,News API
21/02/2025,Nach Urteil gegen CEO-Gehalt: Tesla könnte Musk doch noch Milliarden zahlen,0.0,News API
22/02/2025,Cryptocurrency theft of £1.1bn could be biggest ever,0.0,News API
22/02/2025,Automobilbranche: Tesla könnte Nissan teilweise übernehmen,0.0,News API
24/02/2025,A new document undercuts Trump admin's denials about $400 million Tesla deal,0.1364,News API
24/02/2025,Tesla ha demandado a clientes y periodistas por criticar sus coches en China: lo sorprendente es que está ganando esos juicios,0.0,News API
24/02/2025,Elektroautos: Tesla bestätigt neues Model S und Model X,0.0,News API
25/02/2025,Tesla rolls out self-driving tech in China after BYD offers it for free,0.25,News API
25/02/2025,Las ventas de Tesla en Europa se desploman,0.0,News API
25/02/2025,Sacramento woman stuns Ramsey Show co-hosts with story of how she turned $1K into $380K with just 1 stock.,0.0,News API
25/02/2025,Una pastelería aceptó un pedido de 4.000 pasteles para Tesla. Elon Musk tuvo que mediar para evitar su quiebra,0.0,News API
26/02/2025,Elon Musk said Tesla used internet videos to train self-driving tech in China,0.0,News API
26/02/2025,Your Tesla Is Watching,0.0,News API
26/02/2025,Elon Musk ha puesto a la Inspección de Trabajo de EEUU en la diana de DOGE: investigaba a Tesla por la muerte de un trabajador,0.0,News API
26/02/2025,Las Vegas Police Receive 10 Tesla Cybertrucks From Mystery Donor,0.0,News API
27/02/2025,Woman caught trying to plant explosive devices at Tesla dealership,0.0,News API
