Date,Title,Sentiment,Source
17/01/2025, ( U )  - Analyzing Unity Software's Short Interest - Unity Software  ( NYSE:U ) ,0.0,Alpha Vantage
21/01/2025,Unity Software Inc.  ( U )  Beats Stock Market Upswing: What Investors Need to Know,0.0,Alpha Vantage
23/01/2025,What's Going On With GameStop Stock Thursday? - GameStop  ( NYSE:GME ) ,0.0,Alpha Vantage
29/01/2025,Here's Why Unity Software Inc.  ( U )  Fell More Than Broader Market,0.5,Alpha Vantage
31/01/2025,Unity Software Inc.  ( U )  is Attracting Investor Attention: Here is What You Should Know,0.0,Alpha Vantage
04/02/2025,Here's Why Unity Software Inc.  ( U )  Gained But Lagged the Market Today,0.0,Alpha Vantage
04/02/2025,Paypal  ( PYPL )  Q4 Earnings and Revenues Beat Estimates,0.0,Alpha Vantage
05/02/2025,Unity Software Inc.  ( U )  Stock Sinks As Market Gains: What You Should Know,-0.1,Alpha Vantage
12/02/2025,Unity Software Inc.  ( U )  Falls More Steeply Than Broader Market: What Investors Need to Know,0.5,Alpha Vantage
15/02/2025,Palantir Stock Is Up 585% Since Early 2024. History Is Clear About What Happens Next.,0.0667,Alpha Vantage
18/02/2025,Unity Software to Post Q4 Earnings: What's in Store for the Stock?,0.0,Alpha Vantage
19/02/2025,"Elliott Investment Management Buys Wolfspeed Stock, Bets Against Nvidia In Q4 - Wolfspeed  ( NYSE:WOLF ) ",0.0,Alpha Vantage
19/02/2025,What the Options Market Tells Us About Unity Software - Unity Software  ( NYSE:U ) ,0.0,Alpha Vantage
20/02/2025,"Alibaba, Hasbro, Shake Shack, Bausch Health And Other Big Stocks Moving Higher On Thursday - Alibaba Gr Hldgs  ( NYSE:BABA ) , Bausch Health Companies  ( NYSE:BHC ) ",0.0417,Alpha Vantage
20/02/2025,Unity Software: Earnings Beat Sparks Breakout,0.0,Alpha Vantage
20/02/2025,Why Unity Software Stock Is Skyrocketing Today,0.0,Alpha Vantage
20/02/2025,"Unity Software Q4 Earnings: EPS And Sales Beat, Weak Guidance, Game Development Revenue Declines - Unity Software  ( NYSE:U ) ",-0.3875,Alpha Vantage
20/02/2025,"Unity Software Inc.  ( U )  Reports Q4 Loss, Tops Revenue Estimates",0.0,Alpha Vantage
20/02/2025,"Unity Software: EPS Miss, Revenue Beat",0.0,Alpha Vantage
21/02/2025,Unity Hits An Inflection Point? Analysts Highlight Accelerated Innovation In Gaming And Advertising - Unity Software  ( NYSE:U ) ,0.0,Alpha Vantage
21/02/2025,"This Unity Software Analyst Is No Longer Bearish; Here Are Top 5 Upgrades For Friday - First Industrial Realty  ( NYSE:FR ) , Grab Holdings  ( NASDAQ:GRAB ) ",0.375,Alpha Vantage
21/02/2025,Is the Market Bullish or Bearish on Unity Software? - Unity Software  ( NYSE:U ) ,0.0,Alpha Vantage
23/02/2025,"Alibaba, Super Micro Computer And XPeng Are Among Top 10 Large Cap Gainers Last Week  ( Feb 17-Feb 21 ) : Are The Others In Your Portfolio? - Alibaba Gr Hldgs  ( NYSE:BABA ) , XPeng  ( NYSE:XPEV ) , Super Micro Computer  ( NASDAQ:SMCI ) ",0.2762,Alpha Vantage
25/02/2025,What's Going On With Unity Software Shares Tuesday? - Unity Software  ( NYSE:U ) ,0.0,Alpha Vantage
25/02/2025,New Strong Buy Stocks for February 25th,0.2848,Alpha Vantage
26/02/2025,Lawyers bid to postpone Lockerbie bombing trial,0.0,News API
26/02/2025,Meta Quest 3: Niantic macht räumliche Scans greifbar,0.0,News API
26/02/2025,Bosnian-Serb leader sentenced to jail in landmark trial,-0.1,News API
27/02/2025,Shooting victim denied travel to Scotland for treatment,-0.075,News API
27/02/2025,Katy Perry to head to space on Blue Origin all-women flight,0.0,News API
27/02/2025,Katy Perry viajará al espacio con Blue Origin y hará historia,0.0,News API
27/02/2025,Компьютерные курсы для детей: программирование в лучших онлайн-школах,0.0,News API
27/02/2025,Sabrina Carpenter Announces 2025 Short n’ Sweet Tour Dates,0.175,News API
27/02/2025,"Máte O2 a Air Bank? Od března se mění podmínka, za které se vrací 300 Kč měsíčně zpět na účet",0.0,News API
28/02/2025,"Steam’s Next Fest is full of weird-ass, cool-ass games",0.175,News API
28/02/2025,New Trump Executive Order Will Designate English as Official Language of U.S.,0.0682,News API
28/02/2025,Drug lord convicted in Mexico of DEA agent's murder appears in US court,0.0,News API
28/02/2025,Virgin Galactic To Launch Six-Person Spacecraft Next Year,0.0,News API
28/02/2025,Elon enters the circus,0.0,News API
28/02/2025,NVIDIA DLSS 4 e Intel XeSS 1.3 arrivano nei motori grafici Unreal Engine 5 e Unity,0.0,News API
28/02/2025,Building Robust ViewModels [SUBSCRIBER],0.0,News API
01/03/2025,Ukrainians back Zelensky after disastrous White House encounter,-0.2333,News API
02/03/2025,"UK, France and Ukraine agree to work on ceasefire plan for Russia's war in Ukraine",0.0,News API
02/03/2025,"U.K., France, and Ukraine Agree to Work On Cease-Fire Plan for Russia’s War in Ukraine",0.0,News API
03/03/2025,3 Internet Software Stocks to Buy From a Prospering Industry,0.0,Alpha Vantage
03/03/2025,"Zelenskyy thanks US for support after week of tough diplomacy, urges 'real peace'",0.0037,News API
03/03/2025,The Oscars Mostly Avoided Explicit Politics—With One Major Exception,0.2812,News API
03/03/2025,Will Europe and the US reach a common ground on Ukraine?,-0.3,News API
04/03/2025,What Drives Nvidia's Growth?,0.0,Alpha Vantage
04/03/2025,"Zacks Industry Outlook Unity Software, nCino and Digital Turbine",0.0,Alpha Vantage
04/03/2025,Europe is bankrolling the Kremlin War machine: talk of unity is nonsense,0.0,News API
