Date,Title,Sentiment,Source
12/01/2016,,0.181,
26/01/2016,,0.134,
10/02/2016,,0.124,
22/02/2016,,0.127,
02/03/2016,,0.097,
07/03/2016,,0.09,
15/03/2016,,0.134,
29/03/2016,,0.107,
02/05/2016,,0.096,
07/06/2016,,0.151,
07/09/2016,,0.086,
17/10/2016,,0.129,
29/10/2016,,-0.054,
15/11/2016,,0.122,
28/11/2016,,0.137,
15/12/2016,,0.144,
17/01/2017,,0.065,
27/03/2017,,0.068,
20/04/2017,,0.083,
25/05/2017,,0.15,
25/05/2017,,0.15,
13/06/2017,,0.11,
11/07/2017,,0.11,
19/07/2017,,0.164,
19/07/2017,,0.164,
08/08/2017,,0.157,
31/08/2017,,0.153,
21/09/2017,,0.125,
26/09/2017,,0.121,
03/10/2017,,0.111,
10/10/2017,,0.159,
08/11/2017,,0.132,
05/12/2017,,0.137,
04/01/2018,,0.158,
17/01/2018,,0.117,
23/01/2018,,0.182,
25/01/2018,,0.147,
31/01/2018,,0.105,
06/03/2018,,0.179,
12/03/2018,,0.118,
13/03/2018,,0.106,
21/05/2018,,0.129,
05/06/2018,,0.122,
05/06/2018,,0.131,
06/06/2018,,0.13,
11/06/2018,,0.165,
20/06/2018,,0.195,
10/07/2018,,0.11,
11/07/2018,,0.127,
06/09/2018,,0.094,
12/09/2018,,0.085,
13/09/2018,,0.109,
11/10/2018,,0.102,
11/10/2018,,0.141,
11/10/2018,,0.13,
25/10/2018,,0.094,
31/10/2018,,0.139,
14/11/2018,,0.104,
05/12/2018,,0.227,
06/12/2018,,0.151,
22/01/2019,,0.106,
18/03/2019,,0.125,
19/03/2019,,0.11,
22/03/2019,,0.1,
18/04/2019,,0.151,
18/04/2019,,0.119,
23/04/2019,,0.122,
01/05/2019,,0.057,
07/05/2019,,0.126,
15/05/2019,,0.128,
15/05/2019,,0.128,
06/06/2019,,0.07,
12/06/2019,,0.11,
23/07/2019,,0.129,
24/07/2019,,0.134,
01/08/2019,,0.056,
05/08/2019,,0.117,
04/09/2019,,0.15,
05/09/2019,,0.066,
09/09/2019,,0.123,
10/09/2019,,0.127,
15/10/2019,,0.177,
15/10/2019,,0.105,
01/11/2019,,0.082,
05/12/2019,,0.06,
30/12/2019,,0.143,
03/02/2020,,0.082,
11/02/2020,,0.049,
04/03/2020,,0.058,
04/03/2020,,0.14,
09/03/2020,,0.164,
24/03/2020,,0.087,
03/04/2020,,0.032,
06/04/2020,,0.017,
08/04/2020,,0.039,
08/04/2020,,0.038,
08/04/2020,,0.156,
08/04/2020,,0.032,
08/04/2020,,0.026,
09/04/2020,,0.034,
09/04/2020,,0.026,
11/04/2020,,0.031,
14/04/2020,,0.049,
15/04/2020,,-0.011,
16/04/2020,,0.027,
17/04/2020,,-0.005,
17/04/2020,,0.026,
18/04/2020,,0.018,
22/04/2020,,-0.011,
22/04/2020,,0.027,
22/04/2020,,0.108,
22/04/2020,,0.149,
23/04/2020,,0.035,
23/04/2020,,0.08,
23/04/2020,,-0.007,
24/04/2020,,0.134,
24/04/2020,,0.063,
24/04/2020,,0.068,
29/04/2020,,-0.012,
30/04/2020,,0.023,
30/04/2020,,-0.051,
30/04/2020,,0.03,
01/05/2020,,0.082,
03/05/2020,,0.019,
05/05/2020,,0.098,
06/05/2020,,-0.012,
06/05/2020,,0.134,
06/05/2020,,0.079,
07/05/2020,,0.096,
08/05/2020,,0.019,
11/05/2020,,0.132,
13/05/2020,,0.021,
13/05/2020,,-0.025,
14/05/2020,,0.099,
14/05/2020,,0.15,
14/05/2020,,0.022,
15/05/2020,,0.029,
15/05/2020,,0.034,
19/05/2020,,-0.007,
20/05/2020,,0.021,
21/05/2020,,0.046,
26/05/2020,,0.087,
27/05/2020,,0.029,
27/05/2020,,0.021,
27/05/2020,,-0.007,
27/05/2020,,0.052,
28/05/2020,,0.096,
02/06/2020,,0.071,
02/06/2020,,-0.007,
08/06/2020,,0.029,
09/06/2020,,0.121,
10/06/2020,,0.023,
11/06/2020,,0.188,
15/06/2020,,0.097,
24/06/2020,,0.137,
30/06/2020,,0.167,
02/07/2020,,0.14,
07/07/2020,,0.111,
13/07/2020,,0.144,
15/07/2020,,0.132,
16/07/2020,,0.129,
16/07/2020,,0.065,
16/07/2020,,0.065,
21/07/2020,,0.12,
23/07/2020,,0.101,
03/08/2020,,0.082,
03/08/2020,,0.049,
17/08/2020,,0.134,
19/08/2020,,0.145,
25/08/2020,,0.154,
28/08/2020,,0.167,
31/08/2020,,0.062,
01/09/2020,,0.068,
01/09/2020,,0.068,
01/09/2020,,0.098,
03/09/2020,,0.004,
08/09/2020,,0.12,
17/09/2020,,0.169,
17/09/2020,,0.169,
17/09/2020,,0.049,
18/09/2020,,-0.202,
23/09/2020,,0.124,
24/09/2020,,-0.065,
29/09/2020,,0.171,
06/10/2020,,0.168,
