Date,Average Score,7 MA
01/01/2022,0.281,
01/01/2024,0.747,
01/01/2025,0.477,
01/02/2016,1.0,
01/02/2022,0.586,
01/02/2023,0.338,
01/02/2024,0.772,0.6
01/02/2025,-0.013,0.558
01/03/2016,0.998,0.594
01/03/2018,0.035,0.531
01/03/2019,0.999,0.531
01/03/2021,0.772,0.557
01/03/2022,0.172,0.534
01/03/2023,0.887,0.55
01/03/2024,0.614,0.64
01/03/2025,0.077,0.508
01/04/2020,0.996,0.645
01/04/2021,0.509,0.575
01/04/2022,0.464,0.531
01/04/2024,0.998,0.649
01/04/2025,0.1,0.537
01/05/2017,0.999,0.592
01/05/2022,0.994,0.723
01/05/2023,0.35,0.631
01/05/2024,0.632,0.648
01/05/2025,0.079,0.593
01/06/2016,0.996,0.593
01/06/2020,0.997,0.721
01/06/2021,0.678,0.675
01/06/2022,0.817,0.65
01/06/2023,0.849,0.721
01/06/2024,0.789,0.744
01/07/2021,0.746,0.839
01/07/2022,-0.15,0.675
01/07/2024,0.543,0.61
01/08/2021,0.781,0.625
01/08/2022,0.6,0.594
01/08/2023,0.571,0.554
01/08/2024,0.798,0.556
01/09/2021,0.74,0.555
01/09/2022,0.276,0.616
01/09/2023,0.893,0.666
01/09/2024,0.996,0.696
01/10/2015,0.997,0.753
01/10/2020,0.684,0.769
01/10/2021,0.444,0.719
01/10/2022,0.996,0.755
01/10/2023,0.313,0.76
01/10/2024,0.992,0.775
01/11/2017,0.978,0.772
01/11/2019,0.964,0.767
01/11/2021,0.883,0.796
01/11/2022,0.337,0.78
01/11/2023,0.343,0.687
01/11/2024,0.0,0.642
01/12/2015,0.996,0.643
01/12/2021,0.998,0.646
01/12/2022,0.894,0.636
01/12/2023,0.531,0.586
02/01/2019,0.96,0.675
02/01/2022,0.61,0.713
02/01/2023,0.372,0.766
02/01/2024,0.624,0.713
02/01/2025,0.149,0.591
02/02/2016,0.999,0.606
02/02/2018,-0.924,0.399
02/02/2022,0.689,0.36
02/02/2023,0.291,0.314
02/02/2024,0.676,0.358
02/02/2025,0.463,0.335
02/03/2016,0.998,0.456
02/03/2017,0.997,0.456
02/03/2021,0.812,0.704
02/03/2022,0.486,0.675
02/03/2023,0.481,0.702
02/03/2024,0.755,0.713
02/03/2025,0.0,0.647
02/04/2019,0.995,0.647
02/04/2021,0.078,0.515
02/04/2022,0.692,0.498
02/04/2023,0.999,0.571
02/04/2024,0.571,0.584
02/04/2025,0.223,0.508
02/05/2022,0.428,0.569
02/05/2023,0.25,0.463
02/05/2024,0.87,0.576
02/05/2025,-0.045,0.471
02/06/2021,0.923,0.46
02/06/2022,0.955,0.515
02/06/2023,0.637,0.574
02/06/2024,0.547,0.591
02/07/2021,0.666,0.65
02/07/2022,0.586,0.61
02/07/2023,0.707,0.717
02/07/2024,0.734,0.69
02/08/2021,0.945,0.689
02/08/2022,0.384,0.653
02/08/2023,0.562,0.655
02/08/2024,0.06,0.568
02/09/2021,0.997,0.627
02/09/2022,0.52,0.6
02/09/2024,0.998,0.638
02/10/2019,0.994,0.645
02/10/2021,0.599,0.676
02/10/2022,0.999,0.738
02/10/2023,0.755,0.837
02/10/2024,0.989,0.836
02/11/2017,0.968,0.9
02/11/2018,0.994,0.9
02/11/2021,0.941,0.892
02/11/2022,0.595,0.892
02/11/2023,0.765,0.858
02/12/2020,0.998,0.893
02/12/2021,0.645,0.844
02/12/2022,0.645,0.798
02/12/2023,0.582,0.739
02/12/2024,0.633,0.695
03/01/2017,0.998,0.752
03/01/2022,0.643,0.735
03/01/2023,0.742,0.698
03/01/2024,0.736,0.711
03/02/2018,0.896,0.747
03/02/2022,0.864,0.787
03/02/2023,0.342,0.746
03/02/2024,0.572,0.685
03/02/2025,0.14,0.613
03/03/2021,0.742,0.613
03/03/2022,0.629,0.598
03/03/2023,0.594,0.555
03/03/2024,0.823,0.549
03/03/2025,0.124,0.518
03/04/2018,0.998,0.579
03/04/2023,0.776,0.669
03/04/2024,0.265,0.601
03/04/2025,0.114,0.528
03/05/2018,0.952,0.579
03/05/2021,0.765,0.571
03/05/2022,0.783,0.665
03/05/2023,0.464,0.588
03/05/2024,0.425,0.538
03/05/2025,0.559,0.58
03/06/2019,0.982,0.704
03/06/2021,0.998,0.711
03/06/2022,0.849,0.723
03/06/2023,0.78,0.722
03/06/2024,0.79,0.769
03/07/2017,0.974,0.847
03/07/2021,0.7,0.868
03/07/2022,0.477,0.795
03/07/2023,0.603,0.739
03/07/2024,0.998,0.76
03/08/2017,0.984,0.789
03/08/2021,0.777,0.788
03/08/2022,0.387,0.704
03/08/2023,0.623,0.693
03/08/2024,0.5,0.696
