Date,Average Score,7 MA
2025-01-24,0.245,
2025-01-27,0.149,
2025-01-28,-0.027,
2025-01-29,0.21,
2025-01-30,-0.02,
2025-01-31,0.365,
2025-02-02,0.4,0.189
2025-02-03,0.016,0.156
2025-02-04,0.132,0.154
2025-02-05,0.083,0.169
2025-02-06,-0.003,0.139
2025-02-07,0.1,0.156
2025-02-10,0.014,0.106
2025-02-11,0.117,0.066
2025-02-12,-0.175,0.038
2025-02-13,0.249,0.055
2025-02-14,-0.028,0.039
2025-02-15,0.0,0.04
2025-02-17,0.105,0.04
2025-02-18,0.0,0.038
2025-02-19,0.034,0.026
2025-02-20,-0.01,0.05
2025-02-21,0.162,0.038
2025-02-23,0.0,0.042
2025-02-24,0.243,0.076
2025-02-25,0.169,0.085
2025-02-26,0.102,0.1
