Date,Average Score,7 MA
01/01/2021,-0.128,
01/01/2022,0.737,
01/01/2023,0.687,
01/01/2024,0.895,
01/01/2025,0.71,
01/02/2018,0.996,
01/02/2021,0.997,0.699
01/02/2022,0.696,0.817
01/02/2023,0.527,0.787
01/02/2024,0.75,0.796
01/02/2025,0.648,0.761
01/03/2021,0.903,0.788
01/03/2022,0.295,0.688
01/03/2023,0.633,0.636
01/03/2024,0.997,0.679
01/04/2021,0.782,0.715
01/04/2022,0.557,0.688
01/04/2023,0.64,0.687
01/04/2024,0.685,0.656
01/04/2025,0.128,0.632
01/05/2021,0.5,0.613
01/05/2022,0.468,0.537
01/05/2023,0.542,0.503
01/05/2024,0.74,0.529
01/05/2025,0.1,0.452
01/06/2021,0.703,0.454
01/06/2022,0.659,0.53
01/06/2023,0.756,0.567
01/06/2024,0.753,0.608
01/07/2021,0.589,0.614
01/07/2022,0.411,0.567
01/07/2024,0.664,0.648
01/08/2021,0.365,0.6
01/08/2022,0.428,0.567
01/08/2023,0.583,0.542
01/08/2024,0.74,0.54
01/09/2020,1.0,0.599
01/09/2021,0.678,0.637
01/09/2022,0.527,0.617
01/09/2023,0.677,0.662
01/09/2024,0.753,0.708
01/10/2020,0.36,0.676
01/10/2021,0.529,0.646
01/10/2022,0.716,0.606
01/10/2023,0.491,0.579
01/10/2024,0.608,0.591
01/11/2021,0.452,0.558
01/11/2022,0.453,0.516
01/11/2023,0.439,0.527
01/11/2024,0.568,0.532
01/12/2020,0.994,0.572
01/12/2021,0.652,0.595
01/12/2022,0.606,0.595
01/12/2023,0.569,0.612
01/12/2024,0.738,0.652
02/01/2022,0.048,0.596
02/01/2023,0.545,0.593
02/01/2024,0.759,0.56
02/01/2025,0.494,0.537
02/02/2021,0.916,0.581
02/02/2022,0.61,0.587
02/02/2023,0.501,0.553
02/02/2024,0.758,0.655
02/02/2025,0.532,0.653
02/03/2021,0.967,0.683
02/03/2022,0.589,0.696
02/03/2023,0.655,0.659
02/03/2024,0.796,0.685
02/04/2021,0.558,0.694
02/04/2022,0.721,0.688
02/04/2023,0.798,0.726
02/04/2024,0.808,0.704
02/04/2025,0.118,0.636
02/05/2021,0.291,0.584
02/05/2022,0.483,0.54
02/05/2023,0.546,0.538
02/05/2024,0.678,0.532
02/05/2025,0.085,0.43
02/06/2021,0.56,0.394
02/06/2022,0.628,0.467
02/06/2023,0.582,0.509
02/06/2024,0.803,0.555
02/07/2020,0.992,0.618
02/07/2021,0.562,0.602
02/07/2022,0.219,0.621
02/07/2023,0.687,0.639
02/07/2024,0.827,0.667
02/08/2021,0.762,0.693
02/08/2022,0.496,0.649
02/08/2023,0.702,0.608
02/08/2024,0.434,0.59
02/09/2020,0.844,0.679
02/09/2021,0.522,0.655
02/09/2022,0.618,0.625
02/09/2023,-0.32,0.471
02/09/2024,0.354,0.451
02/10/2021,0.511,0.423
02/10/2022,-0.053,0.354
02/10/2023,0.594,0.318
02/10/2024,0.526,0.319
02/11/2020,0.888,0.357
02/11/2021,0.421,0.463
02/11/2022,0.53,0.488
02/11/2023,0.658,0.509
02/11/2024,0.644,0.609
02/12/2021,0.637,0.615
02/12/2022,0.733,0.644
02/12/2023,0.46,0.583
02/12/2024,0.079,0.534
03/01/2022,0.697,0.558
03/01/2023,0.319,0.51
03/01/2024,0.843,0.538
03/01/2025,0.545,0.525
03/02/2021,0.748,0.527
03/02/2022,0.376,0.515
03/02/2023,0.229,0.537
03/02/2024,0.88,0.563
03/02/2025,0.132,0.536
03/03/2021,0.65,0.509
03/03/2022,0.522,0.505
03/03/2023,0.626,0.488
03/03/2024,0.5,0.506
03/03/2025,0.067,0.482
03/04/2021,-0.045,0.35
03/04/2022,0.72,0.434
03/04/2023,0.738,0.447
03/04/2024,0.638,0.463
03/04/2025,-0.101,0.36
03/05/2021,0.66,0.382
03/05/2022,0.541,0.45
03/05/2023,0.578,0.539
03/05/2024,0.807,0.552
03/05/2025,0.607,0.533
03/06/2020,0.995,0.584
03/06/2021,0.829,0.717
03/06/2022,0.495,0.693
03/06/2023,0.535,0.692
03/06/2024,0.718,0.712
03/07/2020,0.962,0.734
03/07/2021,0.358,0.699
03/07/2022,-0.246,0.522
03/07/2023,0.784,0.515
03/07/2024,0.847,0.565
03/08/2021,0.72,0.592
03/08/2022,0.608,0.576
03/08/2023,0.624,0.528
03/08/2024,0.646,0.569
03/09/2020,0.699,0.704
03/09/2021,0.583,0.675
03/09/2022,0.552,0.633
03/09/2023,0.806,0.645
03/09/2024,0.738,0.664
03/10/2021,0.4,0.632
03/10/2022,0.606,0.626
03/10/2023,0.579,0.609
03/10/2024,0.811,0.642
03/11/2021,0.72,0.666
03/11/2022,0.458,0.616
03/11/2023,0.591,0.595
03/11/2024,0.422,0.598
03/12/2020,0.389,0.567
03/12/2021,0.56,0.564
03/12/2022,0.421,0.509
03/12/2023,0.481,0.475
03/12/2024,0.4,0.466
04/01/2021,0.966,0.52
04/01/2022,0.433,0.521
04/01/2023,0.426,0.527
04/01/2024,0.648,0.539
04/01/2025,0.641,0.571
04/02/2021,0.782,0.614
04/02/2022,0.568,0.638
04/02/2023,0.599,0.585
04/02/2024,0.613,0.611
04/02/2025,0.276,0.59
04/03/2021,0.745,0.603
04/03/2022,0.491,0.582
04/03/2023,0.626,0.56
04/03/2024,0.721,0.582
04/03/2025,-0.079,0.485
04/04/2018,0.999,0.54
04/04/2021,0.348,0.55
04/04/2022,0.596,0.529
04/04/2023,0.756,0.567
04/04/2024,0.609,0.564
04/04/2025,0.274,0.5
04/05/2020,0.131,0.53
04/05/2021,0.688,0.486
04/05/2022,0.583,0.52
04/05/2023,0.698,0.534
04/05/2024,0.83,0.545
04/05/2025,0.149,0.479
04/06/2020,0.999,0.583
04/06/2021,0.588,0.648
04/06/2022,0.541,0.627
04/06/2023,0.628,0.633
04/06/2024,0.988,0.675
04/07/2021,0.502,0.628
04/07/2022,0.247,0.642
04/07/2023,0.38,0.553
04/07/2024,0.905,0.599
04/08/2020,0.98,0.661
04/08/2021,0.662,0.666
04/08/2022,0.56,0.605
04/08/2023,0.678,0.63
04/08/2024,0.546,0.673
04/09/2020,0.0,0.619
04/09/2021,0.066,0.499
04/09/2022,0.688,0.457
04/09/2023,0.668,0.458
04/09/2024,0.826,0.496
04/10/2021,0.524,0.474
04/10/2022,0.538,0.473
04/10/2023,0.71,0.574
04/10/2024,0.86,0.688
04/11/2021,0.493,0.66
04/11/2022,0.472,0.632
04/11/2023,0.431,0.575
04/11/2024,0.393,0.557
04/12/2020,0.69,0.578
04/12/2021,0.544,0.555
04/12/2022,0.602,0.518
04/12/2023,0.624,0.537
04/12/2024,0.701,0.569
05/01/2021,0.963,0.645
05/01/2022,0.7,0.689
05/01/2023,0.39,0.646
05/01/2024,0.738,0.674
05/01/2025,0.259,0.625
05/02/2019,0.982,0.676
05/02/2021,0.779,0.687
05/02/2022,0.459,0.615
05/02/2023,0.254,0.552
05/02/2024,0.772,0.606
05/02/2025,0.174,0.526
05/03/2021,0.682,0.586
05/03/2022,0.597,0.531
05/03/2023,0.569,0.501
05/03/2024,0.845,0.556
05/03/2025,0.126,0.538
05/04/2021,0.223,0.459
05/04/2022,0.565,0.515
05/04/2023,0.684,0.516
05/04/2024,0.731,0.535
05/04/2025,0.148,0.475
05/05/2016,0.997,0.496
05/05/2021,0.667,0.574
05/05/2022,0.379,0.596
05/05/2023,0.819,0.632
05/05/2024,0.66,0.629
05/05/2025,0.231,0.557
05/06/2020,0.189,0.563
05/06/2021,0.701,0.521
05/06/2022,0.713,0.527
05/06/2023,0.603,0.559
05/06/2024,0.86,0.565
05/07/2021,0.461,0.537
05/07/2022,0.368,0.556
05/07/2023,0.674,0.626
05/07/2024,0.7,0.626
05/08/2021,0.643,0.616
05/08/2022,0.483,0.598
05/08/2023,0.965,0.613
05/08/2024,0.421,0.608
05/09/2021,0.283,0.596
05/09/2022,0.883,0.625
05/09/2023,0.541,0.603
05/09/2024,0.839,0.631
05/10/2017,0.997,0.704
05/10/2021,0.49,0.636
05/10/2022,0.639,0.667
05/10/2023,0.607,0.714
05/10/2024,0.676,0.684
05/11/2020,1.0,0.75
05/11/2021,0.637,0.721
05/11/2022,0.308,0.622
05/11/2023,0.618,0.641
05/11/2024,0.306,0.593
05/12/2020,0.477,0.575
05/12/2021,0.493,0.548
05/12/2022,0.698,0.505
05/12/2023,0.724,0.518
05/12/2024,0.545,0.552
06/01/2021,0.508,0.536
06/01/2022,0.599,0.578
06/01/2023,0.404,0.567
06/01/2024,0.352,0.547
06/01/2025,0.35,0.497
06/02/2021,0.188,0.421
06/02/2022,0.498,0.414
06/02/2023,0.601,0.427
06/02/2024,0.749,0.449
06/02/2025,0.185,0.418
06/03/2021,0.68,0.464
06/03/2022,0.244,0.449
06/03/2023,0.722,0.526
06/03/2024,0.609,0.541
06/03/2025,-0.014,0.454
06/04/2021,0.599,0.432
06/04/2022,0.509,0.478
06/04/2023,0.797,0.495
06/04/2024,0.438,0.523
06/04/2025,0.218,0.451
06/05/2020,0.994,0.506
06/05/2021,0.518,0.582
06/05/2022,0.363,0.548
06/05/2023,0.842,0.596
06/05/2024,0.503,0.554
06/05/2025,0.108,0.507
06/06/2020,0.987,0.616
06/06/2021,0.65,0.567
06/06/2022,0.716,0.596
06/06/2023,0.724,0.647
06/06/2024,0.906,0.656
06/07/2020,0.996,0.727
06/07/2021,0.477,0.779
06/07/2022,0.377,0.692
06/07/2023,0.76,0.708
06/07/2024,0.683,0.703
06/08/2019,0.95,0.736
06/08/2020,0.984,0.747
06/08/2021,0.555,0.684
06/08/2022,0.58,0.698
06/08/2023,0.674,0.741
06/08/2024,0.669,0.728
06/09/2021,0.953,0.766
06/09/2022,0.524,0.706
06/09/2023,0.663,0.66
06/09/2024,0.54,0.658
06/10/2021,0.393,0.631
06/10/2022,0.515,0.608
06/10/2023,0.435,0.575
06/10/2024,0.941,0.573
06/11/2020,0.967,0.636
06/11/2021,0.293,0.583
06/11/2022,0.39,0.562
06/11/2023,0.761,0.615
06/11/2024,0.408,0.599
06/12/2020,0.844,0.658
06/12/2021,0.663,0.618
06/12/2022,0.684,0.578
06/12/2023,0.678,0.633
06/12/2024,0.533,0.653
07/01/2021,0.374,0.598
07/01/2022,0.592,0.624
07/01/2023,0.707,0.604
07/01/2024,0.618,0.598
07/01/2025,0.572,0.582
07/02/2022,0.653,0.578
07/02/2023,0.329,0.549
07/02/2024,0.779,0.607
07/02/2025,0.234,0.556
07/03/2021,0.818,0.572
07/03/2022,0.492,0.554
07/03/2023,0.538,0.549
07/03/2024,0.947,0.591
07/03/2025,0.138,0.564
07/04/2021,0.7,0.552
07/04/2022,0.476,0.587
07/04/2023,0.726,0.574
07/04/2024,0.713,0.605
07/04/2025,0.153,0.55
07/05/2020,1.0,0.558
07/05/2021,0.611,0.626
07/05/2022,0.362,0.577
07/05/2024,0.709,0.611
07/05/2025,0.101,0.521
07/06/2021,0.555,0.499
07/06/2022,0.432,0.539
07/06/2023,0.579,0.478
07/06/2024,0.735,0.496
07/07/2020,0.925,0.577
07/07/2021,0.449,0.539
07/07/2022,0.492,0.595
07/07/2023,0.656,0.61
07/07/2024,0.966,0.686
07/08/2021,0.299,0.646
07/08/2022,0.623,0.63
07/08/2023,0.387,0.553
07/08/2024,0.685,0.587
07/09/2021,0.657,0.61
07/09/2022,0.483,0.586
07/09/2023,0.625,0.537
07/09/2024,0.726,0.598
07/10/2021,0.592,0.594
