Date,Average Score,7 MA
2016-02-19,0.994,
2017-10-05,0.997,
2017-11-27,0.997,
2017-11-30,0.989,
2018-01-31,0.995,
2018-03-16,0.991,
2018-03-27,-0.244,0.817
2018-04-16,0.997,0.817
2018-06-22,-0.807,0.56
2018-10-23,0.995,0.559
2018-11-30,0.998,0.561
2019-01-03,0.98,0.559
2019-02-22,0.997,0.559
2019-04-01,0.994,0.736
2019-04-16,0.906,0.723
2019-04-18,-0.949,0.703
2019-04-22,-0.924,0.429
2019-04-25,0.754,0.394
2019-04-29,-0.987,0.113
2019-05-01,0.362,0.022
2019-05-07,0.906,0.01
2019-05-10,-0.987,-0.261
2019-05-13,0.906,0.004
2019-05-14,-0.924,0.004
2019-05-15,0.036,-0.098
2019-05-16,-0.985,-0.098
2019-05-17,-0.422,-0.21
2019-05-20,-0.924,-0.471
2019-05-21,0.906,-0.201
2019-05-22,0.863,-0.207
2019-05-23,-0.993,-0.217
2019-05-24,0.844,-0.102
2019-05-26,0.71,0.141
2019-05-27,-0.924,0.069
2019-05-29,0.975,0.34
2019-05-30,-0.966,0.073
2019-05-31,-0.705,-0.151
2019-06-03,0.032,-0.005
2019-06-06,-0.989,-0.267
2019-06-07,-0.988,-0.509
2019-06-10,-0.924,-0.509
2019-06-13,0.906,-0.519
2019-06-14,-0.988,-0.522
2019-06-16,-0.924,-0.554
2020-03-23,0.994,-0.416
2020-03-24,0.94,-0.141
2020-03-27,0.98,0.141
2020-03-30,0.156,0.295
2020-04-07,0.238,0.199
2020-04-08,0.559,0.42
2020-04-09,0.987,0.693
2020-04-23,-0.781,0.44
2020-04-24,0.999,0.448
2020-04-27,0.892,0.436
2020-04-28,0.98,0.553
2020-04-30,0.994,0.661
2020-05-01,0.998,0.724
2020-05-05,0.648,0.676
2020-05-06,0.991,0.929
2020-05-07,0.978,0.926
2020-05-12,0.997,0.941
2020-05-13,-0.027,0.797
2020-05-14,0.972,0.794
2020-05-15,0.984,0.792
2020-05-18,0.996,0.842
2020-05-19,0.998,0.843
2020-05-20,0.85,0.824
2020-05-28,0.973,0.821
2020-06-10,0.996,0.967
2020-06-15,0.953,0.964
2020-06-19,0.995,0.966
2020-06-24,-0.908,0.694
2020-06-29,0.302,0.594
2020-07-02,0.344,0.522
2020-07-03,-0.153,0.361
2020-07-07,0.901,0.348
2020-07-08,-0.676,0.115
2020-07-11,0.994,0.115
2020-07-14,0.992,0.386
2020-07-15,0.999,0.486
2020-07-16,0.927,0.569
2020-07-17,0.819,0.708
2020-07-20,0.987,0.72
2020-07-30,0.976,0.956
2020-08-03,0.939,0.948
2020-08-05,0.906,0.936
2020-08-06,0.984,0.934
2020-08-07,0.989,0.943
2020-08-10,0.991,0.967
2020-08-11,0.998,0.969
2020-08-13,0.882,0.956
2020-08-18,0.921,0.953
2020-08-19,0.988,0.965
2020-08-20,-0.908,0.694
2020-08-21,0.998,0.696
2020-08-24,0.003,0.555
2020-08-25,0.991,0.554
2020-08-27,-0.103,0.413
2020-08-28,0.674,0.378
2020-08-31,0.997,0.379
2020-09-02,0.469,0.576
2020-09-03,0.55,0.512
2020-09-04,0.352,0.561
2020-09-08,0.649,0.513
2020-09-09,1.0,0.67
2020-09-10,0.982,0.714
2020-09-11,0.78,0.683
2020-09-14,0.866,0.74
2020-09-15,0.993,0.803
2020-09-16,0.975,0.892
2020-09-17,0.9,0.928
2020-09-22,0.703,0.886
2020-09-24,0.73,0.85
2020-09-28,0.984,0.879
2020-09-29,0.561,0.835
2020-10-01,0.664,0.788
2020-10-06,0.968,0.787
2020-10-07,0.98,0.799
2020-10-08,0.99,0.84
2020-10-09,1.0,0.878
2020-10-12,0.653,0.831
2020-10-13,-0.05,0.744
2020-10-16,0.989,0.79
2020-10-20,0.979,0.792
2020-10-21,0.994,0.794
2020-10-22,0.202,0.681
2020-10-23,0.994,0.68
2020-10-24,0.63,0.677
2020-10-26,0.997,0.826
2020-10-27,0.971,0.824
2020-10-28,0.956,0.821
2020-10-29,0.986,0.819
2020-10-30,0.378,0.845
2020-11-02,0.458,0.768
2020-11-03,0.986,0.819
2020-11-09,-0.51,0.604
2020-11-10,0.993,0.607
2020-11-11,0.988,0.611
2020-11-13,0.992,0.612
2020-11-14,0.977,0.698
2020-11-23,0.993,0.774
2020-11-25,0.865,0.757
2020-11-28,0.976,0.969
2020-11-30,0.06,0.836
2020-12-01,0.987,0.836
2020-12-04,0.987,0.835
2020-12-05,0.766,0.805
2020-12-06,0.844,0.784
2020-12-07,0.988,0.801
2020-12-09,0.988,0.803
2020-12-10,0.991,0.936
2020-12-11,0.997,0.937
2020-12-14,-0.1,0.782
2020-12-15,0.217,0.704
2020-12-16,0.923,0.715
2020-12-17,-0.002,0.573
2020-12-19,-0.917,0.301
2020-12-21,-0.883,0.034
2020-12-22,0.971,0.03
2020-12-23,0.99,0.186
2020-12-24,-0.064,0.145
2020-12-25,1.0,0.156
2020-12-28,0.507,0.229
2020-12-29,0.875,0.485
2020-12-30,0.914,0.742
