Date,Average Score,7 MA
01/01/2022,0.293,
01/01/2023,0.64,
01/01/2024,0.993,
01/02/2021,0.991,
01/02/2022,0.654,
01/02/2023,0.512,
01/02/2024,0.699,0.683
01/02/2025,0.761,0.75
01/03/2021,0.782,0.77
01/03/2022,-0.02,0.626
01/03/2023,0.462,0.55
01/03/2024,0.742,0.563
01/03/2025,1.0,0.632
01/04/2019,0.994,0.674
01/04/2021,0.721,0.669
01/04/2022,0.464,0.623
01/04/2023,0.296,0.668
01/04/2024,0.624,0.692
01/04/2025,0.017,0.588
01/05/2019,0.362,0.497
01/05/2020,0.998,0.497
01/05/2021,0.351,0.445
01/05/2022,0.888,0.505
01/05/2023,0.333,0.51
01/05/2024,0.665,0.516
01/05/2025,0.081,0.525
01/06/2021,0.743,0.58
01/06/2022,0.542,0.515
01/06/2023,0.481,0.533
01/06/2024,0.754,0.514
01/07/2021,0.749,0.574
01/07/2022,0.414,0.538
01/07/2023,0.39,0.582
01/07/2024,0.645,0.568
01/08/2021,0.529,0.566
01/08/2022,0.56,0.577
01/08/2023,0.74,0.575
01/08/2024,0.568,0.549
01/09/2021,0.507,0.563
01/09/2022,0.357,0.558
01/09/2023,0.842,0.586
01/09/2024,0.554,0.59
01/10/2020,0.664,0.605
01/10/2021,0.663,0.594
01/10/2022,0.617,0.601
01/10/2023,0.332,0.576
01/10/2024,0.524,0.599
01/11/2021,0.471,0.546
01/11/2022,0.326,0.514
01/11/2023,0.558,0.499
01/11/2024,0.282,0.444
01/12/2020,0.987,0.497
01/12/2021,0.464,0.516
01/12/2022,-0.071,0.431
01/12/2023,0.428,0.425
01/12/2024,-0.4,0.321
02/01/2022,0.67,0.337
02/01/2023,0.604,0.383
02/01/2024,0.286,0.283
02/02/2021,0.371,0.27
02/02/2022,0.598,0.365
02/02/2023,0.334,0.352
02/02/2024,0.631,0.499
02/02/2025,0.991,0.545
02/03/2021,0.813,0.575
02/03/2022,0.264,0.572
02/03/2023,0.391,0.575
02/03/2024,0.581,0.572
02/04/2021,0.649,0.617
02/04/2022,0.534,0.603
02/04/2023,0.606,0.548
02/04/2024,0.704,0.533
02/04/2025,0.241,0.529
02/05/2021,0.169,0.498
02/05/2022,0.123,0.432
02/05/2023,0.238,0.374
02/05/2024,0.687,0.395
02/05/2025,0.054,0.317
02/06/2021,0.594,0.301
02/06/2022,0.333,0.314
02/06/2023,0.553,0.369
02/06/2024,0.628,0.441
02/07/2020,0.344,0.456
02/07/2021,0.638,0.449
02/07/2022,0.26,0.479
02/07/2023,0.57,0.475
02/07/2024,0.531,0.503
02/08/2021,0.637,0.515
02/08/2022,0.395,0.482
02/08/2023,0.72,0.536
02/08/2024,0.588,0.529
02/09/2020,0.469,0.559
02/09/2021,0.521,0.552
02/09/2022,0.544,0.553
02/09/2023,0.999,0.605
02/09/2024,0.736,0.654
02/10/2021,0.424,0.612
02/10/2022,0.302,0.571
02/10/2023,0.429,0.565
02/10/2024,0.654,0.584
02/11/2020,0.458,0.572
02/11/2021,0.593,0.514
02/11/2022,0.284,0.449
02/11/2023,0.458,0.454
02/11/2024,0.655,0.504
02/12/2021,0.092,0.456
02/12/2022,0.368,0.415
02/12/2023,0.444,0.413
02/12/2024,0.1,0.343
03/01/2019,0.98,0.442
03/01/2021,0.938,0.511
03/01/2022,0.739,0.523
03/01/2023,0.198,0.538
03/01/2024,0.522,0.56
03/01/2025,0.213,0.527
03/02/2021,0.925,0.645
03/02/2022,0.296,0.547
03/02/2023,0.255,0.45
03/02/2024,0.935,0.478
03/02/2025,0.295,0.492
03/03/2021,0.159,0.44
03/03/2022,0.294,0.451
03/03/2023,0.313,0.364
03/03/2024,0.588,0.406
03/03/2025,0.056,0.377
03/04/2021,0.979,0.383
03/04/2022,0.271,0.38
03/04/2023,0.382,0.412
03/04/2024,0.4,0.427
03/04/2025,0.075,0.393
03/05/2021,0.458,0.374
03/05/2022,0.399,0.423
03/05/2023,0.685,0.381
03/05/2024,0.52,0.417
03/05/2025,0.369,0.415
03/06/2019,0.032,0.363
03/06/2021,0.712,0.454
03/06/2022,0.347,0.438
03/06/2024,0.662,0.475
03/07/2020,-0.153,0.356
03/07/2021,0.72,0.384
03/07/2022,0.02,0.334
03/07/2023,0.67,0.425
03/07/2024,0.705,0.424
03/08/2020,0.939,0.509
03/08/2021,0.672,0.51
03/08/2022,0.499,0.604
03/08/2023,0.462,0.567
03/08/2024,0.594,0.649
03/09/2020,0.55,0.632
03/09/2021,0.134,0.55
03/09/2022,0.336,0.464
03/09/2023,0.999,0.511
03/09/2024,0.742,0.545
03/10/2021,0.588,0.563
03/10/2022,0.519,0.553
03/10/2023,0.501,0.546
03/10/2024,0.828,0.645
03/11/2020,0.986,0.738
03/11/2021,0.699,0.695
03/11/2022,0.348,0.638
03/11/2023,0.419,0.614
03/11/2024,0.0,0.54
03/12/2021,0.554,0.548
03/12/2022,0.049,0.436
03/12/2023,0.554,0.375
03/12/2024,0.1,0.289
04/01/2021,0.963,0.377
04/01/2022,0.601,0.403
04/01/2023,0.141,0.423
04/01/2024,0.324,0.39
04/01/2025,0.477,0.451
04/02/2021,0.999,0.515
04/02/2022,0.577,0.583
04/02/2023,0.85,0.567
04/02/2024,0.738,0.587
04/02/2025,0.207,0.596
04/03/2021,0.826,0.668
04/03/2022,0.169,0.624
04/03/2023,0.584,0.564
04/03/2024,0.347,0.532
04/03/2025,0.047,0.417
04/04/2021,0.537,0.388
04/04/2022,0.542,0.436
04/04/2023,0.569,0.399
04/04/2024,0.001,0.375
04/04/2025,0.116,0.308
04/05/2021,0.431,0.32
04/05/2022,0.382,0.368
04/05/2023,0.534,0.368
04/05/2024,0.903,0.419
04/05/2025,0.118,0.355
04/06/2021,0.525,0.43
04/06/2022,0.388,0.469
04/06/2023,0.691,0.506
04/06/2024,0.794,0.565
04/07/2021,0.608,0.575
04/07/2022,0.441,0.509
04/07/2023,0.442,0.556
04/07/2024,0.862,0.604
04/08/2021,0.393,0.604
04/08/2022,0.337,0.554
04/08/2023,0.584,0.524
04/08/2024,0.814,0.553
04/09/2020,0.352,0.541
04/09/2021,0.098,0.491
04/09/2022,0.422,0.429
