Date,Average Score,7 MA
2025-02-07,0.156,
2025-02-08,0.04,
2025-02-10,0.05,
2025-02-13,-0.288,
2025-02-14,0.0,
2025-02-19,0.0,
2025-02-20,0.148,0.015
2025-02-24,0.25,0.029
2025-02-25,0.0,0.023
2025-02-26,0.062,0.025
2025-02-27,0.0,0.066
2025-02-28,0.0,0.066
2025-03-01,-0.078,0.055
2025-03-03,-0.08,0.022
2025-03-04,0.197,0.014
2025-03-05,0.058,0.023
2025-03-06,0.067,0.023
2025-03-07,0.0,0.023
2025-03-08,0.0,0.023
2025-03-09,0.0,0.035
2025-03-10,-0.021,0.043
2025-03-11,-0.002,0.015
2025-03-12,0.0,0.006
2025-03-13,0.0,-0.003
2025-03-14,-0.2,-0.032
2025-03-15,0.0,-0.032
2025-03-16,-0.5,-0.103
2025-03-17,-0.067,-0.11
2025-03-18,0.018,-0.107
2025-03-19,0.15,-0.086
2025-03-20,0.025,-0.082
2025-03-21,-0.009,-0.055
2025-03-22,-0.078,-0.066
2025-03-23,-0.042,-0.0
2025-03-24,0.012,0.011
2025-03-25,0.042,0.014
2025-03-26,0.0,-0.007
2025-03-27,0.246,0.024
