Date,Average Score,7 MA
01/01/2025,-0.193,
01/02/2022,0.084,
01/02/2024,0.058,
01/03/2022,0.096,
01/03/2023,0.119,
01/03/2024,0.144,
01/03/2025,-0.078,0.033
01/04/2022,0.118,0.077
01/04/2023,0.227,0.098
01/04/2025,0.0,0.089
01/05/2021,0.063,0.085
01/05/2023,-0.1,0.053
01/05/2024,0.136,0.052
01/05/2025,0.017,0.066
01/06/2023,0.163,0.072
01/07/2023,0.082,0.052
01/07/2024,0.126,0.07
01/08/2024,0.088,0.073
01/09/2020,0.098,0.101
01/09/2021,0.088,0.095
01/09/2023,0.228,0.125
01/09/2024,0.071,0.112
01/10/2021,0.163,0.123
01/10/2022,0.087,0.118
01/10/2024,-0.053,0.097
01/11/2021,0.089,0.096
01/11/2022,0.09,0.096
01/11/2023,0.059,0.072
01/11/2024,0.05,0.069
01/12/2022,0.144,0.067
01/12/2023,0.066,0.064
02/01/2025,0.088,0.084
02/02/2022,0.085,0.083
02/02/2023,0.174,0.095
02/02/2024,0.198,0.115
02/03/2021,-0.002,0.108
02/03/2022,0.03,0.091
02/03/2023,0.129,0.1
02/04/2021,0.079,0.099
02/04/2024,0.079,0.098
02/04/2025,0.0,0.073
02/05/2021,0.035,0.05
02/05/2022,0.037,0.056
02/05/2023,0.059,0.06
02/05/2024,0.066,0.051
02/05/2025,-0.244,0.005
02/06/2022,-0.011,-0.008
02/06/2023,0.022,-0.005
02/07/2021,0.142,0.01
02/07/2023,0.182,0.031
02/08/2022,0.078,0.034
02/08/2024,0.074,0.035
02/09/2024,-0.066,0.06
02/10/2020,0.099,0.076
02/10/2023,0.064,0.082
02/10/2024,-0.025,0.058
02/11/2021,0.087,0.044
02/11/2022,0.09,0.046
02/11/2023,0.025,0.039
02/12/2024,0.044,0.055
03/01/2022,0.086,0.053
03/01/2025,0.022,0.047
03/02/2022,0.073,0.061
03/02/2023,0.161,0.072
03/03/2021,0.042,0.065
03/03/2022,0.064,0.07
03/03/2023,0.0,0.064
03/03/2024,0.1,0.066
03/03/2025,-0.067,0.053
03/04/2022,0.0,0.043
03/04/2023,0.104,0.035
03/04/2024,0.307,0.073
03/04/2025,0.0,0.063
03/05/2021,0.108,0.079
03/05/2022,0.175,0.09
03/05/2023,-0.005,0.098
03/05/2024,0.108,0.114
03/05/2025,0.0,0.099
03/07/2024,0.073,0.066
03/08/2021,0.076,0.076
03/08/2022,0.12,0.078
03/08/2023,0.124,0.071
03/08/2024,0.122,0.089
03/09/2024,0.117,0.09
03/10/2022,0.067,0.1
03/10/2023,-0.099,0.075
03/11/2020,0.085,0.077
