Date,Average Score,7 MA
2024-07-17,0.167,
2024-07-18,0.091,
2024-07-19,0.225,
2024-07-20,0.075,
2024-07-21,0.213,
2024-07-23,0.117,
2024-07-29,0.0,0.127
2024-07-30,0.0,0.103
2024-08-04,0.0,0.09
2024-08-06,0.5,0.129
2024-08-08,0.08,0.13
2024-09-10,-0.05,0.092
2024-09-18,0.2,0.104
2024-10-23,0.0,0.104
2024-10-29,0.15,0.126
2024-11-05,-0.067,0.116
2024-11-07,0.2,0.073
2024-11-22,0.025,0.065
2024-12-02,0.2,0.101
2024-12-03,0.275,0.112
2024-12-05,0.0,0.112
2024-12-11,0.0,0.09
2024-12-18,0.2,0.129
2025-01-10,0.0,0.1
2025-01-14,-0.1,0.082
2025-01-15,0.375,0.107
2025-01-17,0.286,0.109
2025-02-07,0.7,0.209
2025-02-10,0.1,0.223
2025-02-12,0.004,0.195
2025-02-13,0.119,0.212
2025-02-25,0.225,0.258
2025-02-27,0.168,0.229
2025-02-28,-0.25,0.152
2025-03-01,0.0,0.052
2025-03-03,0.0,0.038
2025-03-04,0.114,0.054
2025-03-05,-0.04,0.031
2025-03-06,0.0,-0.001
2025-03-10,0.0,-0.025
2025-03-12,0.168,0.035
2025-03-13,0.493,0.105
2025-03-14,0.012,0.107
2025-03-15,0.0,0.09
2025-03-16,0.05,0.103
2025-03-17,0.13,0.122
2025-03-18,0.0,0.122
2025-03-19,0.25,0.134
2025-03-20,0.067,0.073
2025-03-21,0.4,0.128
2025-03-23,0.2,0.157
2025-03-24,0.0,0.15
2025-03-25,0.067,0.141
2025-03-26,0.0,0.141
