Date,Average Score,7 MA
01/02/2022,0.12,
01/02/2024,0.077,
01/03/2021,0.213,
01/03/2023,0.152,
01/03/2025,0.0,
01/05/2024,0.065,
01/05/2025,0.033,0.094
01/07/2021,0.124,0.095
01/07/2023,0.082,0.096
01/08/2022,0.093,0.078
01/09/2020,-0.017,0.054
01/09/2021,0.102,0.069
01/10/2021,0.05,0.067
01/10/2023,0.17,0.086
01/10/2024,0.095,0.082
01/11/2021,0.089,0.083
01/11/2022,0.137,0.089
01/11/2023,0.064,0.101
01/12/2021,0.092,0.1
02/01/2024,0.105,0.107
02/02/2022,0.122,0.101
02/03/2021,0.1,0.101
02/03/2022,0.108,0.104
02/04/2024,0.045,0.091
02/04/2025,0.0,0.082
02/05/2022,0.099,0.083
02/05/2024,0.053,0.075
02/05/2025,-0.016,0.056
02/08/2021,0.107,0.057
02/08/2022,0.116,0.058
02/08/2023,0.056,0.059
02/08/2024,0.126,0.077
02/09/2020,-0.008,0.062
02/09/2021,0.161,0.077
02/09/2023,0.0,0.08
02/11/2021,0.096,0.078
02/11/2022,0.05,0.069
02/11/2023,0.117,0.077
02/12/2022,0.202,0.088
02/12/2024,0.19,0.117
03/01/2022,0.082,0.105
03/02/2022,0.073,0.116
03/03/2021,0.034,0.107
03/03/2022,0.047,0.106
03/03/2025,0.0,0.09
03/04/2021,0.115,0.077
03/04/2023,0.046,0.057
03/04/2024,0.121,0.062
03/04/2025,0.0,0.052
03/05/2021,0.09,0.06
03/05/2023,0.085,0.065
03/05/2024,-0.029,0.061
03/05/2025,0.2,0.073
03/06/2021,0.412,0.126
03/08/2021,0.154,0.13
03/08/2022,0.067,0.14
03/08/2023,0.083,0.139
03/09/2020,-0.03,0.122
03/09/2021,0.097,0.14
03/10/2020,0.032,0.116
03/10/2021,0.063,0.067
03/11/2021,0.073,0.055
03/11/2022,0.167,0.069
03/12/2021,0.052,0.065
03/12/2024,0.231,0.102
04/01/2025,0.167,0.112
04/02/2024,0.124,0.125
04/03/2021,-0.006,0.115
04/03/2025,0.114,0.121
04/04/2021,0.082,0.109
04/05/2021,0.048,0.109
04/05/2022,0.066,0.085
04/05/2023,0.028,0.065
04/06/2021,0.1,0.062
04/08/2021,0.073,0.073
04/08/2022,0.1,0.071
04/08/2023,0.117,0.076
04/08/2024,0.0,0.069
04/10/2021,0.042,0.066
04/10/2023,0.125,0.08
04/11/2021,0.03,0.07
04/11/2022,0.15,0.081
04/11/2023,0.08,0.078
04/12/2020,0.101,0.075
04/12/2024,0.078,0.087
05/01/2022,0.059,0.089
05/03/2025,-0.04,0.065
05/04/2021,0.083,0.073
05/04/2023,0.1,0.066
05/05/2021,0.019,0.057
05/05/2022,0.025,0.046
05/05/2025,0.0,0.035
05/06/2023,0.355,0.077
05/08/2021,0.012,0.085
05/10/2020,0.033,0.078
05/10/2021,-0.056,0.055
05/10/2022,0.125,0.071
05/10/2023,0.082,0.079
05/11/2021,0.0,0.079
05/11/2024,-0.067,0.018
05/12/2022,0.201,0.045
05/12/2024,0.0,0.041
06/01/2022,0.049,0.056
06/02/2024,0.096,0.052
06/03/2021,0.022,0.043
06/03/2025,0.0,0.043
06/04/2021,0.044,0.059
06/04/2022,0.016,0.032
06/04/2024,0.054,0.04
06/05/2021,0.011,0.035
06/05/2024,0.139,0.041
06/05/2025,0.083,0.05
06/06/2023,0.094,0.063
06/07/2022,-0.119,0.04
06/07/2023,0.126,0.055
06/08/2021,0.014,0.05
06/08/2023,0.0,0.048
06/08/2024,0.392,0.084
06/09/2022,0.095,0.086
06/11/2021,0.0,0.073
06/12/2021,0.081,0.101
07/01/2023,0.234,0.117
07/02/2021,0.184,0.141
07/02/2022,0.077,0.152
07/02/2023,0.16,0.119
07/02/2024,0.099,0.119
07/02/2025,0.7,0.219
07/04/2021,0.09,0.221
07/04/2022,0.048,0.194
07/04/2025,0.1,0.182
07/05/2021,0.062,0.18
07/05/2022,0.0,0.157
07/06/2021,0.187,0.17
07/07/2021,0.064,0.079
07/07/2022,0.069,0.076
07/07/2024,0.043,0.075
07/08/2021,0.058,0.069
07/08/2024,0.055,0.068
07/09/2023,0.103,0.083
07/10/2020,0.001,0.056
07/10/2021,0.132,0.066
07/11/2021,0.194,0.084
07/11/2024,0.2,0.106
07/12/2021,0.102,0.112
08/01/2022,0.123,0.122
08/01/2025,0.158,0.13
08/02/2022,0.09,0.143
08/02/2023,0.087,0.136
08/03/2021,0.019,0.111
08/04/2021,0.135,0.102
08/04/2022,0.084,0.099
08/04/2025,0.075,0.093
08/05/2023,0.11,0.086
08/05/2025,0.225,0.105
08/06/2021,-0.03,0.088
08/07/2021,0.138,0.105
08/07/2024,0.055,0.094
08/08/2024,0.08,0.093
08/09/2021,0.145,0.103
08/11/2021,0.152,0.109
08/11/2022,-0.007,0.076
08/11/2023,0.149,0.102
08/12/2021,0.065,0.091
09/01/2024,0.165,0.107
09/02/2022,0.087,0.108
09/02/2023,0.088,0.1
09/02/2024,0.078,0.089
09/03/2021,0.072,0.101
09/03/2023,0.114,0.096
09/04/2021,0.139,0.106
09/04/2025,0.067,0.092
09/05/2022,0.118,0.097
09/06/2021,0.011,0.086
09/08/2021,0.146,0.095
09/08/2022,-0.083,0.073
09/08/2023,0.153,0.079
09/08/2024,0.097,0.073
09/10/2020,0.032,0.068
09/10/2024,0.122,0.068
09/11/2022,0.21,0.097
09/12/2021,0.1,0.09
09/12/2024,0.222,0.134
10/01/2022,-0.059,0.103
10/01/2025,0.0,0.09
10/02/2025,0.1,0.099
10/03/2025,0.0,0.082
10/04/2021,0.165,0.075
10/04/2024,0.136,0.081
10/04/2025,0.05,0.056
10/05/2023,0.067,0.074
10/06/2021,-0.017,0.072
10/06/2023,0.151,0.079
10/07/2024,0.122,0.096
10/08/2021,0.058,0.081
10/09/2020,0.009,0.063
10/09/2021,0.088,0.068
10/09/2022,0.157,0.081
10/09/2023,0.073,0.094
10/09/2024,-0.007,0.071
10/11/2021,0.051,0.061
10/11/2022,0.152,0.075
10/12/2021,0.089,0.086
11/01/2023,-0.065,0.064
11/02/2022,0.119,0.059
11/04/2022,0.144,0.069
11/04/2023,0.009,0.071
11/04/2025,0.05,0.071
11/05/2021,0.07,0.059
11/06/2021,0.118,0.064
11/06/2024,0.162,0.096
11/07/2022,0.056,0.087
11/08/2021,0.048,0.073
11/08/2022,0.128,0.09
11/10/2022,0.059,0.092
11/10/2023,0.154,0.104
11/12/2021,0.11,0.102
11/12/2024,0.0,0.079
12/01/2023,0.0,0.071
12/01/2024,0.082,0.076
12/02/2021,-0.128,0.04
12/02/2025,0.004,0.032
12/03/2021,0.074,0.02
12/03/2022,-0.026,0.001
12/03/2025,0.168,0.025
12/04/2022,-0.1,0.011
12/04/2023,0.121,0.016
12/04/2025,0.0,0.034
12/06/2023,0.169,0.058
12/07/2021,0.134,0.067
12/07/2023,0.137,0.09
12/08/2021,-0.016,0.064
12/08/2022,0.088,0.09
12/10/2021,0.096,0.087
12/10/2023,0.109,0.102
12/11/2022,0.125,0.096
12/12/2021,-0.002,0.077
12/12/2022,0.132,0.076
13/02/2023,0.075,0.089
13/02/2025,0.119,0.093
13/03/2021,0.194,0.107
13/03/2025,0.493,0.162
13/04/2023,0.132,0.163
13/04/2025,0.0,0.164
13/05/2021,0.079,0.156
13/06/2021,0.001,0.145
13/06/2023,0.124,0.146
13/06/2024,0.079,0.13
13/07/2021,0.125,0.077
13/07/2022,0.163,0.082
13/10/2020,0.032,0.086
13/10/2022,0.115,0.091
13/11/2021,0.057,0.099
13/11/2022,0.046,0.088
13/12/2021,0.098,0.091
14/01/2022,0.024,0.076
14/01/2025,-0.038,0.048
14/02/2022,0.1,0.057
14/02/2023,0.087,0.053
14/02/2024,0.079,0.057
14/03/2021,0.05,0.057
14/03/2022,0.052,0.051
14/03/2025,0.012,0.049
14/04/2021,0.036,0.059
14/04/2022,0.064,0.054
14/04/2025,0.05,0.049
14/05/2023,0.107,0.053
14/05/2024,0.082,0.058
14/06/2021,0.011,0.052
14/06/2023,0.116,0.067
14/07/2021,0.0,0.061
14/07/2023,0.186,0.079
14/09/2023,0.1,0.086
14/10/2020,0.038,0.076
14/10/2021,0.129,0.083
14/11/2023,0.073,0.092
15/01/2025,0.34,0.124
15/02/2022,0.146,0.145
15/02/2023,0.034,0.123
15/02/2024,0.017,0.111
15/03/2023,0.137,0.125
15/03/2024,0.08,0.118
15/03/2025,0.0,0.108
15/04/2023,0.283,0.1
15/04/2025,0.025,0.082
15/06/2021,0.197,0.106
15/07/2021,-0.047,0.096
15/07/2022,0.064,0.086
15/07/2024,0.119,0.092
15/09/2022,0.092,0.105
15/10/2020,-0.016,0.062
15/11/2023,0.091,0.071
15/12/2021,0.065,0.053
16/01/2025,0.122,0.077
16/02/2021,0.098,0.082
16/02/2022,0.068,0.074
16/02/2023,0.085,0.073
16/02/2024,-0.005,0.075
16/03/2023,0.12,0.079
16/03/2025,0.05,0.077
16/04/2021,0.092,0.073
16/04/2025,0.125,0.076
16/05/2022,0.007,0.068
16/06/2021,0.094,0.069
16/07/2021,0.01,0.071
16/07/2024,0.115,0.07
16/08/2021,0.143,0.084
16/08/2023,0.091,0.084
16/09/2020,0.024,0.069
16/11/2021,0.172,0.093
16/12/2021,0.11,0.095
