Date,Average Score,7 MA
2017-03-09,0.997,
2017-12-01,0.994,
2017-12-20,0.995,
2017-12-21,0.557,
2018-02-15,0.994,
2018-04-26,0.995,
2018-08-03,0.995,0.932
2018-09-25,0.983,0.93
2018-10-10,0.997,0.931
2018-11-05,0.999,0.931
2018-12-04,0.992,0.994
2018-12-09,0.989,0.993
2019-01-14,0.995,0.993
2019-05-03,0.996,0.993
2020-03-25,0.996,0.995
2020-03-30,0.992,0.994
2020-04-03,0.959,0.988
2020-04-22,0.37,0.9
2020-04-24,0.732,0.863
2020-04-25,0.999,0.863
2020-04-27,0.809,0.837
2020-04-28,0.98,0.834
2020-04-29,0.997,0.835
2020-04-30,0.994,0.84
2020-05-05,0.982,0.928
2020-05-06,0.997,0.965
2020-05-07,1.0,0.966
2020-05-10,0.996,0.992
2020-05-12,0.997,0.995
2020-05-13,0.308,0.896
2020-05-14,0.994,0.896
2020-05-16,0.785,0.868
2020-05-18,0.998,0.868
2020-05-19,0.998,0.868
2020-05-23,0.985,0.866
2020-05-24,0.983,0.864
2020-05-28,1.0,0.963
2020-06-01,-0.882,0.695
2020-06-05,0.974,0.722
2020-06-06,0.987,0.721
2020-06-10,0.996,0.72
2020-06-26,0.997,0.722
2020-06-27,1.0,0.725
2020-06-30,1.0,0.725
2020-07-02,0.999,0.993
2020-07-07,0.925,0.986
2020-07-10,0.993,0.987
2020-07-14,0.992,0.987
2020-07-15,0.999,0.987
2020-07-16,0.996,0.986
2020-07-23,-0.805,0.728
2020-07-28,0.99,0.727
2020-07-29,0.983,0.735
2020-07-30,-0.977,0.454
2020-08-11,0.993,0.454
2020-08-18,0.989,0.453
2020-08-25,0.992,0.452
2020-08-28,0.998,0.71
2020-08-31,0.997,0.711
2020-09-02,0.776,0.681
2020-09-03,0.977,0.96
2020-09-09,0.999,0.961
2020-09-16,0.992,0.962
2020-09-17,0.983,0.96
2020-09-18,0.997,0.96
2020-09-23,0.993,0.96
2020-09-24,0.987,0.99
2020-09-28,0.992,0.992
2020-09-29,0.974,0.988
2020-10-02,0.5,0.918
2020-10-05,0.995,0.92
2020-10-08,1.0,0.92
2020-10-12,0.995,0.92
2020-10-15,0.934,0.913
2020-10-20,0.973,0.91
2020-10-21,0.995,0.913
2020-10-22,0.942,0.976
2020-10-23,0.984,0.975
2020-10-26,0.997,0.974
2020-10-27,0.98,0.972
2020-10-28,0.353,0.889
2020-10-29,0.95,0.886
2020-10-30,0.986,0.885
2020-11-02,0.975,0.889
2020-11-03,0.34,0.797
2020-11-06,0.999,0.798
2020-11-09,0.442,0.721
2020-11-12,0.997,0.813
2020-11-13,0.987,0.818
2020-11-17,0.992,0.819
2020-11-19,1.0,0.822
2020-11-22,0.993,0.916
2020-11-23,0.921,0.905
2020-11-24,-0.704,0.741
2020-11-25,0.994,0.74
2020-11-28,0.976,0.739
2020-11-29,-0.026,0.593
2020-12-01,0.987,0.592
2020-12-07,0.993,0.592
2020-12-09,0.82,0.577
2020-12-11,0.997,0.82
2020-12-15,0.997,0.821
2020-12-16,0.713,0.783
2020-12-22,0.744,0.893
2020-12-24,0.78,0.863
2020-12-28,0.5,0.793
2020-12-30,0.999,0.819
2021-01-02,0.998,0.819
2021-01-05,0.978,0.816
2021-01-07,1.0,0.857
2021-01-08,0.866,0.874
2021-01-09,0.995,0.905
2021-01-11,0.991,0.975
2021-01-12,0.993,0.974
2021-01-13,0.294,0.874
2021-01-14,1.0,0.877
2021-01-15,0.996,0.876
2021-01-18,0.578,0.835
2021-01-19,0.995,0.835
2021-01-20,0.0,0.694
