Date,Average Score,7 MA
01/01/2023,0.265,
01/01/2024,0.734,
01/01/2025,0.542,
01/02/2021,0.993,
01/02/2022,0.604,
01/02/2023,0.396,
01/02/2024,0.833,0.624
01/02/2025,0.303,0.629
01/03/2021,0.983,0.665
01/03/2022,-0.022,0.584
01/03/2023,0.567,0.523
01/03/2024,0.674,0.533
01/03/2025,0.289,0.518
01/04/2021,0.674,0.495
01/04/2022,0.338,0.5
01/04/2023,0.378,0.414
01/04/2024,0.999,0.56
01/04/2025,-0.102,0.464
01/05/2021,0.784,0.48
01/05/2022,0.35,0.489
01/05/2023,0.433,0.454
01/05/2024,0.744,0.512
01/05/2025,0.095,0.472
01/06/2020,-0.882,0.203
01/06/2021,0.72,0.321
01/06/2022,0.718,0.311
01/06/2023,0.249,0.297
01/06/2024,0.914,0.365
01/07/2021,0.539,0.336
01/07/2022,0.575,0.405
01/07/2024,0.471,0.598
01/08/2021,0.119,0.512
01/08/2022,0.53,0.485
01/08/2023,0.451,0.514
01/08/2024,0.996,0.526
01/09/2021,0.392,0.505
01/09/2022,0.558,0.502
01/09/2023,0.672,0.531
01/09/2024,0.583,0.597
01/10/2021,0.62,0.61
01/10/2022,0.65,0.639
01/10/2023,0.584,0.58
01/10/2024,0.78,0.635
01/11/2021,0.784,0.668
01/11/2022,0.564,0.652
01/11/2023,0.536,0.645
01/11/2024,0.074,0.567
01/12/2017,0.994,0.617
01/12/2020,0.987,0.674
01/12/2021,0.562,0.643
01/12/2022,0.317,0.576
01/12/2023,0.612,0.583
02/01/2021,0.998,0.649
02/01/2022,0.715,0.741
02/01/2023,0.461,0.665
02/01/2024,0.951,0.659
02/01/2025,0.249,0.615
02/02/2021,0.856,0.692
02/02/2022,0.468,0.671
02/02/2023,0.314,0.573
02/02/2024,0.818,0.588
02/02/2025,0.826,0.64
02/03/2021,0.492,0.575
02/03/2022,0.452,0.604
02/03/2023,0.365,0.534
02/03/2024,0.515,0.54
02/03/2025,0.068,0.505
02/04/2021,0.534,0.465
02/04/2022,0.495,0.417
02/04/2024,0.594,0.432
02/04/2025,0.139,0.387
02/05/2021,0.511,0.408
02/05/2022,0.492,0.405
02/05/2023,0.211,0.425
02/05/2024,0.585,0.432
02/05/2025,0.036,0.367
02/06/2021,0.719,0.385
02/06/2022,0.327,0.412
02/06/2023,0.124,0.356
02/06/2024,0.998,0.429
02/07/2020,0.999,0.541
02/07/2021,0.459,0.523
02/07/2022,0.049,0.525
02/07/2024,0.859,0.545
02/08/2021,0.555,0.578
02/08/2022,0.756,0.668
02/08/2023,0.485,0.595
02/08/2024,0.761,0.561
02/09/2020,0.776,0.606
02/09/2021,0.448,0.663
02/09/2022,0.653,0.633
02/09/2024,0.666,0.649
02/10/2020,0.5,0.613
02/10/2021,0.284,0.584
02/10/2022,0.674,0.572
02/10/2023,0.582,0.544
02/10/2024,0.577,0.562
02/11/2020,0.975,0.608
02/11/2021,0.625,0.602
02/11/2022,0.748,0.638
02/11/2023,0.639,0.689
02/12/2021,0.492,0.663
02/12/2022,0.311,0.624
02/12/2023,0.818,0.658
03/01/2022,0.701,0.619
03/01/2023,0.392,0.586
03/01/2024,0.692,0.578
03/02/2021,0.752,0.594
03/02/2022,0.424,0.584
03/02/2023,0.25,0.576
03/02/2024,0.933,0.592
03/02/2025,0.375,0.545
03/03/2021,0.6,0.575
03/03/2022,0.687,0.574
03/03/2023,0.452,0.532
03/03/2024,0.453,0.536
03/03/2025,0.114,0.516
03/04/2020,0.959,0.52
03/04/2021,0.425,0.527
03/04/2022,0.788,0.554
03/04/2023,0.392,0.512
03/04/2024,0.494,0.518
03/04/2025,0.0,0.453
03/05/2019,0.996,0.579
03/05/2021,0.501,0.514
03/05/2022,0.492,0.523
03/05/2023,0.346,0.46
03/05/2024,0.547,0.482
03/05/2025,0.0,0.412
03/06/2021,0.602,0.498
03/06/2022,0.308,0.399
03/06/2024,0.804,0.443
03/07/2021,0.56,0.452
03/07/2022,-0.288,0.362
03/07/2024,0.928,0.416
03/08/2018,0.995,0.558
03/08/2021,0.599,0.558
03/08/2022,0.401,0.571
03/08/2023,0.227,0.489
03/08/2024,0.475,0.477
03/09/2020,0.977,0.657
03/09/2021,0.308,0.569
03/09/2022,0.215,0.457
03/09/2023,0.5,0.443
03/09/2024,0.566,0.467
03/10/2021,0.399,0.491
03/10/2022,0.406,0.482
03/10/2023,0.427,0.403
03/10/2024,0.745,0.465
03/11/2020,0.34,0.483
03/11/2021,0.549,0.49
03/11/2022,0.452,0.474
03/11/2023,0.394,0.473
03/11/2024,0.411,0.474
03/12/2021,0.489,0.483
03/12/2022,0.695,0.476
03/12/2023,0.673,0.523
04/01/2022,0.576,0.527
04/01/2023,0.394,0.519
04/01/2024,0.493,0.533
04/02/2021,0.291,0.516
04/02/2022,0.599,0.532
04/02/2023,0.776,0.543
04/02/2024,0.994,0.589
04/02/2025,0.136,0.526
04/03/2021,0.608,0.557
04/03/2022,-0.051,0.479
04/03/2023,0.59,0.522
04/03/2024,0.503,0.508
04/03/2025,0.088,0.41
04/04/2021,0.607,0.354
04/04/2022,0.672,0.431
04/04/2023,0.484,0.413
04/04/2025,0.5,0.492
04/05/2021,0.68,0.505
04/05/2022,0.598,0.518
04/05/2023,0.475,0.574
04/05/2024,0.708,0.588
04/06/2021,0.715,0.594
04/06/2022,0.33,0.572
04/06/2023,0.435,0.563
04/06/2024,0.813,0.582
04/07/2021,0.778,0.608
04/07/2022,0.468,0.607
04/07/2023,0.818,0.622
04/07/2024,0.845,0.641
04/08/2021,0.482,0.663
04/08/2022,0.303,0.644
04/08/2023,0.923,0.66
04/08/2024,0.716,0.651
04/09/2021,0.552,0.663
04/09/2022,0.541,0.623
04/09/2023,0.654,0.596
04/09/2024,0.982,0.667
04/10/2021,0.552,0.703
04/10/2022,0.369,0.624
04/10/2023,0.697,0.621
04/10/2024,0.678,0.639
04/11/2021,0.554,0.641
04/11/2022,0.482,0.616
04/11/2023,0.361,0.528
04/11/2024,0.286,0.49
04/12/2018,0.992,0.579
04/12/2021,0.408,0.537
04/12/2022,-0.022,0.437
04/12/2023,0.428,0.419
04/12/2024,0.983,0.491
05/01/2021,0.978,0.579
05/01/2022,0.368,0.591
05/01/2023,0.657,0.543
05/01/2024,0.69,0.583
05/01/2025,0.202,0.615
05/02/2021,0.994,0.696
05/02/2022,0.475,0.623
05/02/2023,0.467,0.55
05/02/2024,0.574,0.58
05/02/2025,0.258,0.523
05/03/2021,0.365,0.476
05/03/2022,0.077,0.459
05/03/2023,0.645,0.409
05/03/2024,0.361,0.392
05/03/2025,-0.02,0.323
05/04/2021,0.382,0.295
05/04/2022,0.385,0.314
05/04/2023,0.515,0.335
05/04/2024,0.027,0.328
05/04/2025,0.0,0.236
05/05/2020,0.982,0.324
05/05/2021,0.41,0.386
05/05/2022,0.532,0.407
05/05/2023,0.394,0.409
05/05/2024,0.37,0.388
05/05/2025,-0.1,0.37
05/06/2020,0.974,0.509
05/06/2021,0.51,0.441
05/06/2022,0.992,0.525
05/06/2023,0.458,0.514
05/06/2024,0.844,0.578
05/07/2021,-0.216,0.495
05/07/2022,0.365,0.561
05/07/2023,0.323,0.468
05/07/2024,0.647,0.488
05/08/2021,0.646,0.438
05/08/2022,0.737,0.478
05/08/2023,0.686,0.455
05/08/2024,0.461,0.552
05/09/2021,0.848,0.621
05/09/2022,0.96,0.712
05/09/2023,-0.096,0.606
05/09/2024,0.735,0.619
05/10/2020,0.995,0.656
05/10/2021,0.512,0.631
05/10/2022,0.49,0.635
05/10/2023,0.501,0.585
05/10/2024,0.938,0.582
05/11/2018,0.999,0.739
05/11/2021,0.472,0.701
05/11/2022,0.229,0.592
05/11/2023,0.627,0.608
05/11/2024,0.538,0.615
05/12/2021,0.778,0.654
05/12/2022,0.32,0.566
05/12/2023,0.71,0.525
06/01/2022,0.478,0.526
06/01/2023,0.791,0.606
06/01/2024,0.723,0.62
06/01/2025,0.096,0.557
06/02/2021,0.103,0.46
06/02/2022,0.528,0.49
06/02/2023,0.519,0.463
06/02/2024,0.614,0.482
06/02/2025,0.278,0.409
06/03/2021,0.799,0.42
06/03/2022,0.223,0.438
06/03/2023,0.367,0.475
06/03/2024,0.406,0.458
06/03/2025,0.084,0.396
06/04/2021,0.64,0.4
06/04/2022,0.583,0.443
06/04/2023,0.528,0.404
06/04/2024,0.65,0.465
06/05/2020,0.997,0.555
06/05/2021,0.398,0.554
06/05/2022,-0.118,0.525
06/05/2024,0.739,0.54
06/05/2025,0.0,0.456
06/06/2020,0.987,0.522
06/06/2021,0.525,0.504
06/06/2022,0.538,0.438
06/06/2023,0.642,0.473
06/06/2024,0.764,0.599
06/07/2021,0.436,0.556
06/07/2022,0.54,0.633
06/07/2023,0.563,0.573
06/07/2024,0.999,0.64
06/08/2021,0.589,0.648
06/08/2022,0.44,0.619
06/08/2023,0.183,0.536
06/08/2024,0.52,0.548
06/09/2021,0.996,0.613
06/09/2022,0.686,0.63
06/09/2023,0.528,0.563
06/09/2024,0.647,0.571
06/10/2021,0.659,0.603
06/10/2022,0.328,0.623
06/10/2023,0.431,0.611
06/11/2020,0.999,0.611
06/11/2021,0.245,0.548
06/11/2022,-0.215,0.442
06/11/2023,0.567,0.431
06/11/2024,0.341,0.385
