Date,Average Score,7 MA
2025-01-24,0.1,
2025-01-25,0.0,
2025-01-26,0.0,
2025-01-27,0.064,
2025-01-28,0.0,
2025-01-29,0.0,
2025-01-30,0.055,0.031
2025-01-31,0.0,0.017
2025-02-01,0.1,0.031
2025-02-02,0.0,0.031
2025-02-03,0.061,0.031
2025-02-04,-0.029,0.027
2025-02-05,0.0,0.027
2025-02-06,0.0,0.019
2025-02-07,-0.075,0.008
2025-02-08,0.0,-0.006
2025-02-09,0.092,0.007
2025-02-10,0.118,0.015
2025-02-11,-0.067,0.01
2025-02-12,0.015,0.012
2025-02-13,-0.1,-0.002
2025-02-14,0.0,0.008
2025-02-15,0.0,0.008
2025-02-17,0.2,0.024
2025-02-18,0.0,0.007
2025-02-19,0.014,0.018
2025-02-20,-0.006,0.015
2025-02-21,0.0,0.03
2025-02-22,0.0,0.03
2025-02-23,0.0,0.03
2025-02-24,0.058,0.009
2025-02-25,0.0,0.009
2025-02-26,0.1,0.022
2025-02-27,0.043,0.029
2025-02-28,0.023,0.032
2025-03-01,-0.075,0.021
2025-03-02,0.0,0.021
2025-03-03,0.0,0.013
2025-03-04,0.1,0.027
2025-03-05,0.0,0.013
