Date,Average Score,7 MA
01/01/2022,0.586,
01/01/2023,0.995,
01/01/2024,0.811,
01/02/2017,0.996,
01/02/2018,0.996,
01/02/2022,0.952,
01/02/2023,0.324,0.809
01/02/2025,0.498,0.796
01/03/2019,0.998,0.796
01/03/2021,0.997,0.823
01/03/2022,0.755,0.789
01/03/2023,0.998,0.789
01/03/2025,0.017,0.655
01/04/2021,0.473,0.677
01/04/2022,0.021,0.608
01/04/2025,-0.062,0.457
01/05/2021,0.0,0.315
01/05/2022,0.994,0.349
01/05/2023,0.173,0.231
01/05/2025,0.0,0.228
01/06/2021,0.999,0.304
01/06/2022,0.613,0.388
01/06/2023,1.0,0.54
01/07/2021,0.993,0.682
01/07/2022,0.874,0.665
01/07/2024,0.84,0.76
01/08/2021,0.103,0.775
01/08/2022,0.903,0.761
01/08/2023,0.89,0.8
01/08/2024,0.604,0.744
01/09/2021,0.964,0.74
01/09/2022,0.997,0.757
01/09/2024,0.981,0.777
01/10/2018,0.961,0.9
01/10/2021,0.861,0.894
01/10/2022,0.995,0.909
01/10/2024,0.844,0.943
01/11/2018,0.934,0.939
01/11/2021,0.772,0.907
01/11/2022,0.895,0.895
01/11/2023,0.437,0.82
01/12/2021,0.27,0.735
01/12/2023,0.999,0.736
02/01/2023,0.999,0.758
02/01/2025,0.491,0.695
02/02/2022,0.855,0.707
02/02/2023,0.142,0.599
02/02/2025,0.27,0.575
02/03/2022,0.151,0.558
02/03/2023,0.874,0.54
02/03/2025,0.0,0.398
02/04/2022,0.536,0.404
02/05/2021,0.495,0.353
02/05/2022,0.997,0.475
02/05/2023,0.248,0.472
02/05/2025,-0.004,0.449
02/06/2021,0.998,0.467
02/06/2022,0.712,0.569
02/06/2023,1.0,0.635
02/07/2019,0.999,0.707
02/07/2020,0.999,0.707
02/07/2021,0.581,0.755
02/07/2023,1.0,0.898
02/07/2024,0.955,0.892
02/08/2022,0.337,0.839
02/08/2023,0.997,0.838
02/08/2024,0.677,0.792
02/09/2021,0.937,0.783
02/09/2022,0.999,0.843
02/10/2020,0.917,0.831
02/10/2021,0.71,0.796
02/10/2023,0.992,0.89
02/10/2024,0.994,0.889
02/11/2021,0.903,0.922
02/11/2022,0.208,0.818
02/11/2023,0.809,0.79
02/12/2022,0.785,0.772
03/01/2019,0.996,0.812
03/01/2022,0.99,0.812
03/01/2023,0.995,0.812
03/02/2022,0.993,0.825
03/02/2023,0.966,0.933
03/02/2025,0.262,0.855
03/03/2021,0.998,0.886
03/03/2023,0.863,0.867
03/03/2024,1.0,0.868
03/03/2025,0.007,0.727
03/04/2023,0.999,0.728
03/04/2024,0.974,0.729
03/04/2025,0.115,0.708
03/05/2021,0.482,0.634
03/05/2022,0.273,0.55
03/05/2023,0.474,0.475
03/05/2024,0.367,0.526
03/05/2025,0.0,0.384
03/06/2020,0.996,0.387
03/06/2021,1.0,0.513
03/06/2022,0.994,0.586
03/06/2023,1.0,0.69
03/06/2024,0.922,0.754
03/07/2023,0.997,0.844
03/07/2024,0.689,0.943
03/08/2021,0.999,0.943
03/08/2022,0.023,0.803
03/08/2023,0.987,0.802
03/09/2015,0.994,0.802
03/09/2020,0.552,0.749
03/09/2021,0.996,0.749
03/09/2022,0.999,0.793
03/09/2023,0.334,0.698
03/10/2017,0.996,0.837
03/10/2022,0.676,0.792
03/11/2021,0.604,0.737
03/11/2022,0.812,0.774
03/11/2023,0.994,0.774
03/12/2020,-0.649,0.538
03/12/2021,0.986,0.631
03/12/2023,0.997,0.631
04/01/2021,1.0,0.678
04/01/2022,0.865,0.715
04/01/2023,0.424,0.66
04/01/2024,0.795,0.631
04/02/2021,0.35,0.774
04/02/2022,0.734,0.738
04/02/2023,0.654,0.689
04/02/2024,0.999,0.689
04/02/2025,0.058,0.573
04/03/2021,0.997,0.655
04/03/2022,0.677,0.638
04/03/2023,0.879,0.714
04/03/2024,0.999,0.752
04/03/2025,0.1,0.673
04/04/2018,0.998,0.673
04/04/2021,0.0,0.664
04/04/2022,0.495,0.593
04/04/2023,0.999,0.639
04/04/2024,0.822,0.63
04/04/2025,0.014,0.49
04/05/2021,0.995,0.618
04/05/2022,-0.569,0.394
04/05/2023,0.998,0.536
04/05/2024,0.998,0.608
04/05/2025,0.057,0.474
04/06/2021,0.527,0.431
04/06/2023,0.999,0.572
04/06/2024,0.961,0.567
04/07/2022,0.999,0.791
04/07/2023,0.995,0.791
04/07/2024,0.822,0.766
04/08/2015,0.986,0.898
04/08/2021,0.924,0.955
04/09/2024,0.983,0.953
04/10/2021,0.959,0.953
04/10/2022,0.666,0.905
04/10/2023,1.0,0.906
04/10/2024,0.994,0.93
04/11/2020,0.637,0.88
04/11/2021,0.266,0.786
04/11/2022,0.849,0.767
04/11/2023,0.998,0.773
04/12/2021,0.318,0.723
04/12/2022,0.994,0.722
04/12/2023,0.758,0.689
05/01/2021,0.998,0.74
05/01/2022,0.7,0.802
05/01/2023,0.999,0.824
05/01/2024,0.876,0.806
05/02/2022,0.888,0.888
05/02/2023,-0.948,0.61
05/02/2024,0.889,0.629
05/02/2025,0.101,0.501
05/03/2021,0.991,0.542
05/03/2023,0.993,0.541
05/03/2024,0.379,0.47
05/03/2025,-0.011,0.342
05/04/2016,0.987,0.618
05/04/2021,0.989,0.633
05/04/2022,0.454,0.683
05/04/2023,0.997,0.684
05/04/2024,0.999,0.685
05/04/2025,0.0,0.631
05/05/2021,1.0,0.775
05/05/2022,0.788,0.747
05/05/2024,0.335,0.653
05/05/2025,0.0,0.588
05/06/2021,0.911,0.576
05/06/2022,0.946,0.569
05/06/2023,0.998,0.711
05/06/2024,0.74,0.674
05/07/2022,0.552,0.64
05/07/2023,0.87,0.717
05/07/2024,0.957,0.853
05/08/2015,0.998,0.866
05/08/2022,0.683,0.828
05/08/2024,0.912,0.816
05/09/2021,0.92,0.842
05/09/2022,0.296,0.805
05/09/2023,0.995,0.823
05/10/2021,0.762,0.795
05/10/2022,0.272,0.691
05/10/2023,0.484,0.663
05/11/2021,0.998,0.675
05/11/2022,0.772,0.654
05/12/2022,0.688,0.71
05/12/2023,0.698,0.668
06/01/2022,0.992,0.701
06/01/2023,0.996,0.804
06/02/2022,0.999,0.878
06/02/2023,0.588,0.819
06/02/2024,0.795,0.822
06/02/2025,0.2,0.753
06/03/2023,0.359,0.704
06/03/2024,0.998,0.705
06/03/2025,0.052,0.57
06/04/2020,0.807,0.543
06/04/2022,0.857,0.581
06/04/2025,0.0,0.468
06/05/2021,0.738,0.544
06/05/2022,0.775,0.604
06/05/2023,0.954,0.598
06/05/2024,0.725,0.694
06/05/2025,0.04,0.584
06/06/2022,0.742,0.568
06/06/2023,0.996,0.71
06/07/2021,0.744,0.711
06/07/2022,0.995,0.742
06/08/2015,0.993,0.748
06/08/2021,0.5,0.716
06/08/2024,0.077,0.721
06/09/2021,0.999,0.758
06/09/2022,0.976,0.755
06/09/2023,0.812,0.765
06/09/2024,1.0,0.765
06/10/2015,0.991,0.765
06/10/2021,0.267,0.732
06/10/2022,0.84,0.841
06/10/2023,0.999,0.841
06/11/2018,1.0,0.844
06/11/2021,1.0,0.871
06/11/2023,0.994,0.87
06/12/2021,0.987,0.87
06/12/2022,0.999,0.974
06/12/2023,0.867,0.978
07/01/2021,0.999,0.978
07/01/2022,0.856,0.957
07/01/2024,0.998,0.957
07/01/2025,0.992,0.957
07/02/2017,0.999,0.959
07/02/2022,0.996,0.958
07/02/2023,0.494,0.905
07/02/2024,0.852,0.884
07/02/2025,-0.075,0.751
07/03/2021,0.0,0.608
07/03/2022,0.992,0.608
07/03/2023,0.104,0.48
07/03/2025,0.0,0.338
07/04/2016,0.996,0.41
07/04/2021,0.871,0.413
07/04/2024,0.818,0.54
07/04/2025,0.125,0.558
07/05/2021,0.902,0.545
07/05/2022,0.997,0.673
07/05/2023,0.959,0.81
07/05/2025,0.027,0.671
07/06/2021,0.857,0.669
07/06/2022,0.505,0.625
07/06/2023,0.521,0.681
07/06/2024,0.671,0.648
