Date,Average Score,7 MA
2025-01-24,0.1,
2025-01-25,0.0,
2025-01-26,-0.1,
2025-01-27,0.05,
2025-01-28,0.14,
2025-01-29,0.0,
2025-01-30,0.07,0.037
2025-01-31,0.033,0.028
2025-02-01,0.052,0.035
2025-02-02,0.0,0.049
2025-02-03,0.111,0.058
2025-02-04,-0.003,0.038
2025-02-05,0.375,0.091
2025-02-06,0.076,0.092
2025-02-07,0.12,0.104
2025-02-08,0.318,0.142
2025-02-10,0.146,0.163
2025-02-11,0.059,0.156
2025-02-12,0.0,0.156
2025-02-13,0.028,0.107
2025-02-14,0.0,0.096
2025-02-15,0.0,0.079
2025-02-16,-0.049,0.026
2025-02-17,0.036,0.011
2025-02-18,0.047,0.009
2025-02-19,0.0,0.009
2025-02-20,0.021,0.008
2025-02-21,0.0,0.008
2025-02-22,0.457,0.073
2025-02-24,0.042,0.086
2025-02-25,0.244,0.116
2025-02-26,-0.1,0.095
2025-02-27,-0.012,0.093
2025-02-28,0.022,0.093
2025-03-01,-0.3,0.05
2025-03-02,-0.233,-0.048
2025-03-03,0.2,-0.026
2025-03-04,0.03,-0.056
