Date,Average Score,7 MA
01/01/2023,-0.126,
01/01/2024,0.998,
01/01/2025,0.0,
01/02/2023,0.474,
01/02/2024,0.676,
01/02/2025,0.16,
01/03/2023,0.642,0.403
01/03/2024,0.71,0.523
01/03/2025,-0.3,0.337
01/04/2024,0.695,0.437
01/04/2025,0.06,0.378
01/05/2023,0.781,0.393
01/05/2024,0.515,0.443
01/05/2025,0.088,0.364
01/06/2023,0.588,0.347
01/06/2024,0.907,0.519
01/07/2022,0.011,0.421
01/07/2023,-0.038,0.407
01/07/2024,0.228,0.328
01/08/2022,0.365,0.307
01/08/2023,0.972,0.433
01/08/2024,0.651,0.442
01/09/2022,0.467,0.379
01/09/2023,0.818,0.495
01/09/2024,0.999,0.643
01/10/2022,0.665,0.705
01/10/2023,0.856,0.775
01/10/2024,0.887,0.763
01/11/2021,0.333,0.718
01/11/2022,0.345,0.7
01/11/2023,0.79,0.696
01/11/2024,0.471,0.621
01/12/2022,0.122,0.543
01/12/2023,0.872,0.546
02/01/2023,0.993,0.561
02/01/2024,0.986,0.654
02/01/2025,0.14,0.625
02/02/2023,0.568,0.593
02/02/2024,0.684,0.624
02/02/2025,0.347,0.656
02/03/2023,0.315,0.576
02/03/2024,0.398,0.491
02/03/2025,-0.233,0.317
02/04/2023,0.572,0.379
02/04/2024,0.588,0.382
02/04/2025,0.035,0.289
02/05/2023,0.666,0.334
02/05/2024,0.611,0.377
02/05/2025,0.097,0.334
02/06/2023,0.684,0.465
02/06/2024,0.559,0.463
02/07/2022,-0.131,0.36
02/07/2024,0.594,0.44
02/08/2022,0.501,0.416
02/08/2023,0.333,0.377
02/08/2024,0.706,0.464
02/09/2022,0.401,0.423
02/09/2023,0.998,0.486
02/09/2024,0.619,0.593
02/10/2022,-0.32,0.463
02/10/2023,0.715,0.493
02/10/2024,0.407,0.504
02/11/2022,0.468,0.47
02/11/2023,0.937,0.546
02/11/2024,0.656,0.497
02/12/2021,0.996,0.551
02/12/2022,0.419,0.657
02/12/2023,1.0,0.698
03/01/2022,0.361,0.691
03/01/2023,0.431,0.686
03/01/2024,0.989,0.693
03/01/2025,0.38,0.654
03/02/2023,0.313,0.556
03/02/2024,0.708,0.597
03/02/2025,0.221,0.486
03/03/2023,0.311,0.479
03/03/2024,0.999,0.56
03/03/2025,0.467,0.486
03/04/2023,0.882,0.557
03/04/2024,0.649,0.605
03/04/2025,0.075,0.515
03/05/2023,0.62,0.572
03/05/2024,0.399,0.584
03/06/2023,0.999,0.584
03/06/2024,0.682,0.615
03/07/2022,-0.985,0.348
03/07/2023,0.334,0.303
03/07/2024,0.868,0.417
03/08/2022,0.228,0.361
03/08/2023,0.663,0.398
03/08/2024,0.62,0.344
03/09/2022,-0.328,0.2
03/09/2023,0.999,0.483
03/09/2024,0.671,0.532
03/10/2022,0.286,0.448
03/10/2023,0.368,0.468
03/10/2024,0.764,0.483
03/11/2022,0.273,0.433
03/11/2023,0.996,0.622
03/11/2024,0.102,0.494
03/12/2022,0.995,0.541
03/12/2023,1.0,0.643
03/12/2024,0.248,0.625
04/01/2022,0.0,0.516
04/01/2023,0.426,0.538
04/01/2024,0.995,0.538
04/02/2023,0.474,0.591
04/02/2024,0.846,0.57
04/02/2025,0.092,0.44
04/03/2023,0.018,0.407
04/03/2024,0.643,0.499
04/03/2025,0.03,0.443
04/04/2023,0.539,0.377
04/04/2024,0.501,0.381
04/04/2025,0.174,0.285
04/05/2023,0.398,0.329
04/05/2024,0.617,0.415
04/06/2023,0.998,0.465
04/06/2024,0.796,0.575
04/07/2022,0.534,0.574
04/07/2023,0.899,0.631
04/07/2024,0.779,0.717
04/08/2022,0.296,0.703
04/08/2023,0.842,0.735
04/08/2024,0.998,0.735
04/09/2022,0.965,0.759
04/09/2023,0.998,0.825
04/09/2024,0.373,0.75
04/10/2022,0.435,0.701
04/10/2023,0.998,0.801
04/10/2024,0.698,0.781
04/11/2022,0.412,0.697
04/11/2023,-0.318,0.514
04/11/2024,0.318,0.417
04/12/2022,0.1,0.378
04/12/2023,0.992,0.457
05/01/2022,0.288,0.356
05/01/2023,0.301,0.299
05/01/2024,0.999,0.383
05/01/2025,-0.29,0.387
05/02/2023,0.527,0.417
05/02/2024,0.292,0.444
05/02/2025,0.42,0.362
05/03/2023,0.752,0.429
05/03/2024,0.394,0.442
05/03/2025,-0.032,0.295
05/04/2023,0.398,0.393
05/04/2024,0.59,0.402
05/04/2025,-0.2,0.332
05/05/2023,0.861,0.395
05/05/2024,0.76,0.396
05/05/2025,0.164,0.363
05/06/2023,0.929,0.5
05/06/2024,0.527,0.519
05/07/2022,0.353,0.485
05/07/2023,0.803,0.628
05/07/2024,0.687,0.603
05/08/2022,0.331,0.542
05/08/2023,0.998,0.661
05/08/2024,0.149,0.55
05/09/2022,0.366,0.527
05/09/2023,0.583,0.56
05/09/2024,0.525,0.52
05/10/2022,0.48,0.49
05/10/2023,0.925,0.575
05/10/2024,0.996,0.575
05/11/2022,0.354,0.604
05/11/2023,0.872,0.676
05/11/2024,0.34,0.642
05/12/2022,0.331,0.614
05/12/2023,0.999,0.688
05/12/2024,0.278,0.596
06/01/2022,0.998,0.596
06/01/2023,0.557,0.625
06/02/2023,0.304,0.544
06/02/2024,0.44,0.558
06/02/2025,0.223,0.543
06/03/2023,0.495,0.471
06/03/2024,0.544,0.509
06/03/2025,0.1,0.38
06/04/2023,0.994,0.443
06/04/2024,0.453,0.464
06/04/2025,0.068,0.411
06/05/2023,0.998,0.522
06/05/2024,0.528,0.526
06/05/2025,0.144,0.469
06/06/2024,0.561,0.535
06/07/2022,0.354,0.444
06/07/2023,0.75,0.486
06/07/2024,0.999,0.619
06/08/2022,0.275,0.516
06/08/2023,0.998,0.583
06/08/2024,0.742,0.668
06/09/2022,0.397,0.645
06/09/2023,0.598,0.68
06/09/2024,0.726,0.676
06/10/2022,0.223,0.566
06/10/2023,0.811,0.642
06/10/2024,0.862,0.623
06/11/2022,-0.074,0.506
06/11/2023,0.996,0.592
06/11/2024,0.113,0.522
06/12/2022,0.154,0.441
06/12/2023,0.999,0.552
06/12/2024,0.494,0.506
07/01/2023,-0.553,0.304
07/01/2024,0.986,0.456
07/01/2025,0.447,0.377
07/02/2023,0.462,0.427
07/02/2024,0.708,0.506
07/02/2025,0.184,0.39
07/03/2023,0.108,0.335
07/03/2024,0.784,0.526
07/03/2025,0.105,0.4
07/04/2023,0.842,0.456
07/04/2024,0.727,0.494
07/04/2025,0.133,0.412
07/05/2023,0.999,0.528
07/05/2024,0.7,0.613
07/05/2025,0.0,0.501
07/06/2023,0.987,0.627
07/06/2024,0.735,0.612
07/07/2022,0.418,0.567
07/07/2023,0.966,0.686
07/07/2024,0.999,0.686
07/08/2022,0.671,0.682
07/08/2023,0.912,0.813
07/08/2024,0.63,0.762
07/09/2022,0.762,0.765
07/09/2023,0.96,0.843
07/09/2024,0.666,0.8
07/10/2022,0.25,0.693
07/10/2024,0.999,0.74
07/11/2022,0.26,0.647
07/11/2023,1.0,0.7
07/11/2024,0.739,0.696
07/12/2022,0.602,0.645
07/12/2023,0.995,0.692
08/01/2023,-0.492,0.586
08/01/2024,0.987,0.584
08/01/2025,0.443,0.611
08/02/2023,0.197,0.496
08/02/2024,0.616,0.478
08/02/2025,0.468,0.459
08/03/2023,0.518,0.391
08/03/2024,0.514,0.535
08/03/2025,0.081,0.405
08/04/2023,0.889,0.469
08/04/2024,0.727,0.545
08/04/2025,0.118,0.474
08/05/2023,0.64,0.498
08/05/2024,0.489,0.494
08/05/2025,0.107,0.436
08/06/2022,0.254,0.461
08/06/2023,0.699,0.433
08/06/2024,0.724,0.433
08/07/2022,0.577,0.499
08/07/2023,0.856,0.529
08/07/2024,0.857,0.582
08/08/2022,0.292,0.608
08/08/2023,0.751,0.679
08/08/2024,0.727,0.683
08/09/2022,0.543,0.658
08/09/2023,1.0,0.718
08/09/2024,0.98,0.736
08/10/2022,0.999,0.756
08/10/2023,0.992,0.856
08/10/2024,0.603,0.835
08/11/2021,0.971,0.87
08/11/2022,0.338,0.84
08/11/2023,0.957,0.834
08/11/2024,0.045,0.701
08/12/2022,0.646,0.65
08/12/2023,0.959,0.646
08/12/2024,0.158,0.582
09/01/2023,0.324,0.49
09/01/2024,0.998,0.584
09/01/2025,0.365,0.499
09/02/2023,0.193,0.52
09/02/2024,0.656,0.522
09/02/2025,0.751,0.492
09/03/2023,0.404,0.527
09/03/2024,0.745,0.587
09/03/2025,0.154,0.467
09/04/2023,1.0,0.558
09/04/2024,0.63,0.62
09/04/2025,0.03,0.531
09/05/2023,0.783,0.535
09/05/2024,0.479,0.546
09/06/2022,0.117,0.456
09/06/2023,0.982,0.574
09/06/2024,0.74,0.537
09/07/2022,0.824,0.565
09/07/2023,0.941,0.695
09/07/2024,0.439,0.646
09/08/2022,0.513,0.651
09/08/2023,0.581,0.717
09/08/2024,0.713,0.679
09/09/2022,0.501,0.645
09/09/2023,0.994,0.669
09/09/2024,0.915,0.665
09/10/2022,0.514,0.676
09/10/2023,1.0,0.745
09/10/2024,0.84,0.782
09/11/2022,-0.072,0.67
09/11/2023,0.994,0.741
09/11/2024,0.271,0.637
09/12/2022,0.273,0.546
09/12/2023,0.993,0.614
09/12/2024,-0.224,0.439
10/01/2023,0.509,0.392
10/01/2024,1.0,0.545
10/01/2025,0.152,0.425
10/02/2023,0.317,0.431
10/02/2024,0.619,0.481
10/02/2025,0.18,0.365
10/03/2023,0.324,0.443
10/03/2024,0.998,0.513
10/03/2025,0.143,0.39
10/04/2023,0.992,0.51
10/04/2024,0.8,0.579
10/04/2025,0.085,0.503
10/05/2023,0.77,0.587
10/05/2024,0.568,0.622
10/06/2022,0.25,0.515
10/06/2023,0.382,0.55
10/06/2024,0.508,0.48
10/07/2022,-0.422,0.306
10/07/2023,0.608,0.381
10/07/2024,0.848,0.392
10/08/2022,0.374,0.364
10/08/2023,0.995,0.47
10/08/2024,0.797,0.53
10/09/2022,0.966,0.595
10/09/2023,1.0,0.798
10/09/2024,0.57,0.793
10/10/2022,0.246,0.707
10/10/2023,0.938,0.787
10/10/2024,0.709,0.747
10/11/2022,0.377,0.687
10/11/2023,0.997,0.691
10/12/2022,0.597,0.633
10/12/2023,0.999,0.695
10/12/2024,0.05,0.667
11/01/2023,0.386,0.588
11/01/2024,0.996,0.629
11/01/2025,0.407,0.633
11/02/2023,0.629,0.581
11/02/2024,0.444,0.559
11/02/2025,0.188,0.443
11/03/2023,0.441,0.499
11/03/2024,0.58,0.526
11/03/2025,0.111,0.4
11/04/2023,0.922,0.474
11/04/2024,0.064,0.393
11/04/2025,0.093,0.343
11/05/2023,0.761,0.425
11/05/2024,1.0,0.504
11/06/2022,0.044,0.428
11/06/2023,0.664,0.507
11/06/2024,0.937,0.509
11/07/2022,0.158,0.522
11/07/2023,0.814,0.625
11/07/2024,0.507,0.589
11/08/2022,0.358,0.497
11/08/2023,0.961,0.628
11/08/2024,0.828,0.652
11/09/2022,-0.977,0.378
11/09/2023,0.859,0.479
11/09/2024,0.656,0.456
11/10/2022,0.319,0.429
11/10/2023,0.991,0.52
11/10/2024,0.386,0.437
11/11/2022,0.338,0.367
11/11/2023,0.978,0.647
11/11/2024,0.778,0.635
11/12/2022,-0.266,0.503
11/12/2023,0.999,0.601
12/01/2023,0.673,0.555
12/01/2024,0.999,0.643
12/01/2025,0.543,0.672
12/02/2023,0.037,0.538
12/02/2024,0.656,0.52
12/02/2025,0.202,0.587
12/03/2023,0.71,0.546
12/03/2024,0.69,0.548
12/03/2025,0.0,0.405
12/04/2023,0.962,0.465
12/04/2024,0.896,0.588
12/04/2025,0.187,0.521
12/05/2023,0.994,0.634
12/05/2024,0.774,0.643
12/06/2022,0.771,0.655
12/06/2023,0.849,0.776
12/06/2024,0.524,0.714
12/07/2022,0.443,0.649
12/07/2023,0.262,0.66
12/07/2024,0.437,0.58
12/08/2022,0.251,0.505
12/08/2023,0.989,0.536
12/08/2024,0.558,0.495
12/09/2022,0.476,0.488
12/09/2023,0.998,0.567
12/09/2024,0.672,0.626
12/10/2022,0.424,0.624
12/10/2023,0.875,0.713
12/10/2024,0.552,0.651
12/11/2022,0.681,0.668
12/11/2024,0.581,0.683
12/12/2022,0.571,0.622
12/12/2023,0.995,0.668
13/01/2023,0.586,0.692
13/01/2024,0.996,0.709
13/01/2025,0.363,0.682
13/02/2023,0.386,0.64
13/02/2024,0.989,0.698
13/02/2025,0.071,0.627
13/03/2023,0.61,0.572
13/03/2024,0.682,0.585
13/03/2025,0.174,0.468
13/04/2023,0.971,0.555
13/04/2024,0.798,0.614
13/04/2025,0.0,0.472
13/05/2023,0.599,0.548
13/05/2024,0.621,0.549
13/06/2022,0.254,0.488
13/06/2023,0.669,0.559
13/06/2024,0.848,0.541
13/07/2022,0.309,0.471
13/07/2023,0.88,0.597
13/07/2024,0.999,0.654
13/08/2022,0.503,0.637
13/08/2023,0.902,0.73
13/08/2024,0.751,0.742
13/09/2022,0.223,0.652
