Date,Average Score,7 MA
2015-07-14,0.998,
2015-07-28,0.999,
2015-08-03,0.999,
2015-08-12,0.992,
2015-08-29,0.993,
2015-08-31,0.997,
2015-09-30,0.997,0.996
2015-10-05,0.996,0.996
2015-10-13,1.0,0.996
2015-10-14,-0.002,0.853
2015-10-15,0.998,0.854
2015-11-03,0.999,0.855
2015-11-12,0.996,0.855
2015-11-20,0.999,0.855
2015-11-30,0.999,0.856
2015-12-10,0.997,0.855
2015-12-31,0.995,0.998
2016-01-12,0.987,0.996
2016-01-25,0.992,0.995
2016-02-03,0.987,0.994
2016-02-10,0.997,0.993
2016-02-15,0.999,0.993
2016-03-07,0.993,0.993
2016-03-08,0.992,0.992
2016-03-16,0.999,0.994
2016-03-24,0.987,0.993
2016-03-29,0.998,0.995
2016-04-04,0.999,0.995
2016-05-11,0.999,0.995
2016-06-08,0.993,0.995
2016-06-15,0.998,0.996
2016-06-20,0.996,0.996
2016-07-25,0.998,0.997
2016-08-23,0.996,0.997
2016-09-07,0.999,0.997
2016-09-19,0.999,0.997
2016-09-23,0.999,0.998
2016-09-27,0.995,0.997
2016-10-24,0.996,0.997
2016-11-03,0.98,0.995
2017-01-19,0.999,0.995
2017-03-23,0.994,0.995
2017-04-04,0.996,0.994
2017-08-17,0.991,0.993
2017-09-19,0.997,0.993
2017-10-05,0.997,0.993
2017-10-23,0.998,0.996
2017-11-01,0.997,0.996
2017-11-13,0.998,0.996
2017-11-29,0.996,0.996
2018-02-05,0.998,0.997
2018-02-08,0.996,0.997
2018-03-05,0.994,0.997
2018-03-16,0.991,0.996
2018-03-19,0.996,0.996
2018-04-16,0.993,0.995
2018-04-17,0.996,0.995
2018-05-03,0.999,0.995
2018-05-24,0.997,0.995
2018-06-14,0.995,0.995
2018-08-21,0.999,0.996
2018-09-25,0.897,0.982
2018-10-29,0.995,0.983
2018-12-06,0.997,0.983
2019-01-17,0.962,0.977
2019-02-12,0.994,0.977
2019-02-24,0.998,0.977
2019-02-27,0.999,0.977
2019-03-07,0.997,0.992
2019-04-09,1.0,0.992
2019-04-16,0.995,0.992
2019-06-05,0.992,0.996
2020-03-23,0.994,0.996
2020-03-30,0.992,0.996
2020-04-10,0.995,0.995
2020-04-15,0.998,0.995
2020-04-22,0.983,0.993
2020-04-23,-0.704,0.75
2020-04-24,0.997,0.751
2020-04-27,0.856,0.731
2020-04-28,0.671,0.685
2020-05-01,0.998,0.686
2020-05-12,0.997,0.685
2020-05-14,0.995,0.687
2020-05-19,0.998,0.93
2020-05-27,0.993,0.93
2020-06-03,0.995,0.95
2020-06-05,0.974,0.993
2020-06-09,0.5,0.922
2020-06-15,0.967,0.917
2020-06-18,0.982,0.916
2020-06-19,0.997,0.915
2020-06-27,1.0,0.916
2020-06-29,-0.1,0.76
2020-07-02,0.999,0.764
2020-07-16,0.671,0.788
2020-08-03,0.852,0.772
2020-08-04,0.98,0.771
2020-08-07,0.989,0.77
2020-08-13,0.982,0.768
2020-08-18,0.997,0.924
2020-08-21,0.999,0.924
2020-08-24,0.992,0.97
2020-08-25,0.979,0.988
2020-08-28,1.0,0.991
2020-09-01,0.976,0.989
2020-09-02,0.922,0.981
2020-09-03,0.125,0.856
2020-09-04,0.418,0.773
2020-09-08,0.649,0.724
2020-09-09,0.997,0.727
2020-09-10,0.982,0.724
2020-09-15,0.993,0.727
2020-09-16,0.975,0.734
2020-09-17,0.949,0.852
2020-09-24,-0.153,0.77
2020-09-28,0.996,0.82
2020-09-29,0.995,0.82
2020-10-01,0.234,0.713
2020-10-07,0.911,0.701
2020-10-08,1.0,0.705
2020-10-09,1.0,0.712
2020-10-12,0.994,0.876
2020-10-15,0.986,0.874
2020-10-20,0.973,0.871
2020-10-23,0.991,0.979
2020-10-28,1.0,0.992
2020-10-30,0.488,0.919
2020-11-02,0.651,0.869
2020-11-05,0.942,0.862
2020-11-06,0.999,0.863
2020-11-09,0.996,0.867
2020-11-12,0.987,0.866
2020-11-13,0.993,0.865
2020-11-16,0.34,0.844
2020-11-17,0.998,0.894
2020-11-19,1.0,0.902
2020-11-23,0.996,0.901
2020-11-24,0.966,0.897
2020-11-26,0.533,0.832
2020-11-30,0.999,0.833
2020-12-06,0.844,0.905
2020-12-07,1.0,0.905
2020-12-09,0.938,0.897
2020-12-10,0.986,0.895
2020-12-11,0.997,0.9
2020-12-15,0.997,0.966
2020-12-16,0.758,0.931
2020-12-17,0.802,0.925
2020-12-18,0.976,0.922
2020-12-21,0.974,0.927
2020-12-22,0.999,0.929
2020-12-23,-0.599,0.701
2020-12-28,0.372,0.612
2020-12-29,0.973,0.642
2020-12-31,0.999,0.671
2021-01-04,0.983,0.672
2021-01-05,0.994,0.674
2021-01-08,0.826,0.65
2021-01-09,0.995,0.877
2021-01-11,0.999,0.967
2021-01-12,0.288,0.869
2021-01-13,0.924,0.858
2021-01-14,0.988,0.859
2021-01-18,1.0,0.86
2021-01-19,0.995,0.884
2021-01-20,0.504,0.814
2021-01-21,0.994,0.813
2021-01-22,0.971,0.911
2021-01-23,-0.273,0.74
2021-01-24,0.03,0.603
2021-01-25,0.844,0.581
2021-01-26,0.967,0.577
2021-01-27,0.999,0.647
2021-01-28,0.999,0.648
2021-01-29,0.509,0.582
2021-01-30,0.422,0.681
2021-02-01,0.984,0.818
2021-02-02,0.895,0.825
2021-02-03,0.46,0.753
2021-02-04,0.919,0.741
2021-02-07,1.0,0.741
2021-02-08,-0.396,0.612
2021-02-09,0.27,0.59
2021-02-10,0.776,0.561
2021-02-11,0.915,0.563
2021-02-12,0.995,0.64
2021-02-13,0.857,0.631
2021-02-14,1.0,0.631
2021-02-16,0.984,0.828
2021-02-17,0.979,0.929
2021-02-18,0.974,0.958
2021-02-19,0.998,0.97
2021-02-20,1.0,0.97
2021-02-21,0.974,0.987
2021-02-22,0.417,0.904
2021-02-23,0.246,0.798
2021-02-24,0.626,0.748
2021-02-26,0.838,0.728
2021-02-27,1.0,0.729
2021-03-01,0.941,0.72
2021-03-02,0.93,0.714
2021-03-03,0.614,0.742
2021-03-04,0.653,0.8
2021-03-05,0.624,0.8
2021-03-06,0.501,0.752
2021-03-07,0.997,0.751
2021-03-08,0.368,0.67
2021-03-09,0.54,0.614
2021-03-10,0.669,0.622
2021-03-11,0.576,0.611
2021-03-12,0.188,0.548
2021-03-13,0.281,0.517
2021-03-14,0.886,0.501
2021-03-15,0.717,0.551
2021-03-16,0.497,0.545
2021-03-17,-0.022,0.446
2021-03-18,0.683,0.461
2021-03-19,0.871,0.559
2021-03-20,0.426,0.58
2021-03-21,0.596,0.538
2021-03-22,0.484,0.505
2021-03-23,0.361,0.486
2021-03-24,0.388,0.544
2021-03-25,0.689,0.545
2021-03-26,0.572,0.502
2021-03-27,0.593,0.526
2021-03-28,0.99,0.582
2021-03-29,0.747,0.62
2021-03-30,0.331,0.616
2021-03-31,0.374,0.614
2021-04-01,0.407,0.573
2021-04-02,0.58,0.575
