Date,Average Score,7 MA
01/01/2022,0.541,
01/01/2023,0.46,
01/01/2024,0.806,
01/01/2025,0.997,
01/02/2021,0.984,
01/02/2022,0.626,
01/02/2023,0.557,0.71
01/02/2024,0.817,0.75
01/02/2025,0.248,0.719
01/03/2021,0.941,0.739
01/03/2022,0.234,0.63
01/03/2023,0.869,0.613
01/03/2024,0.817,0.64
01/03/2025,0.194,0.589
01/04/2021,0.407,0.53
01/04/2022,0.442,0.558
01/04/2023,0.934,0.557
01/04/2024,0.437,0.586
01/04/2025,-0.015,0.459
01/05/2020,0.998,0.485
01/05/2021,0.755,0.565
01/05/2022,0.469,0.574
01/05/2023,0.574,0.593
01/05/2024,0.798,0.574
01/05/2025,0.084,0.523
01/06/2021,0.684,0.623
01/06/2022,0.805,0.596
01/06/2023,0.428,0.549
01/06/2024,0.737,0.587
01/07/2021,0.802,0.62
01/07/2022,0.534,0.582
01/07/2024,0.778,0.681
01/08/2021,0.687,0.682
01/08/2022,0.369,0.619
01/08/2023,0.627,0.648
01/08/2024,0.706,0.643
01/09/2020,0.976,0.668
01/09/2021,0.897,0.72
01/09/2022,0.258,0.646
01/09/2023,0.804,0.662
01/09/2024,0.999,0.752
01/10/2020,0.234,0.696
01/10/2021,0.736,0.701
01/10/2022,0.454,0.626
01/10/2023,0.64,0.589
01/10/2024,0.787,0.665
01/11/2017,0.997,0.692
01/11/2021,0.393,0.606
01/11/2022,0.465,0.639
01/11/2023,0.626,0.623
01/11/2024,0.394,0.615
01/12/2021,0.419,0.583
01/12/2022,0.736,0.576
01/12/2023,0.714,0.535
02/01/2022,-0.919,0.348
02/01/2023,0.723,0.385
02/01/2024,0.68,0.392
02/01/2025,0.527,0.411
02/02/2021,0.895,0.479
02/02/2022,0.41,0.433
02/02/2023,0.565,0.412
02/02/2024,0.878,0.668
02/02/2025,0.696,0.664
02/03/2021,0.93,0.7
02/03/2022,0.389,0.68
02/03/2023,0.613,0.64
02/03/2024,0.74,0.687
02/03/2025,-0.052,0.599
02/04/2021,0.58,0.557
02/04/2022,0.974,0.596
02/04/2024,0.569,0.545
02/04/2025,0.178,0.515
02/05/2021,0.064,0.436
02/05/2022,0.545,0.408
02/05/2023,0.623,0.505
02/05/2024,0.834,0.541
02/05/2025,0.071,0.412
02/06/2021,0.806,0.446
02/06/2022,0.38,0.475
02/06/2023,0.744,0.572
02/06/2024,0.721,0.597
02/07/2020,0.999,0.651
02/07/2021,0.642,0.623
