Date,Average Score,7 MA
2025-01-24,0.211,
2025-01-25,-0.085,
2025-01-26,0.0,
2025-01-27,0.0,
2025-01-28,0.5,
2025-01-29,0.103,
2025-01-30,-0.01,0.103
2025-01-31,0.232,0.106
2025-02-01,0.219,0.149
2025-02-02,0.0,0.149
2025-02-03,0.189,0.176
2025-02-04,0.0,0.105
2025-02-05,0.167,0.114
2025-02-06,0.064,0.124
2025-02-07,0.654,0.185
2025-02-08,0.0,0.153
2025-02-09,0.25,0.189
2025-02-11,0.033,0.167
2025-02-12,1.0,0.31
2025-02-13,0.11,0.302
2025-02-14,0.091,0.305
2025-02-15,0.05,0.219
2025-02-17,-0.375,0.166
2025-02-18,0.068,0.14
2025-02-19,0.146,0.156
2025-02-20,0.001,0.013
2025-02-21,0.343,0.046
2025-02-22,-0.238,-0.001
2025-02-23,-0.25,-0.044
2025-02-24,0.5,0.081
2025-02-26,0.071,0.082
