Date,Average Score,7 MA
01/01/2023,0.869,
01/01/2024,0.998,
01/01/2025,-0.107,
01/02/2021,0.987,
01/02/2022,0.614,
01/02/2023,0.541,
01/02/2024,0.945,0.692
01/02/2025,0.364,0.62
01/03/2017,0.981,0.618
01/03/2021,0.812,0.749
01/03/2022,0.128,0.626
01/03/2023,0.413,0.598
01/03/2025,0.062,0.529
01/04/2021,0.615,0.482
01/04/2022,0.614,0.518
01/04/2023,0.764,0.487
01/04/2025,0.123,0.388
01/05/2021,0.241,0.405
01/05/2022,0.488,0.415
01/05/2023,0.412,0.465
01/05/2024,0.617,0.466
01/05/2025,0.042,0.384
01/06/2021,0.999,0.417
01/06/2022,0.364,0.452
01/06/2024,0.993,0.559
01/07/2021,0.742,0.596
01/07/2022,0.32,0.582
01/07/2024,0.783,0.606
01/08/2019,-0.073,0.59
01/08/2021,0.21,0.477
01/08/2022,0.758,0.533
01/08/2023,0.991,0.533
01/08/2024,0.721,0.53
01/09/2019,0.947,0.62
01/09/2021,0.508,0.58
01/09/2022,0.188,0.618
01/09/2023,0.47,0.655
01/10/2020,0.527,0.622
01/10/2021,0.696,0.58
01/10/2022,0.897,0.605
01/10/2023,0.45,0.534
01/11/2021,0.258,0.498
01/11/2022,0.474,0.539
01/11/2023,0.497,0.543
01/11/2024,0.637,0.558
01/12/2021,0.679,0.556
01/12/2022,0.224,0.46
01/12/2023,0.364,0.448
02/01/2023,0.517,0.485
02/01/2025,1.0,0.56
02/02/2018,0.996,0.631
02/02/2022,0.733,0.645
02/02/2023,0.65,0.641
02/02/2024,0.998,0.751
02/02/2025,0.313,0.744
02/03/2017,0.543,0.748
02/03/2021,0.552,0.684
02/03/2022,0.472,0.609
02/03/2023,0.153,0.526
02/03/2024,0.79,0.546
02/03/2025,0.174,0.428
02/04/2021,0.39,0.439
02/04/2022,0.997,0.504
02/04/2024,0.888,0.552
02/04/2025,0.117,0.501
02/05/2021,-0.031,0.475
02/05/2022,0.359,0.413
02/05/2024,0.792,0.502
02/05/2025,0.245,0.481
02/06/2021,0.962,0.476
02/06/2022,0.401,0.406
02/06/2023,0.168,0.414
02/07/2020,0.999,0.561
02/07/2021,0.067,0.519
02/07/2022,0.473,0.474
02/07/2023,0.948,0.574
02/08/2019,0.705,0.537
02/08/2021,0.64,0.571
02/08/2022,0.645,0.64
02/08/2023,0.361,0.548
02/09/2019,-0.883,0.413
02/09/2021,0.624,0.434
02/09/2022,0.28,0.339
02/09/2024,0.834,0.357
02/10/2021,0.304,0.309
02/10/2022,-0.103,0.202
02/10/2023,0.486,0.22
02/11/2021,0.327,0.393
02/11/2022,0.217,0.335
02/11/2023,0.819,0.412
