Date,Average Score,7 MA
2025-01-24,0.25,
2025-01-25,0.0,
2025-01-26,0.0,
2025-01-27,0.03,
2025-01-28,-0.001,
2025-01-29,0.014,
2025-01-30,0.048,0.049
2025-01-31,0.275,0.052
2025-02-01,0.125,0.07
2025-02-02,-0.2,0.042
2025-02-03,0.02,0.04
2025-02-04,0.0,0.04
2025-02-05,0.0,0.038
2025-02-06,0.136,0.051
2025-02-08,-0.312,-0.033
2025-02-09,-0.125,-0.069
2025-02-10,0.0,-0.04
2025-02-11,0.0,-0.043
2025-02-12,0.0,-0.043
2025-02-14,0.167,-0.019
2025-02-17,0.333,0.009
2025-02-18,0.0,0.054
2025-02-19,0.163,0.095
2025-02-20,0.0,0.095
2025-02-21,0.0,0.095
2025-02-22,0.0,0.095
2025-02-24,0.2,0.099
2025-02-25,0.058,0.06
2025-02-26,0.017,0.063
2025-02-27,0.0,0.039
