Date,Average Score,7 MA
01/01/2022,0.882,
01/01/2023,0.238,
01/01/2024,0.71,
01/01/2025,0.296,
01/02/2019,0.113,
01/02/2022,0.703,
01/02/2023,0.644,0.512
01/02/2024,0.706,0.487
01/02/2025,0.331,0.5
01/03/2018,0.961,0.536
01/03/2021,0.615,0.582
01/03/2022,0.04,0.571
01/03/2023,0.826,0.589
01/03/2024,0.772,0.607
01/03/2025,0.258,0.543
01/04/2019,0.947,0.631
01/04/2021,0.777,0.605
01/04/2022,0.408,0.575
01/04/2023,0.71,0.671
01/04/2024,0.802,0.668
01/04/2025,0.082,0.569
01/05/2018,0.869,0.656
01/05/2021,0.378,0.575
01/05/2024,0.707,0.565
01/05/2025,0.043,0.513
01/06/2021,0.754,0.519
01/06/2022,0.674,0.501
01/06/2023,0.642,0.581
01/06/2024,0.565,0.538
01/07/2021,0.724,0.587
01/07/2022,0.141,0.506
01/07/2024,0.579,0.583
01/08/2019,0.382,0.53
01/08/2022,0.425,0.494
01/08/2023,0.77,0.512
01/08/2024,0.638,0.523
01/09/2020,0.999,0.562
01/09/2021,0.999,0.685
01/09/2022,0.198,0.63
01/09/2023,0.744,0.682
01/09/2024,0.982,0.761
01/10/2021,0.677,0.748
01/10/2022,0.997,0.799
01/10/2023,0.462,0.723
01/10/2024,0.655,0.674
01/11/2018,0.66,0.74
01/11/2021,0.997,0.776
01/11/2022,0.77,0.745
01/11/2023,0.513,0.722
01/11/2024,0.34,0.628
01/12/2020,0.995,0.704
01/12/2021,0.742,0.717
01/12/2022,0.384,0.677
01/12/2023,0.623,0.624
01/12/2024,-0.494,0.443
02/01/2020,0.869,0.494
02/01/2023,0.761,0.554
02/01/2024,0.772,0.522
02/01/2025,0.417,0.476
02/02/2021,0.852,0.543
02/02/2022,0.678,0.551
02/02/2023,0.428,0.682
02/02/2024,0.813,0.674
02/02/2025,0.21,0.596
02/03/2021,1.0,0.628
02/03/2022,0.158,0.591
02/03/2023,0.819,0.587
02/03/2024,0.582,0.573
02/03/2025,0.025,0.515
02/04/2020,0.997,0.542
